GP,W,L,AGT,K,D,KD,CKPM,GPR,GSPD,GD15,FB%,FT%,F3T%,HLD%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,win_rate,Team,division,EGR,MLR,year
13,7,6,42.7,239,235,1.02,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,53.85,7th heaven,LJL,0.0,0.0,2015
14,6,8,35.8,214,269,0.8,0.96,-0.89,-0.062,-1303.0,0.5,0.36,0.29,0.0,0.43,0.26,0.0,0.43,0.53,0.495,0.446,2.21,0.32,0.69,42.86,ATLAS eSports Team,TCL,0.0,0.0,2015
6,1,5,39.3,80,121,0.66,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,Bencheados,LLA,0.0,0.0,2015
14,12,2,33.9,291,175,1.66,0.98,1.47,0.153,867.0,0.43,0.79,0.86,0.0,0.43,0.62,0.0,0.64,0.88,0.52,0.506,2.37,0.34,0.82,85.71,Beşiktaş Esports,TCL,0.0,0.0,2015
5,0,5,27.6,27,110,0.25,0.99,-4.84,-0.326,-5932.0,0.2,0.0,0.0,0.0,0.2,0.25,0.0,0.0,0.0,0.457,0.387,2.82,0.27,0.6,0.0,Beşiktaş Esports,MSI,0.0,0.0,2015
14,4,10,36.8,214,263,0.81,0.92,-1.12,-0.092,-1297.0,0.36,0.43,0.36,0.0,0.43,0.41,0.0,0.0,0.11,0.489,0.537,2.47,0.31,0.75,28.57,Big Plays Incorporated,TCL,0.0,0.0,2015
8,5,3,37.2,89,84,1.06,0.58,0.02,0.012,-286.0,0.63,0.63,0.5,0.0,0.5,0.54,0.0,0.5,0.5,0.51,0.504,3.01,0.53,1.07,62.5,CJ Entus,LCK,0.0,0.0,2015
5,2,3,40.7,86,100,0.86,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,CNB e-Sports Club,CBLOL,0.0,0.0,2015
9,4,5,36.4,87,119,0.73,0.63,-0.15,-0.011000000000000001,-451.0,0.56,0.33,0.67,0.0,0.44,0.33,0.0,0.56,0.57,0.514,0.483,2.75,0.38,1.08,44.44,Cloud9,LCS,0.0,0.0,2015
3,0,3,38.5,35,63,0.56,0.85,0.35,-0.055999999999999994,-54.0,0.67,0.0,0.33,0.0,0.33,0.2,0.0,0.33,0.5,0.503,0.491,2.31,0.31,0.78,0.0,Copenhagen Wolves,LEC,0.0,0.0,2015
3,0,3,35.5,27,69,0.39,0.9,-0.73,-0.151,305.0,0.67,0.67,0.67,0.0,0.33,0.36,0.0,0.0,0.0,0.516,0.441,2.84,0.43,0.72,0.0,Counter Logic Gaming,LCS,0.0,0.0,2015
14,11,3,32.4,256,144,1.78,0.88,1.63,0.10800000000000001,1745.0,0.5,0.64,0.79,0.0,0.64,0.66,0.0,0.64,0.53,0.52,0.527,2.26,0.37,0.88,78.57,Dark Passage,TCL,0.0,0.0,2015
13,11,2,36.4,226,121,1.87,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,84.62,DetonatioN FocusMe,LJL,0.0,0.0,2015
5,1,4,36.2,66,110,0.6,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Dexterity Team,CBLOL,0.0,0.0,2015
