"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",2,"18.2%","0.0%","18.2%","50%","-",1,7,7,1.1,"57.1%","31.8%","0%",82,282,1.5,1.4,"5.8%",45,"2.4%","9.5%",0.86,0.47
"Annie","Support",1,"9.1%","0.0%","9.1%","100%","-",0,4,14,3.5,"70.0%","21.1%","100%",30,41,-8,0.5,"2.0%",164,"6.1%","8.8%",1.69,0.35
"Azir","Middle",5,"45.5%","27.3%","72.7%","40%","-",18,21,19,1.8,"67.3%","22.3%","20%",-166,-110,-2.8,8.2,"28.0%",602,"31.9%","24.5%",0.23,0.28
"Cassiopeia","Middle",6,"54.5%","36.4%","90.9%","50%","-",17,7,22,5.6,"63.9%","13.2%","17%",114,-104,1.5,8.8,"30.6%",414,"26.0%","25.2%",0.3,0.15
"Corki","ADC",2,"18.2%","0.0%","18.2%","100%","-",5,1,10,15,"71.4%","12.5%","50%",12,88,4,9.2,"27.6%",617,"33.3%","24.0%",0.36,0.05
"Gnar","Top",5,"45.5%","18.2%","63.6%","40%","-",8,14,28,2.6,"56.3%","19.2%","20%",-213,-135,-2.4,7.7,"26.4%",409,"21.2%","21.8%",0.51,0.14
"Gragas","Jungle",6,"54.5%","27.3%","81.8%","50%","-",7,19,43,2.6,"69.4%","24.4%","67%",120,85,2.5,3,"10.5%",271,"12.3%","16.0%",0.59,0.27
"Hecarim","Top",5,"45.5%","9.1%","54.5%","60%","-",10,5,18,5.6,"66.7%","16.1%","40%",165,322,7.6,8.2,"27.8%",429,"25.1%","24.0%",0.53,0.06
"Irelia","Top",2,"18.2%","0.0%","18.2%","0%","-",5,7,1,0.9,"60.0%","23.3%","50%",403,-30,9,7.6,"26.7%",272,"20.4%","25.1%",0.31,0.06
"Janna","Support",1,"9.1%","0.0%","9.1%","0%","-",1,4,3,1,"50.0%","26.7%","0%",107,-382,1,0.6,"1.8%",84,"4.8%","8.2%",1.47,0.3
"Jinx","ADC",3,"27.3%","0.0%","27.3%","0%","-",2,8,2,0.5,"100.0%","27.6%","33%",63,-461,-1.7,8.4,"31.1%",270,"24.8%","27.7%",0.2,0.1
"Kalista","ADC",1,"9.1%","90.9%","100.0%","100%","-",8,3,21,9.7,"78.4%","33.3%","0%",842,385,5,7.2,"23.8%",768,"26.8%","22.4%",0.21,0.21
"Kassadin","-",0,"0%","9.1%","9.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kog'Maw","ADC",1,"9.1%","9.1%","18.2%","100%","-",5,0,3,8,"100.0%","-","100%",-201,716,-5,8.5,"21.7%",561,"36.7%","26.2%",0.36,0.04
"LeBlanc","Middle",1,"9.1%","90.9%","100.0%","100%","-",15,1,10,25,"67.6%","11.1%","100%",300,78,8,8.2,"31.1%",893,"31.2%","25.1%",0.18,0.09
"Lucian","ADC",1,"9.1%","0.0%","9.1%","100%","-",11,3,5,5.3,"80.0%","15.8%","100%",445,287,17,9.7,"35.7%",1102,"41.2%","31.0%",0.4,0.27
"Lulu","Middle",3,"27.3%","45.5%","81.8%","67%","-",9,3,18,9,"81.8%","10.3%","0%",106,259,7,8.2,"27.2%",481,"25.3%","24.0%",0.39,0.13
"Lulu","Top",1,"9.1%","45.5%","81.8%","0%","-",0,1,2,2,"66.7%","8.3%","0%",170,-346,19,7.8,"27.7%",470,"26.8%","24.3%",0.66,0.03
"Maokai","Top",3,"27.3%","9.1%","36.4%","100%","-",11,6,37,8,"68.6%","20.0%","0%",24,246,3,7.4,"25.1%",534,"20.8%","20.7%",0.62,0.03
"Morgana","Support",3,"27.3%","0.0%","27.3%","33%","-",3,7,19,3.1,"91.7%","20.6%","67%",114,-180,-6.7,0.5,"2.1%",138,"9.9%","10.0%",1.56,0.34
"Nautilus","Support",7,"63.6%","0.0%","63.6%","43%","-",0,22,34,1.5,"59.6%","24.4%","14%",-286,-263,-0.7,1.2,"4.8%",163,"8.9%","8.1%",1.21,0.32
"Nunu & Willump","Jungle",6,"54.5%","18.2%","72.7%","50%","-",3,12,27,2.5,"69.8%","20.0%","50%",-54,-100,-1.2,3.4,"11.4%",123,"7.3%","18.0%",0.91,0.35
"Rek'Sai","Jungle",3,"27.3%","54.5%","81.8%","100%","-",6,7,53,8.4,"84.3%","23.3%","67%",210,78,-2.3,3.3,"12.1%",316,"12.3%","17.0%",1.06,0.27
"Rumble","Top",1,"9.1%","0.0%","9.1%","100%","-",4,3,12,5.3,"64.0%","20.0%","0%",174,55,9,8.3,"28.3%",518,"26.1%","23.3%",0.67,0.02
"Ryze","Middle",1,"9.1%","0.0%","9.1%","0%","-",0,3,1,0.3,"50.0%","23.1%","0%",-625,-893,-20,7.1,"25.9%",283,"23.7%","22.4%",0.3,0.1
"Sejuani","Jungle",6,"54.5%","0.0%","54.5%","33%","-",9,8,32,5.1,"77.4%","13.1%","0%",-138,16,0.8,3.2,"11.2%",194,"12.3%","16.6%",0.96,0.29
"Shyvana","Top",5,"45.5%","27.3%","72.7%","40%","-",10,12,14,2,"63.2%","18.8%","0%",-196,-264,-16.2,7.9,"29.6%",471,"26.8%","25.3%",0.55,0.16
"Sion","Jungle",1,"9.1%","0.0%","9.1%","0%","-",3,6,8,1.8,"78.6%","23.1%","100%",-196,-237,-6,2.5,"7.6%",203,"12.3%","13.9%",0.9,0.15
"Sivir","ADC",8,"72.7%","0.0%","72.7%","38%","-",26,21,54,3.8,"83.3%","22.3%","38%",-60,139,-3,8.5,"30.7%",549,"29.2%","27.0%",0.27,0.16
"Thresh","Support",8,"72.7%","9.1%","81.8%","63%","-",13,17,92,6.2,"81.4%","22.7%","13%",170,270,3.6,0.9,"2.9%",130,"6.8%","9.8%",1.27,0.33
"Urgot","ADC",6,"54.5%","36.4%","90.9%","50%","-",20,18,31,2.8,"77.3%","18.8%","17%",-136,-215,0.7,7.2,"23.9%",455,"22.5%","23.3%",0.4,0.08
"Vladimir","Middle",2,"18.2%","18.2%","36.4%","50%","-",5,1,10,15,"62.5%","6.3%","100%",53,-17,-0.5,9,"30.9%",590,"28.7%","24.1%",0.2,0.15
"Xerath","Middle",1,"9.1%","0.0%","9.1%","0%","-",1,2,0,0.5,"100.0%","12.5%","0%",-133,-294,-2,8.5,"30.9%",757,"39.0%","26.9%",0.55,0
"Ziggs","Middle",3,"27.3%","9.1%","36.4%","67%","-",16,2,16,16,"82.1%","8.0%","0%",61,513,-0.3,9.3,"33.6%",939,"40.0%","26.8%",0.26,0.27
