"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ambition","CJ Entus","Jungle",8,"63%",,7,18,57,3.6,"71.9%","7.9%","21.4%","50%",5,116,1.9,3.3,"11.3%",228,"10.6%",,169,"17.0%",,0.6,0.11,0.28
"Bang","SK Telecom T1","ADC",8,"75%",,40,15,65,7,"78.4%","29.9%","17.2%","38%",140,35,1.9,8.6,"28.9%",652,"30.6%",,288,"25.5%",,0.3,0.03,0.15
"Bengi","SK Telecom T1","Jungle",3,"100%",,6,7,53,8.4,"84.3%","8.6%","23.3%","67%",210,78,-2.3,3.3,"12.1%",316,"12.3%",,203,"17.0%",,1.06,0.09,0.27
"Chaser","Jin Air Green Wings","Jungle",3,"0%",,1,1,4,5,"100.0%","20.0%","3.6%","0%",-266,-176,-3,2.9,"11.3%",132,"9.7%",,113,"15.6%",,0.92,0.2,0.2
"Chei","Jin Air Green Wings","Support",3,"0%",,0,9,4,0.4,"80.0%","0.0%","32.1%","0%",-60,177,-1,0.7,"2.9%",132,"10.1%",,55,"7.5%",,1.13,0.2,0.34
"Coco","CJ Entus","Middle",8,"63%",,27,16,40,4.2,"75.3%","30.3%","19.0%","25%",-93,74,-4.1,8.7,"31.0%",706,"32.7%",,256,"24.6%",,0.24,0.08,0.2
"Cpt Jack","Jin Air Green Wings","ADC",1,"0%",,1,5,2,0.6,"100.0%","33.3%","41.7%","0%",-282,-85,-6,7.7,"32.9%",583,"33.2%",,201,"28.4%",,0.12,0,0.06
"Easyhoon","SK Telecom T1","Middle",4,"75%",,19,5,18,7.4,"58.7%","30.2%","12.2%","50%",81,132,-1,8.9,"28.8%",530,"28.7%",,273,"24.1%",,0.16,0.08,0.21
"Faker","SK Telecom T1","Middle",4,"75%",,25,5,28,10.6,"74.6%","35.2%","10.9%","25%",80,-9,4.5,8.4,"30.3%",709,"30.1%",,277,"25.2%",,0.45,0.07,0.09
"GBM","Jin Air Green Wings","Middle",3,"0%",,2,3,1,1,"60.0%","40.0%","10.7%","0%",151,-76,6,8,"26.6%",301,"24.3%",,184,"25.1%",,0.29,0.07,0.07
"GorillA","ROX Tigers","Support",3,"0%",,3,10,15,1.8,"75.0%","12.5%","17.9%","33%",46,-103,-1.7,1.1,"3.8%",146,"10.2%",,80,"9.0%",,1.56,0.27,0.22
"Hojin","ROX Tigers","Jungle",3,"0%",,3,10,17,2,"83.3%","12.5%","17.9%","67%",-222,-273,-8,2.5,"8.8%",172,"11.8%",,123,"14.9%",,1.09,0.1,0.29
"Kuro","ROX Tigers","Middle",3,"0%",,8,11,9,1.5,"70.8%","33.3%","19.6%","0%",-117,-286,0.3,8.4,"30.8%",452,"31.0%",,221,"26.3%",,0.36,0.12,0.32
"MadLife","CJ Entus","Support",8,"63%",,4,20,63,3.4,"75.3%","4.5%","23.8%","38%",-126,-276,0.5,0.9,"3.6%",152,"7.6%",,92,"8.9%",,1.31,0.27,0.34
"MaRin","SK Telecom T1","Top",8,"75%",,22,17,66,5.2,"65.7%","16.4%","19.5%","13%",-106,48,-0.4,7.8,"26.4%",494,"23.6%",,246,"22.3%",,0.62,0.04,0.05
"Pilot","Jin Air Green Wings","ADC",2,"0%",,1,4,1,0.5,"100.0%","50.0%","25.0%","0%",153,-580,0,8.8,"31.7%",254,"24.4%",,210,"28.5%",,0.15,0.02,0.09
"PraY","ROX Tigers","ADC",3,"0%",,3,13,15,1.4,"75.0%","12.5%","23.2%","33%",107,273,5,8,"28.9%",394,"27.2%",,214,"25.4%",,0.38,0.02,0.13
"Shy","CJ Entus","Top",8,"63%",,19,13,38,4.4,"64.0%","21.3%","15.5%","25%",62,137,3,8.1,"28.5%",471,"23.4%",,242,"24.3%",,0.5,0.06,0.14
"Smeb","ROX Tigers","Top",3,"0%",,7,12,5,1,"50.0%","29.2%","21.4%","33%",211,-38,3,7.8,"27.7%",282,"19.7%",,202,"24.4%",,0.33,0.08,0.1
"Space","CJ Entus","ADC",8,"63%",,32,17,43,4.4,"84.3%","36.0%","20.2%","50%",-183,18,-3,7.9,"25.6%",513,"25.7%",,253,"25.1%",,0.35,0.01,0.11
"Tom","SK Telecom T1","Jungle",5,"60%",,11,16,32,2.7,"67.2%","17.2%","28.1%","40%",160,37,5,3.4,"11.1%",199,"10.8%",,189,"17.9%",,0.96,0.1,0.37
"TrAce","Jin Air Green Wings","Top",3,"0%",,0,6,3,0.5,"60.0%","0.0%","21.4%","0%",-93,-453,-10,6.9,"27.1%",370,"28.6%",,171,"23.3%",,0.62,0.03,0.09
"Wolf","SK Telecom T1","Support",8,"75%",,11,22,87,4.5,"73.1%","8.2%","25.3%","13%",132,248,0.5,0.9,"3.6%",110,"5.0%",,113,"10.0%",,1.21,0.26,0.39
