"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",10,"27.8%","27.8%","55.6%","60%","-",44,39,69,2.9,"71.1%","23.2%","-","-","-","-","-","-","-","-","24.3%","-","-"
"Alistar","Support",1,"2.8%","2.8%","5.6%","100%","-",1,3,23,8,"92.3%","23.1%","-","-","-","-","-","-","-","-","13.9%","-","-"
"Anivia","Middle",1,"2.8%","0.0%","2.8%","0%","-",2,6,3,0.8,"71.4%","30.0%","-","-","-","-","-","-","-","-","23.4%","-","-"
"Annie","Support",5,"13.9%","5.6%","19.4%","0%","-",0,24,26,1.1,"70.3%","25.0%","-","-","-","-","-","-","-","-","10.3%","-","-"
"Ashe","-",0,"0%","2.8%","2.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Azir","Middle",4,"11.1%","5.6%","16.7%","75%","-",15,12,30,3.8,"78.9%","27.9%","-","-","-","-","-","-","-","-","25.0%","-","-"
"Blitzcrank","Support",1,"2.8%","0.0%","2.8%","100%","-",0,2,13,6.5,"59.1%","22.2%","-","-","-","-","-","-","-","-","10.6%","-","-"
"Braum","Support",1,"2.8%","0.0%","2.8%","0%","-",0,3,9,3,"81.8%","25.0%","-","-","-","-","-","-","-","-","10.3%","-","-"
"Caitlyn","ADC",2,"5.6%","0.0%","5.6%","0%","-",6,2,10,8,"76.2%","5.6%","-","-","-","-","-","-","-","-","30.5%","-","-"
"Cassiopeia","Middle",5,"13.9%","5.6%","19.4%","80%","-",36,15,46,5.5,"75.2%","19.2%","-","-","-","-","-","-","-","-","27.5%","-","-"
"Cho'Gath","-",0,"0%","11.1%","11.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Corki","ADC",4,"11.1%","0.0%","11.1%","25%","-",13,11,15,2.5,"63.6%","19.0%","-","-","-","-","-","-","-","-","25.5%","-","-"
"Diana","Middle",1,"2.8%","0.0%","2.8%","100%","-",3,2,3,3,"42.9%","50.0%","-","-","-","-","-","-","-","-","25.3%","-","-"
"Dr. Mundo","Top",2,"5.6%","0.0%","5.6%","50%","-",3,7,13,2.3,"69.6%","22.6%","-","-","-","-","-","-","-","-","20.7%","-","-"
