"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"7kane","RabbitFive","Support",16,"56%",,13,58,182,3.4,"72.2%","4.8%","21.8%",,,,,,,,,,112,"10.9%",,,,
"A M U S E 4","Rampage","Top",10,"50%",,25,35,77,2.9,"62.2%","15.2%","24.6%",,,,,,,,,,239,"23.5%",,,,
"alk","Rampage","Support",10,"50%",,5,24,106,4.6,"67.7%","3.0%","16.9%",,,,,,,,,,104,"9.8%",,,,
"apaMEN","Rascal Jester","Jungle",10,"40%",,19,36,88,3,"79.3%","14.1%","21.2%",,,,,,,,,,168,"17.8%",,,,
"Arfoad","Salvage Javelin","Top",6,"0%",,6,17,26,1.9,"62.7%","11.8%","17.3%",,,,,,,,,,158,"21.1%",,,,
"Astarore","DetonatioN FocusMe","Jungle",13,"85%",,26,30,140,5.5,"73.5%","11.5%","24.8%",,,,,,,,,,172,"16.1%",,,,
"Awaker","RabbitFive","Jungle",15,"53%",,34,58,154,3.2,"74.9%","13.5%","22.2%",,,,,,,,,,160,"15.9%",,,,
"Bakudanx","Rampage","Jungle",3,"33%",,8,18,30,2.1,"76.0%","16.0%","28.1%",,,,,,,,,,170,"17.6%",,,,
"Beni","Salvage Javelin","Support",10,"0%",,3,36,49,1.4,"69.3%","4.0%","19.9%",,,,,,,,,,73,"9.6%",,,,
"BonziN","DetonatioN FocusMe","Top",13,"85%",,33,13,106,10.7,"61.5%","14.6%","10.7%",,,,,,,,,,217,"20.3%",,,,
"Ceros","DetonatioN FocusMe","Middle",13,"85%",,54,30,93,4.9,"65.0%","23.9%","24.8%",,,,,,,,,,254,"23.5%",,,,
"Clockday","7th heaven","Middle",13,"54%",,70,43,90,3.7,"66.9%","29.3%","18.3%",,,,,,,,,,239,"23.6%",,,,
"Cogcog","Rascal Jester","Top",10,"40%",,31,34,54,2.5,"63.0%","23.0%","20.0%",,,,,,,,,,213,"22.5%",,,,
"Day1","Salvage Javelin","ADC",5,"0%",,15,18,11,1.4,"72.2%","41.7%","17.3%",,,,,,,,,,197,"26.3%",,,,
"Enty","7th heaven","Support",12,"58%",,10,41,159,4.1,"76.1%","4.5%","19.6%",,,,,,,,,,115,"10.8%",,,,
"Envy","Rampage","Jungle",7,"57%",,32,15,49,5.4,"71.1%","28.1%","19.2%",,,,,,,,,,224,"20.7%",,,,
"Estelim","RabbitFive","Middle",16,"56%",,81,56,110,3.4,"70.7%","30.0%","21.1%",,,,,,,,,,253,"25.3%",,,,
"Evi","RabbitFive","Top",1,"100%",,4,3,7,3.7,"57.9%","21.1%","60.0%",,,,,,,,,,225,"19.3%",,,,
"Iceflower","Salvage Javelin","ADC",5,"0%",,17,6,14,5.2,"79.5%","43.6%","7.8%",,,,,,,,,,227,"29.7%",,,,
"Kazu","DetonatioN FocusMe","Support",13,"85%",,17,32,146,5.1,"72.1%","7.5%","26.4%",,,,,,,,,,125,"11.7%",,,,
"Lillebelt","Rascal Jester","Support",10,"40%",,8,39,105,2.9,"83.7%","5.9%","22.9%",,,,,,,,,,101,"10.5%",,,,
"Meron","Rampage","ADC",10,"50%",,36,22,64,4.5,"61.0%","22.0%","15.5%",,,,,,,,,,239,"22.9%",,,,
"Mueki","7th heaven","ADC",12,"58%",,83,41,77,3.9,"70.2%","36.4%","19.5%",,,,,,,,,,277,"27.0%",,,,
"Mueki","7th heaven","Jungle",1,"0%",,10,8,1,1.4,"100.0%","90.9%","32.0%",,,,,,,,,,236,"24.6%",,,,
"Paz","Salvage Javelin","Jungle",4,"0%",,7,22,18,1.1,"56.8%","15.9%","32.4%",,,,,,,,,,152,"18.8%",,,,
"Paz","Salvage Javelin","Middle",5,"0%",,4,20,12,0.8,"57.1%","14.3%","20.4%",,,,,,,,,,185,"25.8%",,,,
"Raphonitte","Salvage Javelin","Jungle",6,"0%",,4,28,16,0.7,"64.5%","12.9%","24.8%",,,,,,,,,,97,"13.5%",,,,
"Razer","7th heaven","Jungle",1,"100%",,3,2,13,8,"72.7%","13.6%","22.2%",,,,,,,,,,177,"16.1%",,,,
"Rkp","Rascal Jester","ADC",10,"40%",,46,29,51,3.3,"71.9%","34.1%","17.1%",,,,,,,,,,235,"25.5%",,,,
"scottlyk","Rascal Jester","Middle",10,"40%",,31,32,56,2.7,"64.4%","23.0%","18.8%",,,,,,,,,,222,"23.7%",,,,
