"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Annie","-",0,"0%","30.8%","30.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Blitzcrank","Jungle",1,"7.7%","0.0%","7.7%","0%","-",4,5,6,2,"90.9%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Support",1,"7.7%","0.0%","7.7%","0%","-",0,5,1,0.2,"33.3%","22.7%","-","-","-","-","-","-","-","-","-","-","-"
"Cassiopeia","Middle",3,"23.1%","23.1%","46.2%","67%","-",13,10,12,2.5,"61.0%","29.4%","-","-","-","-","-","-","-","-","-","-","-"
"Corki","ADC",4,"30.8%","0.0%","30.8%","25%","-",7,12,15,1.8,"62.9%","19.4%","-","-","-","-","-","-","-","-","-","-","-"
"Diana","Middle",1,"7.7%","7.7%","15.4%","0%","-",2,5,3,1,"62.5%","31.3%","-","-","-","-","-","-","-","-","-","-","-"
"Dr. Mundo","Top",1,"7.7%","0.0%","7.7%","0%","-",1,1,3,4,"100.0%","8.3%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",1,"7.7%","0.0%","23.1%","0%","-",2,3,2,1.3,"44.4%","15.8%","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","Middle",2,"15.4%","0.0%","23.1%","0%","-",1,5,1,0.4,"28.6%","14.7%","-","-","-","-","-","-","-","-","-","-","-"
"Fizz","Top",1,"7.7%","53.8%","61.5%","0%","-",5,4,0,1.3,"71.4%","22.2%","-","-","-","-","-","-","-","-","-","-","-"
"Galio","-",0,"0%","7.7%","7.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gangplank","-",0,"0%","7.7%","7.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Garen","-",0,"0%","7.7%","7.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gragas","Jungle",1,"7.7%","0.0%","7.7%","100%","-",2,2,13,7.5,"60.0%","20.0%","-","-","-","-","-","-","-","-","-","-","-"
"Graves","ADC",3,"23.1%","76.9%","100.0%","100%","-",29,7,29,8.3,"79.5%","14.9%","-","-","-","-","-","-","-","-","-","-","-"
"Hecarim","Top",2,"15.4%","61.5%","76.9%","100%","-",9,4,13,5.5,"59.5%","33.3%","-","-","-","-","-","-","-","-","-","-","-"
