"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
,"Kaos Latin Gamers","ADC",1,"0%",,1,3,2,1,"42.9%","14.3%","17.6%",,,,,,,,,,,,,,,
"Acce","Furious Gaming","Top",8,"50%",,29,29,39,2.3,"59.6%","25.4%","22.0%",,,,,,,,,,,,,,,
"Baws","Bencheados","Support",6,"17%",,4,26,51,2.1,"68.8%","5.0%","21.5%",,,,,,,,,,,,,,,
"BearJew","Kaos Latin Gamers","Support",7,"86%",,7,13,91,7.5,"73.7%","5.3%","18.6%",,,,,,,,,,,,,,,
"Electra","Last Kings","ADC",1,"0%",,2,4,4,1.5,"54.5%","18.2%","16.0%",,,,,,,,,,,,,,,
"Electra","Last Kings","Support",4,"50%",,2,4,43,11.3,"70.3%","3.1%","6.9%",,,,,,,,,,,,,,,
"Focho","Bencheados","ADC",6,"17%",,23,20,19,2.1,"52.5%","28.8%","16.5%",,,,,,,,,,,,,,,
"FraGio","Bencheados","Jungle",6,"17%",,18,16,36,3.4,"67.5%","22.5%","13.2%",,,,,,,,,,,,,,,
"Gonto","Furious Gaming","Jungle",8,"50%",,17,34,65,2.4,"71.9%","14.9%","25.8%",,,,,,,,,,,,,,,
"Gos","Last Kings","Middle",2,"100%",,15,10,16,3.1,"72.1%","34.9%","45.5%",,,,,,,,,,,,,,,
"Helior","Kaos Latin Gamers","Top",7,"86%",,25,15,51,5.1,"57.1%","18.8%","21.4%",,,,,,,,,,,,,,,
"Juliostito","Kaos Latin Gamers","Jungle",7,"86%",,15,12,82,8.1,"72.9%","11.3%","17.1%",,,,,,,,,,,,,,,
"Mettaz","Furious Gaming","Support",8,"50%",,9,27,74,3.1,"72.8%","7.9%","20.5%",,,,,,,,,,,,,,,
"Nipphu","Last Kings","Top",5,"40%",,8,13,26,2.6,"45.3%","10.7%","15.7%",,,,,,,,,,,,,,,
"Primoo","Last Kings","Middle",2,"0%",,3,9,7,1.1,"47.6%","14.3%","25.0%",,,,,,,,,,,,,,,
"Primoo","Last Kings","Support",1,"0%",,1,3,5,2,"54.5%","9.1%","12.0%",,,,,,,,,,,,,,,
"Prodigy","Furious Gaming","ADC",8,"50%",,35,22,51,3.9,"75.4%","30.7%","16.7%",,,,,,,,,,,,,,,
"Regi","Kaos Latin Gamers","Middle",7,"86%",,47,15,40,5.8,"65.4%","35.3%","21.4%",,,,,,,,,,,,,,,
"Tierwulf","Last Kings","Jungle",4,"50%",,13,14,31,3.1,"68.8%","20.3%","24.1%",,,,,,,,,,,,,,,
"Tierwulf","Last Kings","Middle",1,"0%",,4,8,2,0.8,"54.5%","36.4%","32.0%",,,,,,,,,,,,,,,
"Uri","Furious Gaming","Middle",8,"50%",,24,20,40,3.2,"56.1%","21.1%","15.2%",,,,,,,,,,,,,,,
"Vendetta","Bencheados","Top",6,"17%",,10,29,41,1.8,"63.8%","12.5%","24.0%",,,,,,,,,,,,,,,
"WhiteLotus","Last Kings","ADC",4,"50%",,23,13,16,3,"60.9%","35.9%","22.4%",,,,,,,,,,,,,,,
"WhiteLotus","Last Kings","Jungle",1,"0%",,4,5,6,2,"90.9%","36.4%","20.0%",,,,,,,,,,,,,,,
"xBravo","Bencheados","Middle",6,"17%",,25,30,25,1.7,"62.5%","31.3%","24.8%",,,,,,,,,,,,,,,
"Zeicro","Kaos Latin Gamers","ADC",6,"100%",,38,12,54,7.7,"73.0%","30.2%","22.6%",,,,,,,,,,,,,,,
