Player,Team,Pos,GP,W,L,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,D%P15,EGPM,GOLD%,STL,WPM,CWPM,WCPM
BULBAZABP,Team Empire,ADC,9,4,5,26,19,70,5.1,76.80%,20.80%,17.00%,44%,-212,-137,-7.1,7.4,28.30%,531,25.10%,,236,22.90%,,0.45,0.07,0.22
Drobovik123,Vega Squadron,Middle,5,2,3,10,10,30,4,74.10%,18.50%,13.70%,0%,-218,-57,-6.4,8.1,30.00%,594,30.00%,,250,25.60%,,0.4,0.05,0.13
Kira,Hard Random,Middle,7,6,1,30,20,45,3.8,65.80%,26.30%,23.30%,29%,152,259,10.4,8.7,30.50%,754,29.60%,,304,24.50%,,0.53,0.07,0.27
Lasagna,Natus Vincere CIS,Jungle,7,2,5,11,23,43,2.3,76.10%,15.50%,24.50%,43%,46,-140,-2.9,3.5,12.30%,328,15.90%,,184,18.30%,,0.69,0.09,0.46
Likkrit,Hard Random,Support,7,6,1,4,17,93,5.7,85.10%,3.50%,19.80%,43%,103,-29,-0.9,1.6,7.40%,183,7.40%,,166,13.40%,,1.25,0.3,0.29
Memento,Team Empire,Jungle,9,4,5,23,23,73,4.2,76.80%,18.40%,20.50%,44%,-76,8,-0.9,4.1,16.50%,370,17.60%,,202,19.50%,,0.77,0.1,0.38
mumus100,Team Empire,Top,9,4,5,28,20,62,4.5,72.00%,22.40%,17.90%,33%,-36,63,-0.8,6.2,22.80%,467,22.10%,,217,21.00%,,0.45,0.1,0.22
NoNholy,Vega Squadron,Top,5,2,3,16,14,23,2.8,72.20%,29.60%,19.20%,0%,-207,-274,-2,5.8,21.90%,328,15.60%,,200,19.60%,,0.46,0.08,0.13
Onesh0tiq,Hard Random,ADC,7,6,1,38,12,54,7.7,80.70%,33.30%,14.00%,43%,414,483,10.9,8,29.00%,675,27.10%,,296,23.90%,,0.4,0.02,0.16
Paranoia,Team Empire,Middle,9,4,5,38,27,57,3.5,76.00%,30.40%,24.10%,44%,-89,-278,-8.8,7.2,26.30%,555,26.40%,,241,23.10%,,0.48,0.08,0.17
PvPStejos,Hard Random,Jungle,7,6,1,20,23,75,4.1,83.30%,17.50%,26.70%,43%,301,105,3.7,3.7,12.10%,486,19.80%,,229,18.70%,,0.71,0.09,0.41
SaNTaS,Team Empire,Support,9,4,5,10,23,77,3.8,69.60%,8.00%,20.50%,33%,47,-124,1.6,1.4,6.10%,183,8.90%,,139,13.50%,,1.07,0.11,0.41
Saulius,Natus Vincere CIS,Middle,7,2,5,15,20,32,2.4,66.20%,21.10%,21.30%,14%,118,139,5.4,8.3,30.20%,599,30.10%,,241,24.10%,,0.49,0.08,0.25
Skash,Natus Vincere CIS,Support,7,2,5,1,23,53,2.3,76.10%,1.40%,24.50%,43%,-73,161,-0.1,1.2,5.20%,168,8.40%,,124,12.10%,,1.12,0.21,0.3
Smurf,Hard Random,Top,7,6,1,22,14,64,6.1,75.40%,19.30%,16.30%,14%,78,114,2.1,6,21.10%,409,16.10%,,241,19.50%,,0.45,0.08,0.13
Tauren,Vega Squadron,ADC,5,2,3,19,13,18,2.8,68.50%,35.20%,17.80%,0%,-247,-126,-1.6,7.1,29.50%,514,25.40%,,240,24.90%,,0.45,0.06,0.17
VincentVega,Natus Vincere CIS,ADC,7,2,5,26,11,22,4.4,67.60%,36.60%,11.70%,43%,35,-218,-0.6,8.2,31.50%,543,26.90%,,255,25.10%,,0.4,0.01,0.16
WildHeart,Vega Squadron,Support,5,2,3,2,17,41,2.5,79.60%,3.70%,23.30%,20%,-127,39,-1.4,0.9,4.00%,130,6.30%,,115,11.60%,,1.24,0.18,0.38
Zanzarah,Vega Squadron,Jungle,5,2,3,7,19,32,2.1,72.20%,13.00%,26.00%,20%,-347,35,0.4,3.8,14.50%,455,22.70%,,180,18.30%,,0.89,0.13,0.28
Zvene,Natus Vincere CIS,Top,7,2,5,18,17,32,2.9,70.40%,25.40%,18.10%,14%,116,1,0.3,6.3,20.80%,385,18.80%,,208,20.50%,,0.53,0.1,0.2
