"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",12,"48.0%","44.0%","92.0%","33%","-",2,31,77,2.5,"80.6%","24.0%","33%",-33,38,0.1,1.1,"3.9%",64,"3.8%","10.3%",1.54,0.32
"Azir","Middle",6,"24.0%","52.0%","76.0%","33%","-",5,14,18,1.6,"59.0%","22.2%","33%",-127,-17,1.7,9.3,"28.7%",537,"35.4%","23.2%",0.44,0.22
"Bard","Support",3,"12.0%","16.0%","28.0%","33%","-",3,13,20,1.8,"63.9%","27.7%","0%",2,-7,-6.7,1.4,"4.8%",209,"10.3%","12.9%",1.46,0.48
"Braum","Support",13,"52.0%","24.0%","76.0%","54%","-",7,28,95,3.6,"65.0%","22.8%","23%",17,92,1.7,1.4,"5.0%",138,"7.0%","11.5%",1.49,0.38
"Caitlyn","ADC",1,"4.0%","0.0%","4.0%","100%","-",0,3,6,2,"54.5%","20.0%","0%",-394,-795,-20,9.4,"32.0%",590,"24.3%","22.2%",0.49,0.24
"Cassiopeia","Middle",1,"4.0%","0.0%","4.0%","0%","-",2,2,0,1,"33.3%","12.5%","0%",-105,27,5,8.7,"24.9%",431,"24.0%","22.3%",0.49,0.09
"Corki","ADC",4,"16.0%","16.0%","40.0%","50%","-",10,6,14,4,"68.6%","14.6%","0%",69,236,4.8,10.3,"31.3%",564,"34.3%","25.6%",0.51,0.35
"Corki","Middle",2,"8.0%","16.0%","40.0%","0%","-",6,8,8,1.8,"77.8%","19.0%","0%",-31,-15,10,7.8,"25.6%",651,"29.8%","22.3%",0.4,0.31
"Ekko","Top",15,"60.0%","16.0%","76.0%","67%","-",35,24,72,4.5,"64.1%","16.2%","13%",137,226,5,7.3,"23.1%",408,"19.9%","20.4%",0.46,0.12
"Elise","Jungle",4,"16.0%","0.0%","16.0%","25%","-",8,5,31,7.8,"84.8%","12.8%","75%",215,-71,-6.3,3.5,"10.0%",259,"14.3%","17.2%",0.9,0.66
"Ezreal","ADC",9,"36.0%","0.0%","36.0%","56%","-",25,15,44,4.6,"79.3%","20.8%","22%",-169,-81,-1,9.3,"28.3%",542,"31.9%","24.5%",0.38,0.15
"Gangplank","Middle",2,"8.0%","0.0%","16.0%","50%","-",6,4,14,5,"87.0%","23.5%","0%",98,-162,-2.5,8.7,"27.8%",424,"26.5%","24.7%",0.5,0.22
"Gangplank","Top",2,"8.0%","0.0%","16.0%","0%","-",4,14,10,1,"51.9%","29.8%","0%",702,579,16,7.6,"25.9%",729,"30.3%","22.5%",0.62,0.27
"Gragas","Jungle",6,"24.0%","0.0%","44.0%","50%","-",8,12,30,3.2,"69.1%","17.1%","17%",-190,79,0.8,4.1,"13.0%",273,"14.5%","18.2%",0.92,0.58
"Gragas","Top",5,"20.0%","0.0%","44.0%","20%","-",10,13,19,2.2,"54.7%","21.3%","0%",-237,-158,-2.8,6.3,"20.8%",288,"15.9%","19.0%",0.46,0.15
"Graves","Jungle",17,"68.0%","12.0%","80.0%","53%","-",40,40,80,3,"71.0%","21.3%","24%",-67,-83,3.4,5,"16.2%",406,"21.4%","20.8%",1.02,0.47
"Janna","Support",3,"12.0%","0.0%","12.0%","67%","-",2,10,29,3.1,"68.9%","20.0%","0%",154,291,-2.3,0.9,"3.9%",104,"4.1%","12.7%",1.4,0.46
"Jhin","ADC",4,"16.0%","8.0%","24.0%","50%","-",15,8,26,5.1,"83.7%","14.3%","25%",-469,-14,-10.3,9,"29.4%",526,"27.3%","25.3%",0.42,0.24
"Kalista","ADC",5,"20.0%","8.0%","28.0%","60%","-",11,11,22,3,"64.7%","24.4%","0%",-74,-123,3.6,8.9,"28.0%",360,"19.4%","23.8%",0.45,0.24
"Karma","Middle",1,"4.0%","8.0%","12.0%","100%","-",3,3,12,5,"68.2%","37.5%","100%",331,-413,-10,8.7,"26.5%",541,"23.3%","22.1%",0.17,0.11
"Kassadin","Middle",5,"20.0%","8.0%","28.0%","40%","-",14,8,9,2.9,"63.9%","18.6%","20%",-386,-64,-7,8.7,"25.1%",350,"23.3%","23.1%",0.44,0.23
"Kindred","Jungle",16,"64.0%","24.0%","88.0%","56%","-",53,39,76,3.3,"68.3%","23.6%","44%",95,46,-3.4,4.4,"13.5%",378,"20.0%","19.8%",0.67,0.56
"LeBlanc","Middle",4,"16.0%","12.0%","28.0%","50%","-",18,10,12,3,"61.2%","25.6%","50%",79,302,3.5,7.9,"23.2%",568,"26.8%","21.8%",0.46,0.25
"Lee Sin","Jungle",4,"16.0%","0.0%","16.0%","50%","-",6,7,26,4.6,"61.5%","15.6%","25%",-156,-174,-4,3.7,"10.2%",249,"12.4%","17.1%",1,0.38
"Lissandra","Middle",11,"44.0%","24.0%","68.0%","45%","-",32,23,69,4.4,"75.9%","17.8%","55%",371,329,6.9,8.7,"25.9%",439,"22.8%","22.6%",0.49,0.15
"Lucian","ADC",11,"44.0%","36.0%","80.0%","45%","-",53,19,39,4.8,"76.0%","13.5%","18%",176,-106,-1.7,9.9,"32.5%",572,"29.6%","27.7%",0.48,0.32
"Lulu","Middle",1,"4.0%","24.0%","28.0%","100%","-",1,4,8,2.3,"81.8%","50.0%","0%",-366,127,0,7.1,"20.6%",298,"15.2%","19.0%",0.6,0.18
"Maokai","Top",11,"44.0%","4.0%","48.0%","64%","-",16,13,74,6.9,"78.9%","15.5%","27%",74,43,0.8,7.6,"23.0%",337,"20.3%","20.4%",0.43,0.1
"Morgana","Support",1,"4.0%","0.0%","4.0%","100%","-",1,1,8,9,"64.3%","50.0%","0%",404,70,-4,1.1,"4.3%",178,"10.9%","12.3%",1.67,0.73
"Nautilus","Support",1,"4.0%","0.0%","16.0%","0%","-",0,7,6,0.9,"46.2%","33.3%","0%",-97,-190,-4,1.1,"3.5%",78,"3.5%","9.4%",1.07,0.1
"Nautilus","Top",3,"12.0%","0.0%","16.0%","33%","-",2,7,12,2,"82.4%","20.6%","33%",-124,42,-5.3,7.4,"23.7%",188,"14.2%","20.7%",0.48,0.17
