"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"957","Team WE","Top",12,"67%",,28,21,61,4.2,"65.0%","20.4%","16.8%",,,,,,,,,,226,"19.5%",,,,
"Clearlove","EDward Gaming","Jungle",7,"57%",,23,16,49,4.5,"67.3%","21.5%","17.2%",,,,,,,,,,,,,,,
"Condi","Team WE","Jungle",12,"67%",,27,14,74,7.2,"73.7%","19.7%","11.2%",,,,,,,,,,224,"19.1%",,,,
"DanDy","Vici Gaming","Jungle",7,"43%",,18,15,38,3.7,"74.7%","24.0%","19.2%",,,,,,,,,,242,"21.3%",,,,
"Deft","EDward Gaming","ADC",7,"57%",,27,17,44,4.2,"66.4%","25.2%","18.3%",,,,,,,,,,,,,,,
"Duan","Vici Gaming","Support",7,"43%",,3,19,43,2.4,"61.3%","4.0%","24.4%",,,,,,,,,,126,"11.0%",,,,
"Easyhoon","Vici Gaming","Middle",7,"43%",,22,8,34,7,"74.7%","29.3%","10.3%",,,,,,,,,,260,"22.7%",,,,
"Eimy","LGD Gaming","Jungle",3,"33%",,7,12,17,2,"77.4%","22.6%","26.1%",,,,,,,,,,204,"18.1%",,,,
"Ella","Snake Esports","Support",5,"40%",,0,12,24,2,"72.7%","0.0%","23.1%",,,,,,,,,,131,"10.6%",,,,
"Endless","Vici Gaming","ADC",7,"43%",,13,19,28,2.2,"54.7%","17.3%","24.4%",,,,,,,,,,258,"22.7%",,,,
"Flandre","Snake Esports","Top",5,"40%",,8,9,15,2.6,"69.7%","24.2%","17.3%",,,,,,,,,,273,"22.1%",,,,
"GodV","LGD Gaming","Middle",3,"33%",,9,8,9,2.3,"58.1%","29.0%","17.4%",,,,,,,,,,272,"24.3%",,,,
"Happy","Qiao Gu Reapers","Middle",3,"0%",,5,15,8,0.9,"46.4%","17.9%","28.3%",,,,,,,,,,,,,,,
"imp","LGD Gaming","ADC",3,"33%",,11,7,12,3.3,"74.2%","35.5%","15.2%",,,,,,,,,,290,"25.5%",,,,
