"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",9,"22.0%","65.9%","87.8%","89%","-",1,15,106,7.1,"74.3%","24.2%","56%",40,142,-0.3,1,"3.2%",133,"5.9%","11.0%",1.41,0.28
"Aurelion Sol","Middle",2,"4.9%","9.8%","14.6%","0%","-",5,7,15,2.9,"71.4%","20.6%","50%",257,-275,2.5,7.9,"25.5%",648,"25.7%","21.3%",0.63,0.32
"Azir","Middle",28,"68.3%","22.0%","90.2%","54%","-",87,78,138,2.9,"64.8%","22.3%","7%",-11,-42,2.1,8.9,"28.8%",653,"32.4%","23.8%",0.57,0.28
"Bard","Support",8,"19.5%","56.1%","75.6%","38%","-",4,23,81,3.7,"77.3%","21.7%","50%",10,172,-4.5,0.6,"2.5%",223,"10.9%","11.6%",1.18,0.4
"Braum","Support",21,"51.2%","14.6%","65.9%","48%","-",7,57,155,2.8,"67.2%","21.5%","19%",-35,-114,4,1.2,"4.3%",163,"8.2%","10.9%",1.31,0.3
"Caitlyn","ADC",5,"12.2%","17.1%","29.3%","20%","-",24,15,15,2.6,"72.2%","16.5%","20%",60,-146,0,8.9,"32.5%",644,"31.1%","27.8%",0.46,0.3
"Cassiopeia","Middle",1,"2.4%","0.0%","2.4%","0%","-",1,5,6,1.4,"100.0%","20.8%","100%",-513,-681,-14,6.9,"24.6%",527,"25.2%","20.2%",0.59,0.13
"Ekko","Middle",4,"9.8%","12.2%","92.7%","0%","-",7,13,6,1,"59.1%","19.4%","25%",-157,279,2,8.1,"23.6%",494,"26.4%","22.2%",0.5,0.18
"Ekko","Top",29,"70.7%","12.2%","92.7%","48%","-",80,66,135,3.3,"53.5%","18.5%","21%",118,245,5.8,7.3,"24.0%",363,"17.8%","20.3%",0.48,0.15
"Elise","Jungle",8,"19.5%","0.0%","19.5%","63%","-",28,18,44,4,"66.7%","22.8%","13%",-370,-527,-14.6,3.3,"10.5%",322,"15.9%","18.4%",1,0.43
"Ezreal","ADC",17,"41.5%","7.3%","48.8%","71%","-",58,24,102,6.7,"66.1%","15.7%","6%",-281,-132,-5.4,8.7,"27.7%",741,"32.3%","23.4%",0.45,0.19
