"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Achuu","SuperMassive Esports","ADC",10,"10%",,15,29,30,1.6,"52.3%","17.4%","15.9%","0%",-13,325,10,9.2,"33.9%",593,"30.7%",,253,"25.9%",,0.43,0.07,0.23
"aphromoo","Counter Logic Gaming","Support",17,"59%",,8,55,172,3.3,"78.3%","3.5%","23.2%","41%",85,26,-0.5,0.6,"2.5%",140,"6.9%",,136,"11.8%",,1.11,0.23,0.33
"Bang","SK Telecom T1","ADC",17,"71%",,73,28,114,6.7,"70.3%","27.4%","17.8%","12%",46,112,0.6,9.4,"30.2%",769,"31.4%",,309,"25.0%",,0.54,0.06,0.21
"Blank","SK Telecom T1","Jungle",17,"71%",,62,32,117,5.6,"67.3%","23.3%","20.4%","18%",56,20,-0.2,4.6,"14.2%",443,"18.2%",,241,"19.4%",,0.95,0.18,0.62
"Darshan","Counter Logic Gaming","Top",17,"59%",,40,41,97,3.3,"59.6%","17.4%","17.3%","24%",71,-55,1.2,6.4,"21.8%",349,"17.3%",,223,"19.6%",,0.51,0.09,0.13
"Duke","SK Telecom T1","Top",17,"71%",,41,21,105,7,"54.9%","15.4%","13.4%","29%",142,130,0.8,8.2,"26.1%",413,"16.8%",,262,"21.1%",,0.46,0.04,0.1
"Dumbledoge","SuperMassive Esports","Support",10,"10%",,4,37,48,1.4,"60.5%","4.7%","20.3%","0%",4,-171,-0.3,1,"3.8%",192,"9.9%",,109,"10.9%",,1.26,0.23,0.38
"Emperor","G2 Esports","ADC",10,"20%",,20,37,33,1.4,"60.2%","22.7%","21.8%","20%",-221,-155,-5.1,8.1,"27.9%",443,"23.9%",,243,"23.8%",,0.4,0.05,0.19
"fabFabulous","SuperMassive Esports","Top",5,"0%",,6,19,11,0.9,"45.9%","16.2%","18.8%","0%",-132,-218,-10.6,6.3,"21.5%",353,"17.6%",,180,"19.2%",,0.43,0.04,0.12
"Faker","SK Telecom T1","Middle",17,"71%",,84,37,91,4.7,"65.8%","31.6%","23.6%","12%",-65,-2,-1.4,8.6,"26.0%",648,"26.5%",,285,"23.0%",,0.53,0.09,0.24
"huhi","Counter Logic Gaming","Middle",17,"59%",,44,51,98,2.8,"61.7%","19.1%","21.5%","41%",-103,-136,-0.5,8.1,"26.6%",566,"27.9%",,251,"21.9%",,0.59,0.07,0.2
"Hybrid","G2 Esports","Support",10,"20%",,3,29,57,2.1,"68.2%","3.4%","17.1%","20%",-27,211,-0.9,0.8,"3.4%",155,"8.4%",,113,"10.8%",,1.25,0.26,0.31
"Karsa","Flash Wolves","Jungle",14,"50%",,40,31,65,3.4,"64.4%","24.5%","23.0%","36%",71,-39,-1.6,4.4,"15.0%",313,"17.1%",,225,"20.0%",,0.76,0.25,0.59
"Kikis","G2 Esports","Top",10,"20%",,16,32,35,1.6,"58.0%","18.2%","18.8%","20%",-237,-362,1.4,6.8,"23.4%",338,"18.6%",,206,"20.0%",,0.51,0.1,0.16
"Looper","Royal Never Give Up","Top",14,"64%",,39,29,82,4.2,"58.2%","18.8%","17.9%","14%",-45,186,0.4,7.3,"23.8%",325,"17.0%",,246,"20.3%",,0.55,0.1,0.16
"Maple","Flash Wolves","Middle",14,"50%",,52,26,70,4.7,"74.8%","31.9%","19.3%","21%",133,41,1.6,8.6,"28.0%",601,"31.7%",,272,"24.1%",,0.59,0.14,0.24
"Mata","Royal Never Give Up","Support",14,"64%",,6,38,125,3.4,"63.0%","2.9%","23.5%","50%",-63,-70,1.5,1,"3.5%",125,"6.5%",,130,"10.5%",,1.4,0.27,0.34
"Mlxg","Royal Never Give Up","Jungle",14,"64%",,51,28,104,5.5,"74.5%","24.5%","17.3%","57%",173,122,2.8,5,"15.6%",359,"18.4%",,263,"21.6%",,0.74,0.18,0.54
"MMD","Flash Wolves","Top",14,"50%",,36,23,64,4.3,"61.3%","22.1%","17.0%","14%",74,121,-0.6,6.8,"22.5%",309,"17.0%",,227,"20.0%",,0.52,0.09,0.15
"Naru","SuperMassive Esports","Middle",10,"10%",,29,40,24,1.3,"61.6%","33.7%","22.0%","30%",18,-214,-8,8.1,"26.6%",405,"22.2%",,236,"24.1%",,0.5,0.13,0.23
"NL","Flash Wolves","ADC",14,"50%",,33,31,61,3,"57.7%","20.2%","23.0%","14%",-137,-3,-4.1,9.1,"31.8%",537,"27.9%",,279,"25.2%",,0.44,0.06,0.24
"Perkz","G2 Esports","Middle",10,"20%",,24,33,25,1.5,"55.7%","27.3%","19.4%","10%",-80,136,4.3,8.7,"29.1%",560,"29.8%",,250,"24.4%",,0.46,0.08,0.2
"Stixxay","Counter Logic Gaming","ADC",17,"59%",,93,42,77,4,"73.9%","40.4%","17.7%","29%",161,-161,1.6,9,"31.8%",610,"29.6%",,302,"26.2%",,0.48,0.08,0.31
"Stomaged","SuperMassive Esports","Jungle",10,"10%",,25,38,27,1.4,"60.5%","29.1%","20.9%","20%",-329,-427,-8.6,3.7,"12.2%",385,"20.1%",,190,"19.0%",,0.89,0.24,0.4
