"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Albis","ahq eSports Club","Support",3,"0%",,1,13,7,0.6,"50.0%","6.3%","26.0%","0%",-153,-353,-3.7,1.2,"4.8%",130,"8.0%",,101,"10.9%",,1.51,0.26,0.41
"AN","ahq eSports Club","ADC",3,"0%",,5,8,11,2,"100.0%","31.3%","16.0%","0%",-297,-305,-3.3,8.5,"29.8%",548,"32.2%",,236,"25.6%",,0.59,0.13,0.25
"APEX","Machi Esports","Middle",8,"38%",,16,18,25,2.3,"74.5%","29.1%","20.2%","0%",-180,-67,-9.8,8.4,"27.9%",479,"31.4%",,239,"23.5%",,0.62,0.15,0.26
"BeBe","Taipei Assassins","ADC",5,"40%",,8,6,16,4,"72.7%","24.2%","15.4%","60%",169,-8,0.2,9.5,"32.8%",417,"25.9%",,265,"26.6%",,0.38,0.08,0.28
"BoBo","Machi Esports","Top",8,"38%",,13,19,22,1.8,"63.6%","23.6%","21.3%","13%",93,236,3.8,7.2,"24.9%",424,"26.2%",,229,"22.3%",,0.48,0.08,0.2
"Chawy","ahq eSports Club","Middle",1,"0%",,1,3,1,0.7,"66.7%","33.3%","21.4%","0%",-286,-89,0,8.4,"31.2%",365,"26.2%",,205,"25.3%",,0.41,0.15,0.12
"CHIEH","Taipei Assassins","Support",5,"40%",,3,10,20,2.3,"69.7%","9.1%","25.6%","60%",170,336,-4.4,0.8,"3.3%",141,"9.8%",,111,"10.9%",,1.55,0.33,0.39
"Dee","Machi Esports","ADC",8,"38%",,14,15,25,2.6,"70.9%","25.5%","16.9%","0%",-183,-74,-3.5,8,"26.7%",321,"19.6%",,235,"23.0%",,0.4,0.08,0.23
"Dreamer","Machi Esports","Support",8,"38%",,1,19,37,2,"69.1%","1.8%","21.3%","0%",-107,-192,3.3,1.4,"5.5%",103,"6.7%",,118,"11.4%",,1.53,0.33,0.35
"FoFo","Taipei Assassins","Middle",5,"40%",,6,10,9,1.5,"45.5%","18.2%","25.6%","40%",118,65,10.4,8.7,"25.8%",514,"30.8%",,232,"23.3%",,0.54,0.17,0.18
"Karsa","Flash Wolves","Jungle",6,"100%",,29,9,52,9,"76.4%","27.4%","28.1%","83%",507,170,1.2,4.7,"15.5%",347,"18.5%",,258,"19.9%",,0.78,0.24,0.55
"Maple","Flash Wolves","Middle",6,"100%",,22,3,57,26.3,"74.5%","20.8%","9.4%","50%",308,2,7.3,8.9,"27.4%",574,"30.8%",,303,"23.7%",,0.58,0.08,0.26
"MMD","Flash Wolves","Top",6,"100%",,17,7,60,11,"72.6%","16.0%","21.9%","83%",-44,-116,-9.3,7,"22.1%",328,"17.5%",,247,"19.4%",,0.54,0.12,0.22
"Morning","Taipei Assassins","Top",5,"40%",,5,4,13,4.5,"54.5%","15.2%","10.3%","0%",-153,-438,-3.2,7.4,"26.3%",302,"18.6%",,212,"21.0%",,0.51,0.07,0.13
"Mountain","ahq eSports Club","Jungle",3,"0%",,0,12,13,1.1,"81.3%","0.0%","24.0%","0%",-625,-157,-4,3.5,"11.4%",238,"14.0%",,164,"17.8%",,0.75,0.13,0.37
"NL","Flash Wolves","ADC",6,"100%",,32,8,47,9.9,"74.5%","30.2%","25.0%","0%",251,257,6.2,9.8,"32.2%",510,"27.3%",,336,"26.1%",,0.41,0.07,0.34
"REFRA1N","Taipei Assassins","Jungle",5,"40%",,11,9,11,2.4,"66.7%","33.3%","23.1%","80%",307,435,6.2,3.8,"11.8%",245,"15.0%",,183,"18.1%",,0.92,0.24,0.74
"SwordArt","Flash Wolves","Support",6,"100%",,6,5,75,16.2,"76.4%","5.7%","15.6%","0%",78,153,1.2,0.9,"2.8%",109,"5.9%",,140,"10.9%",,1.4,0.38,0.34
"Taizan","Machi Esports","Jungle",8,"38%",,11,18,34,2.5,"81.8%","20.0%","20.2%","13%",-338,-340,-3.3,4.2,"15.1%",257,"16.1%",,204,"19.8%",,0.8,0.15,0.66
"Westdoor","ahq eSports Club","Middle",2,"0%",,7,5,3,2,"76.9%","53.8%","13.9%","0%",-355,147,-9,8.6,"29.7%",375,"20.4%",,243,"24.8%",,0.65,0.12,0.16
"Ziv","ahq eSports Club","Top",3,"0%",,2,9,10,1.3,"75.0%","12.5%","18.0%","0%",94,332,14,7.3,"23.7%",390,"23.5%",,192,"20.8%",,0.52,0.07,0.17
