"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ahri","Middle",2,"22.2%","11.1%","33.3%","100%","50%",10,4,15,6.3,"78.1%","20.0%","50%",-182,-110,-5.5,7.9,"24.2%",658,"32.5%","22.5%",0.55,0.16
"Ashe","ADC",2,"22.2%","22.2%","44.4%","0%","50%",1,12,0,0.1,"20.0%","33.3%","0%",-1161,-612,-16.5,5.9,"18.2%",372,"30.0%","19.4%",0.37,0.04
"Blitzcrank","Support",1,"11.1%","0.0%","11.1%","0%","100%",2,1,8,10,"90.9%","7.7%","0%",698,415,16,1.8,"5.3%",160,"10.3%","13.8%",1.58,0.35
"Caitlyn","ADC",1,"11.1%","66.7%","77.8%","100%","0%",3,4,5,2,"66.7%","28.6%","0%",385,312,21,9.2,"30.0%",815,"37.1%","25.6%",0.31,0.19
"Camille","Top",1,"11.1%","55.6%","66.7%","100%","0%",4,1,1,5,"38.5%","9.1%","0%",159,-38,12,8.9,"29.1%",412,"20.2%","25.2%",0.45,0.13
"Cassiopeia","-",0,"0%","33.3%","33.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Elise","Jungle",4,"44.4%","11.1%","55.6%","25%","75%",5,15,12,1.1,"54.8%","23.4%","25%",-287,-498,-12,4.7,"18.3%",252,"14.4%","19.0%",0.72,0.23
"Ezreal","ADC",4,"44.4%","44.4%","88.9%","25%","50%",14,8,14,3.5,"57.1%","14.3%","0%",274,102,4.5,8.3,"31.5%",615,"32.4%","24.2%",0.42,0.2
"Fiora","-",0,"0%","33.3%","33.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Fizz","Middle",1,"11.1%","11.1%","33.3%","0%","100%",5,4,1,1.5,"54.5%","25.0%","0%",157,-231,6,7.9,"25.5%",601,"28.0%","24.3%",0.55,0.23
"Fizz","Top",1,"11.1%","11.1%","33.3%","0%","0%",1,2,1,1,"40.0%","12.5%","0%",-227,-587,-11,7.2,"27.4%",235,"16.8%","22.3%",0.4,0.24
"Gragas","Top",1,"11.1%","66.7%","77.8%","100%","0%",3,1,4,7,"43.8%","9.1%","0%",-446,-436,-1,7,"21.5%",295,"12.7%","19.5%",0.63,0.13
"Graves","Jungle",2,"22.2%","66.7%","88.9%","0%","50%",5,5,7,2.4,"85.7%","20.8%","0%",-740,-561,-8,4.6,"16.2%",328,"20.2%","20.7%",0.84,0.16
"Ivern","Jungle",1,"11.1%","22.2%","33.3%","100%","0%",4,1,16,20,"83.3%","20.0%","0%",997,955,7,3.3,"10.9%",281,"11.5%","19.6%",0.44,0.04
"Jayce","Middle",1,"11.1%","0.0%","11.1%","100%","100%",8,2,4,6,"50.0%","40.0%","100%",323,-118,-6,7.4,"23.8%",663,"27.1%","22.0%",0.48,0.09
"Kalista","ADC",3,"33.3%","0.0%","33.3%","67%","33%",9,2,14,11.5,"79.3%","14.3%","33%",404,384,9.3,8.7,"25.3%",314,"24.5%","24.4%",0.42,0.17
"Karma","Support",5,"55.6%","11.1%","66.7%","40%","20%",5,13,41,3.5,"70.8%","18.3%","40%",159,144,-2.4,0.7,"3.1%",283,"13.4%","12.8%",1.21,0.27
"Kennen","ADC",1,"11.1%","0.0%","22.2%","0%","100%",1,5,4,1,"62.5%","25.0%","0%",228,262,7,7.3,"24.5%",333,"16.3%","21.2%",0.33,0.24
"Kennen","Top",1,"11.1%","0.0%","22.2%","100%","100%",5,3,7,4,"63.2%","33.3%","0%",425,984,25,8.9,"29.6%",484,"24.2%","24.4%",0.49,0.06
"Kha'Zix","Jungle",2,"22.2%","11.1%","33.3%","50%","100%",5,10,8,1.3,"61.9%","37.0%","0%",-580,-383,-20,4.1,"15.0%",251,"12.5%","19.0%",0.89,0.18
"Kled","Top",1,"11.1%","0.0%","11.1%","0%","100%",1,1,4,5,"45.5%","7.7%","0%",-159,38,-12,8.7,"34.3%",290,"18.6%","23.5%",0.43,0.03
"Kog'Maw","-",0,"0%","33.3%","33.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lee Sin","Jungle",4,"44.4%","0.0%","44.4%","75%","50%",13,15,22,2.3,"67.3%","32.6%","50%",67,137,8.3,4.9,"14.5%",288,"14.5%","18.6%",0.81,0.27
"Leona","Support",2,"22.2%","0.0%","22.2%","100%","100%",2,2,17,9.5,"67.9%","40.0%","50%",533,542,8,1.1,"3.3%",105,"7.3%","12.1%",1.04,0.27
"Lucian","ADC",3,"33.3%","44.4%","77.8%","100%","33%",11,5,20,6.2,"81.6%","21.7%","33%",-317,-403,-2,8.4,"28.5%",599,"29.5%","23.8%",0.44,0.29
