"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Baula","ZAGA Talent Gaming","Support",3,"0%","33%",1,4,20,5.3,"80.8%","3.8%","10.8%","0%",214,106,1,0.4,"1.7%",125,"7.9%",,105,"11.0%",,1.49,0.46,0.26
"Choisix","Predators Esports","Support",3,"0%","33%",3,6,10,2.2,"81.3%","18.8%","12.2%","0%",-322,-314,0,1.1,"3.4%",105,"7.4%",,119,"12.2%",,1.21,0.39,0.32
"DCStar","Just Toys Havoks","Support",2,"0%","0%",2,8,10,1.5,"70.6%","11.8%","20.5%","0%",280,82,-1.5,0.7,"3.6%",305,"15.6%",,123,"12.7%",,0.89,0.13,0.27
"Deps","Just Toys Havoks","Jungle",6,"50%","83%",14,26,21,1.3,"59.3%","23.7%","32.1%","17%",-204,-277,-13.7,4.7,"15.2%",284,"14.5%",,207,"19.0%",,0.81,0.24,0.26
"Fénec","Predators Esports","Jungle",3,"0%","67%",4,9,10,1.6,"87.5%","25.0%","18.4%","0%",-473,-525,-6,5,"21.3%",217,"15.6%",,189,"20.0%",,0.68,0.09,0.25
"Genthix","Lyon Gaming","Support",6,"100%","83%",8,8,61,8.6,"66.3%","7.7%","21.1%","50%",111,177,1.8,0.9,"3.1%",193,"9.3%",,171,"12.7%",,1.11,0.28,0.33
"Hobbler","Just Toys Havoks","Middle",6,"50%","67%",16,12,20,3,"61.0%","27.1%","14.8%","50%",89,114,-3,8.3,"26.2%",542,"28.7%",,254,"23.5%",,0.66,0.29,0.18
"Icytower","Predators Esports","Middle",3,"0%","33%",2,12,4,0.5,"37.5%","12.5%","24.5%","0%",-171,-86,2.7,7.8,"24.9%",401,"30.2%",,206,"22.7%",,0.46,0.12,0.09
"jer0m","Predators Esports","Top",3,"0%","67%",2,6,7,1.5,"56.3%","12.5%","12.2%","0%",-116,103,-1.3,8.4,"32.6%",270,"18.9%",,229,"25.0%",,0.43,0.06,0.13
"Jirall","Lyon Gaming","Top",6,"100%","67%",16,6,32,8,"46.2%","15.4%","15.8%","0%",128,223,8,8.4,"27.2%",409,"19.6%",,287,"20.9%",,0.52,0.13,0.1
"Keoo","Just Toys Havoks","Support",4,"75%","50%",1,8,35,4.5,"85.7%","2.4%","19.0%","25%",-226,-149,-2.8,0.5,"3.0%",127,"7.3%",,144,"12.6%",,1.16,0.33,0.37
"Master Jos","ZAGA Talent Gaming","Middle",3,"0%","33%",9,9,6,1.7,"57.7%","34.6%","24.3%","0%",-93,-271,-2,7.9,"27.5%",442,"26.6%",,220,"23.8%",,0.47,0.14,0.14
"Oddie","Lyon Gaming","Jungle",6,"100%","17%",24,9,51,8.3,"72.1%","23.1%","23.7%","33%",270,375,10.5,5.4,"15.5%",336,"18.2%",,267,"20.0%",,0.81,0.18,0.26
"Porky","Just Toys Havoks","Top",6,"50%","33%",10,10,21,3.1,"52.5%","16.9%","12.3%","0%",-145,-326,-8.2,7.9,"27.0%",282,"14.7%",,228,"21.2%",,0.54,0.15,0.12
"Seiya","Lyon Gaming","Middle",6,"100%","50%",28,9,43,7.9,"68.3%","26.9%","23.7%","33%",43,65,2.7,8.4,"25.8%",592,"29.7%",,306,"22.6%",,0.53,0.11,0.15
"SolidSnake","ZAGA Talent Gaming","Jungle",3,"0%","33%",8,10,12,2,"76.9%","30.8%","27.0%","33%",341,330,12.3,4.8,"14.4%",360,"22.0%",,183,"19.8%",,0.85,0.2,0.2
"VirusFx","ZAGA Talent Gaming","ADC",3,"0%","67%",5,8,9,1.8,"53.8%","19.2%","21.6%","0%",-271,-146,-9,7.9,"28.8%",454,"26.8%",,217,"23.4%",,0.41,0.1,0.23
"Voltigore","ZAGA Talent Gaming","Top",3,"0%","33%",3,6,7,1.7,"38.5%","11.5%","16.2%","0%",149,103,1.7,7.8,"27.6%",261,"16.6%",,199,"21.9%",,0.47,0.12,0.1
"Warangelus","Just Toys Havoks","ADC",6,"50%","50%",16,17,27,2.5,"72.9%","27.1%","21.0%","17%",123,104,6.3,8.3,"28.4%",610,"32.0%",,257,"23.6%",,0.35,0.13,0.23
"WhiteLotus","Lyon Gaming","ADC",6,"100%","33%",28,6,39,11.2,"64.4%","26.9%","15.8%","17%",170,-50,1.7,8.6,"28.5%",466,"23.2%",,321,"23.9%",,0.47,0.14,0.2
"Xpng","Predators Esports","ADC",3,"0%","67%",5,16,6,0.7,"68.8%","31.3%","32.7%","0%",-315,37,-7,5.9,"17.7%",370,"27.8%",,190,"20.0%",,0.4,0.11,0.08
