"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Dire Wolves",6,2,4,33.9,66,78,0.85,0.71,-0.63,"-2.7%",34.2,-0.8,-1140,"50%","33%","33%",,"0%","50%","40%","100%","33%","38%","50.8%","51.0%",3.21,0.74,1.15
"Flash Wolves",3,3,0,27.2,65,11,5.91,0.93,2.32,"15.7%",80.2,19.8,2038,"100%","67%","100%",,"100%","100%","67%",,"67%","100%","52.0%","59.9%",3.98,1.17,1.47
"GAM Esports",15,10,5,32.3,271,191,1.42,0.95,0.69,"8.2%",57.5,9.2,804,"60%","40%","60%",,"80%","67%","62%","100%","60%","53%","50.5%","56.2%",3.67,1.07,1.41
"Isurus",6,1,5,33.5,66,119,0.55,0.92,-1.6,"-16.6%",24.5,-7.8,-2251,"33%","33%","17%",,"50%","0%","22%","0%","17%","14%","48.5%","45.7%",3.9,0.9,1.15
"Lyon Gaming",6,4,2,38.9,78,57,1.37,0.58,-0.16,"-0.9%",45.2,21.5,-382,"67%","33%","33%",,"0%","50%","47%","50%","67%","70%","49.2%","45.2%",4.02,1.05,1.42
"Rampage",6,1,5,34.5,74,78,0.95,0.73,-0.64,"-1.9%",45.8,-29.2,-396,"50%","17%","17%",,"0%","50%","42%","100%","33%","33%","49.1%","57.4%",3.25,0.78,1.3
"RED Canids",6,4,2,37.5,98,97,1.01,0.86,0.94,"-0.2%",67.2,-0.5,1675,"67%","67%","67%",,"100%","17%","33%","0%","50%","62%","49.8%","47.0%",3.77,1.1,1.15
"SuperMassive Esports",13,6,7,31,137,215,0.64,0.87,-0.68,"-4.4%",41.2,5,-1055,"31%","62%","54%",,"0%","54%","64%",,"46%","46%","49.4%","44.0%",3.31,0.97,1.25
"TSM",5,3,2,33,76,81,0.94,0.95,0.48,"-1.0%",63.8,-3.8,1875,"20%","100%","60%",,"100%","40%","44%","0%","60%","71%","50.6%","46.5%",3.6,0.85,1.26
"Virtus.pro",6,2,4,40.7,92,98,0.94,0.78,0.3,"4.3%",57,-23.6,188,"50%","67%","67%",,"0%","67%","55%","50%","33%","40%","51.1%","48.9%",3.81,1.11,1.43
