"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Baiano","CNB e-Sports Club","Support",8,"38%","63%",1,29,80,2.8,"77.1%","1.0%","18.0%","0%",-104,-27,1.4,1.9,"6.2%",175,"9.6%",,115,"10.4%",,1.14,0.3,0.29
"Cabu","RED Canids","Support",5,"40%","0%",0,9,29,3.2,"60.4%","0.0%","18.4%","0%",-164,53,-0.4,2,"6.2%",151,"10.2%",,106,"9.7%",,1.34,0.36,0.19
"dyNquedo","KaBuM! e-Sports","Middle",5,"60%","80%",19,7,21,5.7,"69.0%","32.8%","10.6%","0%",432,250,10,9.1,"23.8%",538,"26.2%",,273,"23.5%",,0.65,0.32,0.23
"Goku","ProGaming Esports","Middle",5,"40%","80%",38,13,41,6.1,"76.0%","36.5%","16.7%","20%",-17,-76,-1.4,8.9,"29.6%",706,"30.3%",,303,"26.1%",,0.66,0.32,0.29
"Jockster","Vivo Keyd","Support",13,"62%","62%",9,46,102,2.4,"64.5%","5.2%","34.6%","54%",-32,-70,-1.3,1.6,"5.0%",121,"6.5%",,125,"10.3%",,1.59,0.62,0.2
"Lep","RED Canids","Top",5,"40%","60%",7,7,21,4,"58.3%","14.6%","14.3%","20%",42,204,0.6,8.3,"24.1%",273,"18.1%",,227,"21.6%",,0.51,0.08,0.12
"Luskka","ProGaming Esports","ADC",5,"40%","60%",32,12,55,7.3,"83.7%","30.8%","15.4%","20%",521,355,8,8.4,"27.7%",631,"27.3%",,293,"24.7%",,0.48,0.19,0.28
"micaO","Vivo Keyd","ADC",13,"62%","54%",57,26,79,5.2,"79.1%","33.1%","19.5%","46%",57,21,1.5,9.3,"27.8%",630,"32.7%",,300,"25.2%",,0.42,0.09,0.29
"Minerva","ProGaming Esports","Jungle",5,"40%","40%",15,16,66,5.1,"77.9%","14.4%","20.5%","60%",171,-102,-3.6,4.5,"13.5%",304,"13.8%",,189,"16.4%",,1.07,0.51,0.42
"pbO","CNB e-Sports Club","ADC",8,"38%","25%",29,31,46,2.4,"71.4%","27.6%","19.3%","0%",-521,-292,-9.9,8.3,"27.4%",513,"25.3%",,255,"23.8%",,0.43,0.14,0.4
"Professor","ProGaming Esports","Support",5,"40%","40%",4,19,77,4.3,"77.9%","3.8%","24.4%","20%",282,181,-0.8,1.4,"4.2%",156,"6.8%",,123,"10.3%",,1.58,0.58,0.34
"Rakin","CNB e-Sports Club","Middle",8,"38%","50%",43,16,43,5.4,"81.9%","41.0%","9.9%","25%",-68,21,-0.9,9.2,"28.0%",697,"33.6%",,284,"26.6%",,0.5,0.18,0.25
"Ranger","KaBuM! e-Sports","Jungle",5,"60%","80%",8,11,33,3.7,"70.7%","13.8%","16.7%","60%",185,192,1.8,5.5,"15.9%",310,"15.0%",,208,"17.9%",,1.04,0.27,0.39
"Revolta","Vivo Keyd","Jungle",13,"62%","46%",24,23,89,4.9,"65.7%","14.0%","17.3%","38%",-64,-128,-1.7,4.9,"13.4%",168,"8.6%",,193,"16.2%",,1.14,0.45,0.39
"Riyev","KaBuM! e-Sports","Support",5,"60%","60%",6,20,35,2.1,"70.7%","10.3%","30.3%","60%",132,-8,2.4,1.5,"4.1%",164,"8.1%",,122,"10.4%",,1.25,0.41,0.37
"Robo","CNB e-Sports Club","Top",8,"38%","50%",19,41,61,2,"76.2%","18.1%","25.5%","13%",-238,-449,-6.5,7.9,"26.9%",423,"21.5%",,245,"23.7%",,0.55,0.12,0.16
"Sacy","RED Canids","ADC",5,"40%","100%",18,10,14,3.2,"66.7%","37.5%","20.4%","0%",-193,-177,1.2,9.8,"28.7%",468,"29.0%",,279,"26.6%",,0.36,0.1,0.36
"Sky","RED Canids","Middle",5,"40%","60%",18,10,18,3.6,"75.0%","37.5%","20.4%","20%",46,103,2.4,9.7,"28.5%",507,"33.4%",,279,"26.0%",,0.28,0.16,0.23
"SkyBart","ProGaming Esports","Top",5,"40%","40%",15,18,59,4.1,"71.2%","14.4%","23.1%","40%",221,308,3,7.3,"25.1%",503,"21.8%",,256,"22.4%",,0.63,0.17,0.14
"TitaN","KaBuM! e-Sports","ADC",5,"60%","20%",15,17,28,2.5,"74.1%","25.9%","25.8%","60%",357,234,2.6,9.4,"27.6%",753,"34.7%",,294,"25.2%",,0.57,0.2,0.24
"tockers","Vivo Keyd","Middle",13,"62%","23%",50,18,64,6.3,"66.3%","29.1%","13.5%","15%",-135,-119,-3.7,9.4,"27.6%",520,"27.8%",,289,"24.2%",,0.57,0.23,0.17
"Turtle","CNB e-Sports Club","Jungle",4,"50%","75%",7,23,29,1.6,"56.3%","10.9%","29.9%","25%",-258,-268,-5.5,4.2,"11.1%",200,"9.9%",,160,"14.8%",,0.84,0.25,0.35
