"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",3,"13.6%","31.8%","45.5%","33%","67%",0,9,25,2.8,"71.4%","29.0%","33%",-107,-149,-1.3,1.4,"4.2%",141,"7.7%","8.9%",1.35,0.24
"Anivia","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ashe","ADC",6,"27.3%","9.1%","36.4%","50%","100%",21,10,32,5.3,"67.1%","21.7%","17%",-186,-88,-2.8,9.6,"29.7%",612,"26.7%","25.0%",0.43,0.37
"Azir","Middle",7,"31.8%","40.9%","72.7%","86%","29%",17,14,35,3.7,"67.5%","29.8%","14%",-63,-45,-1.4,9.6,"26.5%",537,"28.0%","23.5%",0.5,0.29
"Braum","Support",13,"59.1%","31.8%","90.9%","46%","23%",4,27,78,3,"67.8%","19.3%","31%",-19,77,3.5,1.9,"6.7%",161,"8.8%","10.6%",1.35,0.25
"Caitlyn","ADC",16,"72.7%","22.7%","95.5%","56%","6%",54,22,49,4.7,"71.5%","12.8%","6%",-51,-43,3,10.1,"31.0%",645,"34.7%","27.0%",0.39,0.37
"Camille","Top",4,"18.2%","40.9%","59.1%","50%","25%",12,8,8,2.5,"55.6%","25.0%","75%",598,352,-1.5,9.4,"26.5%",470,"24.0%","25.1%",0.47,0.2
"Cassiopeia","Middle",5,"22.7%","18.2%","40.9%","100%","100%",21,2,34,27.5,"64.7%","9.1%","20%",221,91,2.8,9.5,"28.1%",604,"26.0%","23.2%",0.58,0.16
"Cho'Gath","Top",5,"22.7%","40.9%","63.6%","60%","80%",10,14,15,1.8,"53.2%","25.0%","20%",-208,-46,3.6,8.7,"25.1%",390,"22.3%","22.9%",0.52,0.12
"Ezreal","ADC",5,"22.7%","9.1%","31.8%","20%","100%",15,5,15,6,"75.0%","9.1%","0%",231,10,-1.6,9.7,"29.0%",939,"43.7%","28.3%",0.43,0.4
"Fiora","Top",1,"4.5%","0.0%","4.5%","0%","0%",1,4,0,0.3,"14.3%","30.8%","100%",-288,-561,8,9.9,"28.7%",365,"21.6%","22.9%",0.59,0.03
"Galio","Middle",2,"9.1%","4.5%","13.6%","100%","100%",5,2,18,11.5,"79.3%","11.1%","0%",-114,46,-4.5,7.8,"23.7%",413,"19.1%","21.5%",0.59,0.25
"Gangplank","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gnar","Top",7,"31.8%","4.5%","36.4%","14%","71%",9,15,26,2.3,"70.0%","19.0%","14%",282,270,6.9,8.6,"26.2%",431,"26.2%","24.3%",0.54,0.23
"Janna","-",0,"0%","18.2%","18.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jhin","ADC",5,"22.7%","36.4%","59.1%","60%","80%",20,2,21,20.5,"82.0%","5.7%","20%",214,296,2.4,9.9,"29.1%",563,"33.2%","26.1%",0.43,0.31
