"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Adrian","Echo Fox","Support",7,"57%","71%",1,17,39,2.4,"55.6%","1.4%","20.2%","14%",-78,-170,-4.6,1.3,"4.0%",164,"8.2%",,111,"9.1%",,1.3,0.41,0.21
"Altec","Echo Fox","ADC",7,"57%","57%",15,15,18,2.2,"45.8%","20.8%","17.9%","14%",90,156,1.7,9.5,"27.9%",504,"23.9%",,274,"23.2%",,0.38,0.09,0.28
"aphromoo","100 Thieves","Support",8,"38%","63%",1,18,37,2.1,"62.3%","1.6%","22.8%","38%",50,-20,5.3,1.6,"4.9%",130,"8.2%",,97,"8.9%",,1.1,0.4,0.29
"Apollo","Clutch Gaming","ADC",12,"42%","58%",27,16,50,4.8,"74.0%","26.0%","14.2%","0%",-35,-135,-2.9,9.5,"29.4%",561,"31.3%",,272,"26.3%",,0.46,0.17,0.31
"Bjergsen","TSM","Middle",4,"25%","75%",8,3,12,6.7,"87.0%","34.8%","6.1%","75%",129,155,3,10.3,"29.8%",546,"32.3%",,281,"27.3%",,0.47,0.21,0.25
"Cody Sun","100 Thieves","ADC",8,"38%","38%",22,13,23,3.5,"73.8%","36.1%","16.5%","38%",111,167,0.9,9.8,"29.3%",634,"36.4%",,278,"26.3%",,0.37,0.11,0.4
"Dardoch","Echo Fox","Jungle",7,"57%","57%",21,16,35,3.5,"77.8%","29.2%","19.0%","86%",668,618,12.4,6,"15.9%",314,"16.1%",,240,"20.6%",,1.01,0.24,0.32
"Doublelift","Team Liquid","ADC",10,"90%","40%",57,3,49,35.3,"76.8%","41.3%","4.6%","20%",-82,-54,2.2,10.4,"32.2%",735,"34.5%",,341,"27.4%",,0.41,0.13,0.37
"FEBIVEN","Clutch Gaming","Middle",12,"42%","33%",27,18,49,4.2,"73.1%","26.0%","15.9%","8%",-295,-317,-5.1,9.1,"26.7%",463,"26.4%",,248,"23.8%",,0.52,0.17,0.14
"Fenix","Echo Fox","Middle",7,"57%","43%",17,16,27,2.8,"61.1%","23.6%","19.0%","71%",461,497,11,9.6,"27.4%",609,"29.5%",,283,"24.0%",,0.42,0.05,0.12
"Hakuho","Clutch Gaming","Support",12,"42%","42%",8,25,60,2.7,"65.4%","7.7%","22.1%","8%",51,80,-3.1,1.3,"5.1%",172,"10.1%",,112,"10.6%",,1.25,0.4,0.39
"Hauntzer","TSM","Top",4,"25%","75%",4,9,7,1.2,"47.8%","17.4%","18.4%","0%",108,53,3.5,8.8,"25.4%",358,"21.5%",,232,"23.3%",,0.63,0.17,0.26
"Huni","Echo Fox","Top",7,"57%","14%",18,20,23,2.1,"56.9%","25.0%","23.8%","43%",365,415,5.4,8.6,"24.8%",471,"22.3%",,269,"23.1%",,0.45,0.07,0.12
"Impact","Team Liquid","Top",10,"90%","60%",19,16,87,6.6,"76.8%","13.8%","24.6%","20%",-237,-283,-9.5,7.7,"23.5%",444,"20.7%",,248,"19.9%",,0.52,0.13,0.11
"Jensen","Cloud9","Middle",3,"0%","0%",5,2,11,8,"72.7%","22.7%","6.7%","0%",80,349,5.7,9.8,"27.5%",315,"18.8%",,251,"24.4%",,0.4,0.17,0.38
"Licorice","Cloud9","Top",3,"0%","67%",2,6,10,2,"54.5%","9.1%","20.0%","33%",-219,-213,0,9,"26.8%",408,"22.8%",,235,"22.9%",,0.56,0.12,0.19
"Lira","Clutch Gaming","Jungle",12,"42%","58%",26,25,49,3,"72.1%","25.0%","22.1%","25%",-348,-331,-4.7,5.3,"14.6%",180,"10.6%",,182,"17.6%",,1.54,0.41,0.41
"Meteos","100 Thieves","Jungle",8,"38%","63%",16,21,22,1.8,"62.3%","26.2%","26.6%","63%",170,-3,-2.5,4.9,"12.4%",180,"11.4%",,172,"17.5%",,0.84,0.23,0.5
"MikeYeung","TSM","Jungle",4,"25%","0%",3,10,14,1.7,"73.9%","13.0%","20.4%","75%",131,-18,0.5,4.9,"11.3%",214,"11.9%",,164,"15.8%",,1.02,0.39,0.3
"Mithy","TSM","Support",4,"25%","25%",1,12,15,1.3,"69.6%","4.3%","24.5%","25%",-179,-175,6.5,1.6,"5.2%",112,"6.8%",,93,"8.9%",,1.43,0.44,0.34
"Olleh","Team Liquid","Support",10,"90%","60%",8,14,94,7.3,"73.9%","5.8%","21.5%","10%",5,104,-2.8,1.3,"4.5%",216,"10.3%",,145,"11.7%",,1.46,0.51,0.27
"Pobelter","Team Liquid","Middle",10,"90%","70%",33,14,68,7.2,"73.2%","23.9%","21.5%","10%",-38,-149,-3.4,9.2,"25.9%",527,"24.1%",,291,"23.3%",,0.59,0.18,0.26
