Player,Team,Pos,GP,W,L,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,D%P15,EGPM,GOLD%,STL,WPM,CWPM,WCPM
Adrian,Echo Fox,Support,7,4,3,71%,1,17,39,2.4,55.60%,1.40%,20.20%,14%,-78,-170,-4.6,1.3,4.00%,164,8.20%,,111,9.10%,,1.3,0.41,0.21
Altec,Echo Fox,ADC,7,4,3,57%,15,15,18,2.2,45.80%,20.80%,17.90%,14%,90,156,1.7,9.5,27.90%,504,23.90%,,274,23.20%,,0.38,0.09,0.28
aphromoo,100 Thieves,Support,8,3,5,63%,1,18,37,2.1,62.30%,1.60%,22.80%,38%,50,-20,5.3,1.6,4.90%,130,8.20%,,97,8.90%,,1.1,0.4,0.29
Apollo,Clutch Gaming,ADC,12,5,7,58%,27,16,50,4.8,74.00%,26.00%,14.20%,0%,-35,-135,-2.9,9.5,29.40%,561,31.30%,,272,26.30%,,0.46,0.17,0.31
Bjergsen,TSM,Middle,4,1,3,75%,8,3,12,6.7,87.00%,34.80%,6.10%,75%,129,155,3,10.3,29.80%,546,32.30%,,281,27.30%,,0.47,0.21,0.25
Cody Sun,100 Thieves,ADC,8,3,5,38%,22,13,23,3.5,73.80%,36.10%,16.50%,38%,111,167,0.9,9.8,29.30%,634,36.40%,,278,26.30%,,0.37,0.11,0.4
Dardoch,Echo Fox,Jungle,7,4,3,57%,21,16,35,3.5,77.80%,29.20%,19.00%,86%,668,618,12.4,6,15.90%,314,16.10%,,240,20.60%,,1.01,0.24,0.32
Doublelift,Team Liquid,ADC,10,9,1,40%,57,3,49,35.3,76.80%,41.30%,4.60%,20%,-82,-54,2.2,10.4,32.20%,735,34.50%,,341,27.40%,,0.41,0.13,0.37
FEBIVEN,Clutch Gaming,Middle,12,5,7,33%,27,18,49,4.2,73.10%,26.00%,15.90%,8%,-295,-317,-5.1,9.1,26.70%,463,26.40%,,248,23.80%,,0.52,0.17,0.14
Fenix,Echo Fox,Middle,7,4,3,43%,17,16,27,2.8,61.10%,23.60%,19.00%,71%,461,497,11,9.6,27.40%,609,29.50%,,283,24.00%,,0.42,0.05,0.12
Hakuho,Clutch Gaming,Support,12,5,7,42%,8,25,60,2.7,65.40%,7.70%,22.10%,8%,51,80,-3.1,1.3,5.10%,172,10.10%,,112,10.60%,,1.25,0.4,0.39
Hauntzer,TSM,Top,4,1,3,75%,4,9,7,1.2,47.80%,17.40%,18.40%,0%,108,53,3.5,8.8,25.40%,358,21.50%,,232,23.30%,,0.63,0.17,0.26
Huni,Echo Fox,Top,7,4,3,14%,18,20,23,2.1,56.90%,25.00%,23.80%,43%,365,415,5.4,8.6,24.80%,471,22.30%,,269,23.10%,,0.45,0.07,0.12
Impact,Team Liquid,Top,10,9,10,60%,19,16,87,6.6,76.80%,13.80%,24.60%,20%,-237,-283,-9.5,7.7,23.50%,444,20.70%,,248,19.90%,,0.52,0.13,0.11
Jensen,Cloud9,Middle,3,0,3,0%,5,2,11,8,72.70%,22.70%,6.70%,0%,80,349,5.7,9.8,27.50%,315,18.80%,,251,24.40%,,0.4,0.17,0.38
Licorice,Cloud9,Top,3,0,3,67%,2,6,10,2,54.50%,9.10%,20.00%,33%,-219,-213,0,9,26.80%,408,22.80%,,235,22.90%,,0.56,0.12,0.19
Lira,Clutch Gaming,Jungle,12,5,7,58%,26,25,49,3,72.10%,25.00%,22.10%,25%,-348,-331,-4.7,5.3,14.60%,180,10.60%,,182,17.60%,,1.54,0.41,0.41
