"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Attila","Team Vitality","ADC",14,"43%","43%",46,19,44,4.7,"73.8%","37.7%","12.1%","21%",14,-18,4.9,11.1,"35.6%",653,"34.3%",,327,"29.9%",,0.4,0.1,0.51
"Blanc","Team ROCCAT","Middle",3,"0%","33%",3,7,5,1.1,"66.7%","25.0%","16.3%","33%",-89,48,3.3,9.2,"25.8%",324,"27.1%",,217,"24.7%",,0.57,0.27,0.12
"Broxah","Fnatic","Jungle",7,"86%","71%",12,7,61,10.4,"75.3%","12.4%","11.7%","43%",-206,6,3.3,5.5,"13.8%",185,"8.6%",,224,"17.5%",,1.28,0.37,0.28
"Bwipo","Fnatic","Top",7,"86%","43%",18,24,43,2.5,"62.9%","18.6%","40.0%","14%",-257,-109,-9,8.1,"21.4%",405,"18.9%",,269,"20.4%",,0.57,0.19,0.07
"Cabochard","Team Vitality","Top",14,"43%","43%",14,30,64,2.6,"63.9%","11.5%","19.1%","14%",39,87,3.7,8,"23.3%",330,"18.3%",,222,"20.8%",,0.56,0.15,0.11
"caPs","Fnatic","Middle",7,"86%","29%",31,11,47,7.1,"80.4%","32.0%","18.3%","14%",120,243,2.7,9.6,"25.7%",663,"29.9%",,310,"24.2%",,0.49,0.1,0.15
"Gilius","Team Vitality","Jungle",14,"43%","43%",24,38,68,2.4,"75.4%","19.7%","24.2%","36%",115,-159,-0.3,4.7,"11.5%",198,"10.6%",,174,"16.2%",,0.98,0.24,0.43
"HeaQ","Team ROCCAT","ADC",3,"0%","33%",4,8,2,0.8,"50.0%","33.3%","18.6%","0%",158,7,4.3,10.8,"32.8%",312,"26.5%",,259,"29.0%",,0.52,0.21,0.16
"Hjarnan","G2 Esports","ADC",7,"43%","57%",29,9,34,7,"81.8%","37.7%","13.0%","29%",99,-60,0.9,10.8,"32.9%",729,"38.5%",,327,"28.3%",,0.36,0.11,0.42
"Hylissang","Fnatic","Support",7,"86%","57%",3,16,58,3.8,"62.9%","3.1%","26.7%","14%",-29,-226,-0.7,1.4,"4.0%",162,"7.6%",,123,"9.5%",,1.22,0.47,0.17
"Jactroll","Team Vitality","Support",14,"43%","43%",6,33,82,2.7,"72.1%","4.9%","21.0%","21%",18,134,-3.6,1,"3.4%",140,"8.2%",,109,"9.7%",,1.5,0.54,0.18
"Jaeger","H2k-Gaming","Top",5,"40%","60%",11,17,25,2.1,"69.2%","21.2%","32.7%","20%",115,31,6,9,"26.3%",448,"22.8%",,273,"24.0%",,0.46,0.08,0.13
"Jankos","G2 Esports","Jungle",7,"43%","71%",13,11,44,5.2,"74.0%","16.9%","15.9%","57%",183,235,1.1,5.2,"13.5%",157,"8.0%",,192,"16.5%",,1.29,0.38,0.58
"Jiizuke","Team Vitality","Middle",14,"43%","43%",32,37,58,2.4,"73.8%","26.2%","23.6%","14%",-111,-53,-3.6,9.1,"26.3%",540,"28.5%",,257,"23.4%",,0.65,0.23,0.19
"kaSing","Splyce","Support",12,"58%","75%",2,22,89,4.1,"75.8%","1.7%","22.2%","33%",-67,-81,-0.2,1.4,"4.8%",136,"8.1%",,108,"9.6%",,1.6,0.6,0.44
"Kobbe","Splyce","ADC",12,"58%","50%",34,15,51,5.7,"70.8%","28.3%","15.2%","33%",-125,-76,-5.9,10.9,"33.9%",528,"30.4%",,311,"27.8%",,0.4,0.12,0.37
