"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",3,"42.9%","28.6%","71.4%","67%","33%",3,4,17,5,"62.5%","15.4%","0%",-32,-144,1,2,"6.1%",128,"7.5%","10.8%",1.31,0.31
"Braum","Support",4,"57.1%","42.9%","100.0%","50%","25%",1,5,27,5.6,"71.8%","15.6%","50%",210,12,5.8,2.2,"6.3%",168,"7.9%","10.1%",1.61,0.25
"Caitlyn","ADC",2,"28.6%","71.4%","100.0%","50%","0%",3,1,5,8,"72.7%","6.7%","0%",-61,-56,-3,11.9,"34.4%",467,"23.9%","29.0%",0.32,0.49
"Camille","Top",1,"14.3%","57.1%","71.4%","0%","0%",2,5,7,1.8,"69.2%","27.8%","0%",-1059,-345,-6,9.9,"29.4%",369,"17.7%","23.6%",0.59,0.14
"Draven","-",0,"0%","14.3%","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ekko","Middle",2,"28.6%","14.3%","42.9%","100%","100%",6,1,11,17,"73.9%","25.0%","50%",-7,-139,-1.5,10.4,"25.8%",495,"28.9%","23.5%",0.96,0.4
"Ezreal","-",0,"0%","57.1%","57.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Fiora","-",0,"0%","42.9%","42.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Galio","Middle",1,"14.3%","0.0%","14.3%","0%","0%",3,3,7,3.3,"76.9%","16.7%","0%",-310,82,-7,9.5,"23.7%",673,"32.4%","22.9%",0.39,0.17
"Gangplank","Top",5,"71.4%","28.6%","100.0%","60%","40%",14,8,31,5.6,"75.0%","16.3%","20%",69,-119,-9.8,9.7,"30.2%",627,"28.6%","27.3%",0.62,0.15
"Gnar","Top",5,"71.4%","0.0%","71.4%","80%","40%",16,5,23,7.8,"75.0%","14.7%","20%",50,231,5,10.2,"27.7%",438,"23.1%","25.6%",0.55,0.17
"Heimerdinger","-",0,"0%","14.3%","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Janna","Support",1,"14.3%","0.0%","14.3%","100%","100%",1,1,9,10,"90.9%","16.7%","0%",-135,-169,-14,0.6,"2.2%",209,"10.4%","10.5%",1.42,0.42
"Jinx","ADC",1,"14.3%","0.0%","14.3%","0%","100%",1,1,3,4,"80.0%","11.1%","0%",-316,-123,-16,12.1,"38.1%",642,"23.9%","31.4%",0.33,0.33
"Kai'Sa","ADC",4,"57.1%","42.9%","100.0%","50%","0%",13,5,14,5.4,"81.8%","11.4%","0%",-105,68,2,10.3,"30.9%",490,"26.2%","26.5%",0.4,0.4
"Karma","Middle",1,"14.3%","42.9%","57.1%","0%","0%",1,4,10,2.8,"73.3%","22.2%","0%",-595,-675,-19,6.9,"19.2%",340,"15.1%","18.2%",0.68,0.43
"LeBlanc","-",0,"0%","28.6%","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lucian","-",0,"0%","28.6%","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Malzahar","Middle",1,"14.3%","0.0%","14.3%","0%","0%",2,3,1,1,"60.0%","27.3%","0%",-832,-565,-19,8.5,"25.3%",408,"26.7%","23.1%",0.76,0.21
"Morgana","Support",1,"14.3%","57.1%","71.4%","0%","100%",1,3,2,1,"100.0%","27.3%","0%",-151,174,-11,0.8,"2.8%",209,"13.4%","10.6%",1.46,0.54
"Olaf","Jungle",5,"71.4%","14.3%","85.7%","40%","0%",11,10,19,3,"66.7%","24.4%","40%",74,236,0.8,5.1,"11.3%",293,"15.5%","15.8%",1.38,0.49
"Ornn","Top",2,"28.6%","14.3%","42.9%","0%","100%",0,8,2,0.3,"66.7%","36.4%","50%",238,3,9,8.4,"21.8%",361,"24.3%","22.3%",0.48,0.05
"Rakan","Support",1,"14.3%","0.0%","14.3%","100%","0%",0,4,15,3.8,"83.3%","30.8%","0%",-621,100,-13,0.6,"2.0%",161,"7.3%","9.6%",1.32,0.34
"Ryze","Top",1,"14.3%","28.6%","42.9%","0%","100%",1,1,0,1,"20.0%","9.1%","0%",-12,-224,12,9.5,"26.8%",361,"23.6%","24.6%",0.55,0.1
"Sejuani","Jungle",3,"42.9%","0.0%","42.9%","33%","33%",5,6,15,3.3,"71.4%","19.4%","100%",375,-254,-5.7,4.9,"11.9%",191,"10.1%","15.7%",0.71,0.65
"Skarner","Jungle",1,"14.3%","28.6%","42.9%","100%","100%",3,5,12,3,"83.3%","33.3%","0%",-378,608,11,5,"12.8%",219,"9.9%","16.9%",1.13,0.47
"Swain","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Syndra","Middle",2,"28.6%","14.3%","42.9%","100%","100%",8,4,15,5.8,"82.1%","23.5%","0%",284,303,7.5,10,"25.8%",643,"30.8%","23.2%",0.56,0.34
"Tahm Kench","Support",2,"28.6%","14.3%","42.9%","50%","50%",0,3,10,3.3,"71.4%","18.8%","0%",1,14,5.5,2.1,"6.5%",152,"8.3%","10.3%",1.57,0.21
"Taliyah","Middle",3,"42.9%","42.9%","85.7%","33%","33%",3,7,6,1.3,"64.3%","25.0%","33%",275,188,7.7,9.3,"24.9%",556,"34.7%","23.6%",0.81,0.27
"Taric","Support",1,"14.3%","0.0%","14.3%","0%","100%",0,2,1,0.5,"100.0%","16.7%","0%",17,-214,3,2.4,"8.7%",82,"5.6%","10.3%",1.34,0.42
"Thresh","Support",1,"14.3%","0.0%","14.3%","0%","100%",2,3,10,4,"80.0%","16.7%","100%",144,468,-2,1.3,"3.9%",247,"11.0%","10.3%",2.71,0.27
"Tristana","ADC",1,"14.3%","0.0%","14.3%","0%","100%",1,2,9,5,"76.9%","11.1%","100%",44,166,4,10.5,"28.2%",495,"23.8%","23.7%",0.48,0.31
"Trundle","Jungle",5,"71.4%","28.6%","100.0%","60%","100%",3,12,28,2.6,"73.8%","25.5%","40%",-223,-205,0.4,5.2,"12.2%",195,"9.7%","14.9%",0.45,0.68
"Twitch","ADC",3,"42.9%","0.0%","42.9%","33%","100%",10,6,10,3.3,"64.5%","18.8%","67%",13,-184,-9,10,"30.0%",470,"24.8%","25.5%",0.44,0.27
"Varus","ADC",2,"28.6%","28.6%","57.1%","100%","100%",6,1,8,14,"63.6%","33.3%","0%",409,258,20.5,11.9,"30.2%",373,"21.9%","25.2%",0.48,0.58
"Vel'Koz","Middle",1,"14.3%","0.0%","14.3%","0%","0%",0,3,0,0,"0.0%","27.3%","0%",50,349,3,9.1,"25.0%",340,"21.8%","21.7%",0.52,0.17
"Vladimir","Middle",1,"14.3%","42.9%","57.1%","100%","100%",8,2,6,7,"77.8%","15.4%","0%",310,-82,7,8.3,"20.3%",717,"32.5%","22.4%",0.45,0.2
"Xayah","ADC",1,"14.3%","14.3%","28.6%","100%","0%",4,3,10,4.7,"77.8%","23.1%","0%",-44,-166,-4,10,"30.8%",485,"22.0%","24.2%",0.48,0.42
"Zac","-",0,"0%","57.1%","57.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ziggs","Middle",1,"14.3%","0.0%","14.3%","0%","100%",0,2,2,1,"40.0%","22.2%","0%",-357,-489,-13,8.2,"22.0%",976,"36.3%","20.2%",0.84,0.08
"Zoe","Middle",1,"14.3%","0.0%","14.3%","100%","0%",1,1,4,5,"55.6%","20.0%","100%",357,489,13,7.4,"15.4%",948,"38.7%","17.2%",0.57,0.35
