"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",4,"20.0%","20.0%","40.0%","50%","50%",2,8,37,4.9,"75.0%","17.8%","25%",-46,70,1.8,1.6,"5.2%",124,"6.5%","10.7%",1.54,0.27
"Anivia","Middle",1,"5.0%","5.0%","10.0%","0%","100%",2,3,3,1.7,"83.3%","23.1%","0%",-505,-311,-25,10,"34.7%",351,"31.4%","27.3%",0.58,0.12
"Azir","Middle",3,"15.0%","20.0%","35.0%","67%","0%",14,7,12,3.7,"63.4%","15.9%","0%",-300,-67,2,11,"31.0%",578,"26.2%","27.5%",0.61,0.44
"Bard","Support",3,"15.0%","5.0%","20.0%","67%","100%",3,6,35,6.3,"84.4%","17.6%","33%",-28,-58,-9.7,1.2,"4.8%",204,"9.8%","11.9%",2.63,0.56
"Braum","Support",9,"45.0%","15.0%","60.0%","78%","56%",8,27,62,2.6,"66.0%","25.7%","11%",-81,-22,9.1,1.9,"6.0%",153,"8.0%","11.4%",1.39,0.41
"Caitlyn","ADC",7,"35.0%","50.0%","85.0%","57%","57%",36,18,30,3.7,"64.1%","21.4%","14%",-11,-38,1.9,9.2,"28.3%",604,"29.0%","25.3%",0.41,0.36
"Camille","Jungle",2,"10.0%","55.0%","85.0%","50%","50%",3,10,16,1.9,"73.1%","34.5%","50%",-203,-395,-7.5,5.6,"16.0%",308,"14.2%","16.5%",1.34,0.38
"Camille","Top",4,"20.0%","55.0%","85.0%","25%","50%",12,15,10,1.5,"73.3%","25.0%","50%",-61,-252,-6.3,8.6,"27.4%",388,"19.6%","25.5%",0.53,0.22
"Cassiopeia","Middle",5,"25.0%","10.0%","35.0%","40%","80%",26,16,20,2.9,"69.7%","27.1%","40%",62,-24,5.4,9.4,"27.3%",521,"28.1%","25.5%",0.51,0.25
"Cho'Gath","Top",3,"15.0%","5.0%","20.0%","33%","100%",4,7,6,1.4,"30.3%","20.0%","0%",9,-35,-0.3,7.9,"23.8%",299,"17.2%","21.5%",0.57,0.29
"Ezreal","ADC",9,"45.0%","5.0%","50.0%","33%","33%",22,17,24,2.7,"63.0%","12.7%","0%",143,115,-2.8,8.7,"26.9%",609,"35.0%","26.0%",0.49,0.32
"Fiora","Top",4,"20.0%","20.0%","40.0%","50%","100%",10,7,7,2.4,"34.0%","20.0%","0%",-155,-69,-5,9,"28.9%",361,"19.6%","23.5%",0.52,0.18
"Galio","-",0,"0%","55.0%","55.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gangplank","Top",5,"25.0%","35.0%","60.0%","60%","40%",14,7,19,4.7,"55.0%","12.1%","20%",-191,-400,-19.2,9.1,"29.0%",592,"26.9%","26.7%",0.67,0.13
"Gnar","Top",4,"20.0%","70.0%","90.0%","50%","0%",7,8,9,2,"40.0%","13.1%","0%",-55,-53,1.5,8.7,"26.7%",366,"20.4%","23.4%",0.59,0.2
"Illaoi","-",0,"0%","15.0%","15.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jarvan IV","Jungle",1,"5.0%","5.0%","10.0%","0%","100%",1,3,6,2.3,"100.0%","20.0%","0%",450,909,5,4.1,"14.5%",138,"9.9%","16.5%",1.21,0.67
"Jayce","Top",1,"5.0%","30.0%","35.0%","100%","100%",4,4,6,2.5,"66.7%","57.1%","100%",709,695,22,9.4,"29.5%",456,"25.0%","23.9%",0.64,0.17
"Jhin","ADC",7,"35.0%","15.0%","50.0%","43%","29%",20,17,31,3,"67.1%","21.0%","29%",-75,-21,-3,9.3,"30.5%",489,"25.1%","25.4%",0.49,0.19
"Jinx","ADC",1,"5.0%","0.0%","5.0%","0%","100%",4,3,4,2.7,"72.7%","15.8%","0%",125,286,-3,9.4,"34.9%",467,"20.0%","27.6%",0.65,0.46
