"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Acce","Furious Gaming","Top",9,"44%","33%",19,14,64,5.9,"64.8%","14.8%","14.1%","22%",285,364,16.3,7.7,"21.8%",424,"22.4%",,232,"21.3%",,0.52,0.13,0.13
"Badmilk","Hafnet eSports","Support",5,"40%","80%",7,19,28,1.8,"67.3%","13.5%","23.2%","0%",-100,-170,-1,1.3,"4.2%",148,"7.8%",,126,"10.8%",,1.88,0.52,0.37
"Caos","Legatum","Support",3,"0%","0%",1,10,8,0.9,"45.0%","5.0%","20.0%","0%",-103,-177,3.7,0.7,"2.0%",77,"4.9%",,57,"6.8%",,1.06,0.47,0.22
"Clatos","Legatum","Jungle",3,"0%","100%",2,15,14,1.1,"80.0%","10.0%","30.0%","33%",-140,365,8.7,4.4,"14.9%",190,"12.2%",,139,"16.7%",,0.93,0.3,0.57
"Emp","Isurus","Middle",6,"50%","33%",26,7,27,7.6,"67.9%","33.3%","10.6%","33%",-14,122,2.5,8.9,"27.2%",530,"26.2%",,278,"25.5%",,0.6,0.21,0.28
"Fitz","Rebirth eSports","Top",9,"56%","89%",17,26,25,1.6,"43.3%","17.5%","26.8%","11%",-11,-90,-1.6,8.2,"25.4%",350,"18.4%",,241,"22.2%",,0.54,0.09,0.22
"Fix","Kaos Latin Gamers","ADC",8,"75%","38%",35,18,30,3.6,"67.0%","36.1%","23.1%","13%",168,129,7.5,10,"31.7%",631,"32.1%",,318,"27.5%",,0.4,0.13,0.34
"Froststrike","Furious Gaming","Jungle",1,"0%","100%",3,2,13,8,"64.0%","12.0%","11.8%","100%",-395,-920,-16,2.9,"7.9%",133,"6.0%",,121,"11.0%",,1.37,0.34,0.2
"Gambite","Hafnet eSports","Middle",5,"40%","60%",14,18,19,1.8,"63.5%","26.9%","22.0%","20%",51,184,-7.4,9.9,"31.5%",571,"31.3%",,295,"25.8%",,0.61,0.17,0.15
"Helior","Legatum","Top",3,"0%","33%",4,8,6,1.3,"50.0%","20.0%","16.0%","0%",-354,-249,-14.3,8.2,"29.7%",335,"21.5%",,210,"25.3%",,0.48,0.08,0.26
"Josedeodo","Furious Gaming","Jungle",8,"50%","63%",16,22,51,3,"65.0%","15.5%","26.8%","38%",-286,-448,-3,4.9,"14.7%",193,"10.9%",,177,"16.0%",,1.29,0.29,0.51
"Khynm","Hafnet eSports","Jungle",5,"40%","40%",10,20,27,1.9,"71.2%","19.2%","24.4%","60%",469,779,11.8,5,"13.7%",304,"16.1%",,186,"16.7%",,1.8,0.49,0.45
"Kindless","Isurus","ADC",6,"50%","33%",21,12,32,4.4,"67.9%","26.9%","18.2%","33%",-65,-19,-4,9,"30.1%",482,"23.4%",,276,"24.9%",,0.57,0.28,0.23
"Kirito","Legatum","Middle",3,"0%","67%",8,10,5,1.3,"65.0%","40.0%","20.0%","33%",94,-152,-4.7,8.4,"27.8%",533,"34.9%",,218,"26.3%",,0.56,0.23,0.27
