"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Alistar","Support",11,"36.7%","20.0%","56.7%","73%","27%",10,33,89,3,"78.0%","27.5%","27%",-32,-30,4.9,1.7,"5.4%",140,"7.6%","10.4%",1.58,0.2
"Anivia","Middle",2,"6.7%","0.0%","6.7%","0%","100%",2,2,4,3,"75.0%","5.9%","0%",-518,-196,-6.5,8.5,"27.6%",308,"20.9%","26.0%",0.37,0.09
"Ashe","ADC",1,"3.3%","0.0%","3.3%","100%","100%",1,1,9,10,"90.9%","25.0%","0%",399,277,21,12.7,"32.2%",570,"36.2%","25.8%",0.41,0.41
"Azir","Middle",4,"13.3%","16.7%","30.0%","25%","50%",9,10,18,2.7,"84.4%","23.3%","25%",217,445,9,10.3,"30.0%",669,"36.6%","26.2%",0.38,0.33
"Blitzcrank","Support",1,"3.3%","0.0%","3.3%","0%","100%",0,6,2,0.3,"50.0%","31.6%","0%",-173,-319,8,1.4,"4.7%",98,"10.1%","7.5%",1.16,0.2
"Braum","Support",10,"33.3%","10.0%","43.3%","60%","70%",6,22,94,4.5,"75.2%","21.6%","40%",-32,-33,3.4,1.9,"5.9%",170,"9.0%","11.1%",1.68,0.29
"Caitlyn","ADC",8,"26.7%","20.0%","46.7%","25%","50%",20,20,18,1.9,"71.7%","19.0%","25%",-89,10,-3.3,10.4,"32.9%",571,"31.8%","27.5%",0.33,0.41
"Camille","Jungle",1,"3.3%","56.7%","70.0%","100%","100%",8,3,15,7.7,"85.2%","18.8%","0%",-233,-183,-1,4.6,"16.0%",514,"20.1%","19.6%",0.4,0.34
"Camille","Top",3,"10.0%","56.7%","70.0%","0%","67%",2,9,6,0.9,"38.1%","18.0%","0%",24,123,6.7,8.3,"27.6%",264,"18.7%","24.3%",0.48,0.15
"Cassiopeia","Middle",6,"20.0%","36.7%","56.7%","17%","67%",17,15,42,3.9,"83.1%","16.1%","33%",6,45,6.5,9.8,"29.0%",544,"29.3%","24.9%",0.32,0.26
"Cho'Gath","Top",3,"10.0%","3.3%","13.3%","67%","67%",4,3,8,4,"46.2%","11.5%","0%",-174,-22,1,9.5,"24.8%",325,"15.8%","21.4%",0.61,0.14
"Ezreal","ADC",2,"6.7%","3.3%","10.0%","50%","100%",4,2,5,4.5,"56.3%","11.1%","0%",84,-29,0,10.8,"30.3%",601,"31.5%","27.1%",0.48,0.48
"Fiora","Top",2,"6.7%","0.0%","6.7%","50%","100%",3,5,5,1.6,"61.5%","25.0%","0%",601,474,12,9.7,"28.4%",514,"36.0%","25.8%",0.57,0.09
"Galio","Middle",7,"23.3%","23.3%","46.7%","29%","43%",18,24,45,2.6,"75.0%","21.6%","14%",-233,-193,-9.3,8.4,"24.2%",445,"22.2%","21.9%",0.38,0.16
"Gangplank","Top",4,"13.3%","53.3%","66.7%","100%","50%",15,6,44,9.8,"71.1%","13.6%","75%",47,-112,-13,8.3,"25.0%",556,"26.3%","23.7%",0.52,0.08
"Gnar","Top",10,"33.3%","20.0%","53.3%","60%","70%",15,20,52,3.4,"48.6%","17.7%","10%",-104,-82,-3.6,8.6,"24.9%",390,"19.5%","21.4%",0.54,0.21
"Gragas","Jungle",6,"20.0%","0.0%","20.0%","50%","83%",8,16,43,3.2,"75.0%","18.8%","17%",-562,-758,-18.5,4.4,"12.1%",306,"14.5%","16.1%",1.48,0.31
"Janna","Support",1,"3.3%","0.0%","3.3%","100%","0%",1,0,9,10,"90.9%","0.0%","100%",488,-195,-5,0.3,"1.9%",174,"10.8%","10.6%",1.1,0.09
"Jarvan IV","Jungle",3,"10.0%","6.7%","16.7%","100%","67%",8,5,41,9.8,"80.3%","14.7%","33%",23,-151,-0.7,5.2,"13.9%",220,"10.2%","17.2%",1.68,0.36
"Jax","-",0,"0%","3.3%","3.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jhin","ADC",7,"23.3%","0.0%","23.3%","14%","57%",18,10,22,4,"71.4%","11.9%","29%",-102,88,2,10,"28.9%",506,"27.2%","25.2%",0.4,0.33
"Kai'Sa","ADC",8,"26.7%","70.0%","96.7%","50%","13%",65,19,29,4.9,"87.9%","16.4%","25%",290,132,0.3,10.5,"34.2%",669,"35.1%","30.1%",0.33,0.35
"Kalista","ADC",1,"3.3%","0.0%","3.3%","100%","100%",5,2,5,5,"83.3%","22.2%","100%",81,-185,-4,12,"35.9%",520,"25.4%","29.6%",0.38,0.67
"Karma","Middle",4,"13.3%","63.3%","83.3%","50%","25%",4,6,18,3.7,"73.3%","21.4%","75%",114,107,-0.8,9.4,"25.7%",318,"18.8%","22.7%",0.41,0.29
"Karma","Support",2,"6.7%","63.3%","83.3%","100%","50%",2,2,13,7.5,"62.5%","33.3%","0%",93,1,-13,0.7,"2.9%",342,"13.3%","10.8%",1.65,0.44
