"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Bdd","Kingzone DragonX","Middle",18,"56%","39%",50,33,98,4.5,"75.9%","25.6%","17.6%","17%",-9,23,-1.8,8.6,"22.6%",420,"23.5%",,257,"21.8%",,0.64,0.17,0.12
"Betty","Flash Wolves","ADC",15,"53%","60%",52,20,68,6,"76.9%","33.3%","15.9%","40%",-131,111,0.9,9.9,"31.1%",536,"33.2%",,304,"26.9%",,0.47,0.16,0.41
"Broxah","Fnatic","Jungle",14,"36%","29%",29,31,79,3.5,"68.8%","18.5%","15.4%","43%",30,-19,0.4,5,"12.5%",163,"8.7%",,189,"16.5%",,1.08,0.32,0.27
"Bwipo","Fnatic","Top",13,"31%","15%",20,49,63,1.7,"58.5%","14.1%","24.7%","8%",107,262,3.8,8.5,"23.1%",473,"24.6%",,247,"21.6%",,0.51,0.11,0.12
"caPs","Fnatic","Middle",14,"36%","71%",57,50,62,2.4,"75.8%","36.3%","24.9%","29%",133,129,2.9,9.1,"24.9%",579,"30.7%",,275,"23.8%",,0.52,0.11,0.24
"Cuzz","Kingzone DragonX","Jungle",3,"67%","100%",11,7,31,6,"73.7%","19.3%","25.0%","33%",17,155,-8,5.2,"14.8%",321,"14.5%",,235,"17.4%",,0.42,0.34,0.61
"Doublelift","Team Liquid","ADC",11,"36%","55%",49,24,36,3.5,"81.0%","46.7%","18.2%","36%",54,-28,0.2,11,"33.7%",659,"38.6%",,322,"29.0%",,0.43,0.12,0.45
"GorillA","Kingzone DragonX","Support",18,"56%","33%",10,47,134,3.1,"73.8%","5.1%","25.0%","28%",-19,71,1.7,1.3,"4.1%",127,"7.2%",,126,"10.4%",,1.4,0.42,0.34
"Hanabi","Flash Wolves","Top",15,"53%","53%",16,36,60,2.1,"48.7%","10.3%","28.6%","13%",-86,-174,-9.1,8.5,"26.5%",313,"20.6%",,244,"22.1%",,0.64,0.2,0.18
"Hylissang","Fnatic","Support",14,"36%","50%",5,49,94,2,"63.1%","3.2%","24.4%","29%",-46,3,0.9,1.4,"4.1%",141,"7.5%",,117,"10.0%",,1.32,0.42,0.24
"Impact","Team Liquid","Top",11,"36%","91%",19,25,44,2.5,"60.0%","18.1%","18.9%","18%",58,-100,-0.5,8.6,"24.1%",324,"19.1%",,245,"22.1%",,0.54,0.16,0.09
"Joey","Team Liquid","Support",1,"0%","0%",0,3,1,0.3,"50.0%","0.0%","33.3%","100%",-121,4,10,1.8,"6.5%",99,"9.8%",,68,"8.3%",,1.15,0.33,0.19
"Karsa","Royal Never Give Up","Jungle",7,"86%","29%",11,11,61,6.5,"66.7%","10.2%","18.6%","57%",308,379,5.7,5.1,"12.1%",180,"9.0%",,214,"16.7%",,0.98,0.39,0.38
"Khan","Kingzone DragonX","Top",18,"56%","72%",43,37,58,2.7,"51.8%","22.1%","19.7%","11%",119,69,3.5,9.4,"28.5%",409,"23.9%",,284,"24.1%",,0.75,0.25,0.23
"Letme","Royal Never Give Up","Top",18,"78%","44%",26,23,119,6.3,"59.2%","10.6%","16.8%","17%",-55,-13,0.7,8,"22.0%",331,"18.1%",,242,"19.5%",,0.47,0.1,0.13
"Maple","Flash Wolves","Middle",15,"53%","60%",52,20,64,5.8,"74.4%","33.3%","15.9%","33%",-65,-156,-2.7,8.7,"24.9%",436,"26.3%",,256,"22.9%",,0.67,0.23,0.14
"Ming","Royal Never Give Up","Support",18,"78%","50%",16,27,160,6.5,"71.8%","6.5%","19.7%","17%",68,67,-2.8,1,"2.9%",161,"8.6%",,134,"10.6%",,1.63,0.55,0.3
"Mlxg","Royal Never Give Up","Jungle",11,"73%","73%",27,20,60,4.4,"63.5%","19.7%","25.6%","36%",-257,-384,-8.7,5.3,"13.7%",232,"12.6%",,206,"16.6%",,0.73,0.21,0.44
"MooJin","Flash Wolves","Jungle",15,"53%","40%",26,27,74,3.7,"64.1%","16.7%","21.4%","60%",146,260,5,5.3,"14.3%",187,"11.2%",,198,"17.6%",,1.03,0.44,0.43
"Olleh","Team Liquid","Support",10,"40%","70%",8,33,66,2.2,"71.8%","7.8%","26.8%","40%",39,71,1.9,1.5,"4.9%",146,"8.9%",,119,"10.4%",,1.55,0.53,0.23
"Peanut","Kingzone DragonX","Jungle",15,"53%","60%",14,20,85,5,"71.7%","10.1%","12.5%","13%",-43,-210,1.5,5.5,"14.8%",168,"9.6%",,197,"17.0%",,0.64,0.3,0.67
"Pobelter","Team Liquid","Middle",11,"36%","27%",14,25,55,2.8,"65.7%","13.3%","18.9%","36%",-103,-199,-3,8.8,"24.2%",363,"22.0%",,236,"21.8%",,0.49,0.15,0.2
"PraY","Kingzone DragonX","ADC",18,"56%","39%",67,44,79,3.3,"74.9%","34.4%","23.4%","22%",97,19,-0.2,10.2,"30.0%",629,"35.1%",,317,"26.7%",,0.47,0.12,0.35
"Rekkles","Fnatic","ADC",14,"36%","50%",46,21,56,4.9,"65.0%","29.3%","10.4%","14%",-69,-23,-3.4,11.4,"35.8%",593,"29.5%",,332,"28.5%",,0.36,0.08,0.53
"Ronop","EVOS Esports","Support",10,"20%","50%",5,48,35,0.8,"49.4%","6.2%","30.4%","10%",-212,-312,-0.2,1.2,"3.7%",115,"7.7%",,86,"8.1%",,1.45,0.42,0.28
"Slay","EVOS Esports","ADC",10,"20%","70%",25,26,28,2,"65.4%","30.9%","16.5%","10%",-347,-205,-12.6,10,"31.2%",458,"30.3%",,283,"27.6%",,0.53,0.16,0.29
"sOAZ","Fnatic","Top",1,"100%","100%",0,1,7,7,"46.7%","0.0%","33.3%","0%",-186,-948,-26,7.2,"17.7%",182,"11.9%",,226,"16.3%",,0.63,0.14,0.19
"Stark","EVOS Esports","Top",10,"20%","10%",17,21,28,2.1,"55.6%","21.0%","13.3%","20%",-171,23,4.4,8.6,"24.9%",293,"20.1%",,234,"22.4%",,0.55,0.15,0.06
"SwordArt","Flash Wolves","Support",15,"53%","60%",10,23,111,5.3,"77.6%","6.4%","18.3%","47%",109,-8,-1.3,0.9,"3.2%",138,"8.6%",,119,"10.6%",,1.25,0.4,0.32
"Uzi","Royal Never Give Up","ADC",18,"78%","39%",104,21,76,8.6,"73.5%","42.4%","15.3%","11%",226,37,9,12,"37.3%",742,"39.4%",,384,"30.8%",,0.44,0.1,0.52
"Warzone","EVOS Esports","Middle",10,"20%","30%",25,29,27,1.8,"64.2%","30.9%","18.4%","20%",-202,-59,-4.4,8.8,"24.9%",420,"28.2%",,240,"23.6%",,0.75,0.34,0.18
"Xiaohu","Royal Never Give Up","Middle",18,"78%","61%",61,35,101,4.6,"66.1%","24.9%","25.5%","28%",134,161,6.1,9.2,"24.6%",431,"22.6%",,283,"22.5%",,0.47,0.16,0.25
"Xmithie","Team Liquid","Jungle",11,"36%","36%",15,22,73,4,"83.8%","14.3%","16.7%","45%",-34,-194,-5.8,5.1,"13.0%",178,"11.3%",,184,"16.9%",,0.97,0.33,0.35
"Yijin","EVOS Esports","Jungle",10,"20%","70%",9,34,47,1.6,"69.1%","11.1%","21.5%","30%",-95,274,4.1,5.5,"15.3%",194,"13.7%",,185,"18.3%",,0.96,0.29,0.37
