"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Betty","Flash Wolves","ADC",3,"100%","67%",13,3,17,10,"69.8%","30.2%","20.0%","0%",-174,221,-1.3,10.2,"33.3%",735,"32.4%",,340,"26.6%",,0.49,0.22,0.3
"Chippys","Dire Wolves","Top",6,"33%","83%",12,18,16,1.6,"51.9%","22.2%","21.4%","0%",-433,-341,-9.8,8.5,"25.5%",348,"19.9%",,246,"22.2%",,0.52,0.09,0.08
"Cupcake","Dire Wolves","Support",6,"33%","33%",4,18,31,1.9,"64.8%","7.4%","21.4%","33%",-331,-132,4,1.8,"6.0%",178,"9.8%",,122,"11.2%",,1.14,0.34,0.33
"Diamondprox","Gambit Esports","Jungle",9,"56%","67%",14,20,62,3.8,"76.8%","14.1%","20.0%","67%",327,245,4.1,5.5,"15.1%",248,"11.8%",,201,"17.6%",,0.74,0.32,0.39
"dyNquedo","KaBuM! e-Sports","Middle",6,"67%","83%",30,10,31,6.1,"56.0%","27.5%","11.1%","33%",52,117,5.8,8.3,"26.4%",561,"24.9%",,292,"23.2%",,0.77,0.3,0.27
"Edward","Gambit Esports","Support",9,"56%","44%",8,24,65,3,"73.7%","8.1%","24.0%","44%",3,112,-0.2,1.4,"4.8%",230,"12.0%",,122,"10.7%",,1.29,0.42,0.38
"fabFabulous","SuperMassive Esports","Top",10,"60%","40%",33,30,59,3.1,"59.0%","21.2%","21.6%","10%",131,-43,1.1,7.5,"22.6%",514,"23.3%",,272,"21.1%",,0.5,0.14,0.09
"Fix","Kaos Latin Gamers","ADC",6,"33%","50%",26,13,22,3.7,"80.0%","43.3%","17.6%","33%",229,256,2.5,9.2,"29.7%",524,"30.4%",,282,"27.3%",,0.43,0.19,0.33
"G4","Ascension Gaming","Middle",6,"33%","50%",9,20,44,2.7,"72.6%","12.3%","22.5%","0%",-172,95,1.7,8.7,"24.3%",563,"28.1%",,244,"21.8%",,0.63,0.22,0.19
"Gaeng","PENTAGRAM","Support",6,"17%","67%",10,15,32,2.8,"82.4%","19.6%","20.0%","33%",399,239,-1.8,0.9,"2.9%",193,"11.8%",,115,"11.1%",,1.59,0.67,0.33
"GBM","SuperMassive Esports","Middle",10,"60%","70%",37,28,60,3.5,"62.2%","23.7%","20.1%","10%",-172,-288,-9.3,8.3,"24.4%",474,"22.0%",,287,"22.4%",,0.41,0.17,0.09
"Genthix","Rainbow7","Support",6,"50%","67%",6,18,51,3.2,"76.0%","8.0%","25.0%","33%",130,163,3.2,1.1,"3.3%",155,"9.3%",,110,"9.7%",,1.12,0.31,0.27
"Hanabi","Flash Wolves","Top",3,"100%","67%",11,3,13,8,"55.8%","25.6%","20.0%","0%",137,513,1.3,8.2,"23.7%",514,"24.4%",,292,"23.0%",,0.73,0.2,0.13
"InTreso","Ascension Gaming","Jungle",6,"33%","50%",18,14,37,3.9,"75.3%","24.7%","15.7%","0%",-251,-140,-2.2,5.6,"17.2%",261,"12.8%",,209,"19.3%",,0.51,0.22,0.35
"Jirall","Rainbow7","Top",6,"50%","33%",12,13,29,3.2,"54.7%","16.0%","18.1%","17%",6,-56,-3.8,8.1,"22.8%",358,"19.0%",,242,"21.1%",,0.62,0.25,0.09
"k1ng","Dire Wolves","ADC",6,"33%","83%",10,15,22,2.1,"59.3%","18.5%","17.9%","33%",-582,-83,-8.3,9.9,"30.5%",481,"25.7%",,273,"25.0%",,0.44,0.11,0.24
"Kira","Gambit Esports","Middle",9,"56%","67%",21,22,44,3,"65.7%","21.2%","22.0%","33%",-118,-197,-5.4,8.9,"27.0%",500,"24.4%",,266,"23.3%",,0.38,0.26,0.32
"Lloyd","Ascension Gaming","ADC",6,"33%","67%",27,18,31,3.2,"79.5%","37.0%","20.2%","0%",-653,-112,-4.8,9.3,"29.7%",579,"28.0%",,295,"25.9%",,0.41,0.09,0.28
"Lodik","Gambit Esports","ADC",9,"56%","33%",42,14,35,5.5,"77.8%","42.4%","14.0%","22%",108,-117,-0.6,9.7,"30.8%",654,"31.0%",,307,"26.8%",,0.36,0.15,0.25
"Maple","Flash Wolves","Middle",3,"100%","33%",5,2,22,13.5,"62.8%","11.6%","13.3%","33%",697,468,14.7,8.8,"25.3%",498,"25.4%",,265,"21.2%",,0.61,0.17,0.15
"MooJin","Flash Wolves","Jungle",3,"100%","33%",13,3,20,11,"76.7%","30.2%","20.0%","33%",180,192,-2.7,5,"14.6%",245,"11.3%",,228,"18.6%",,0.64,0.39,0.41
"Nate","Kaos Latin Gamers","Top",6,"33%","83%",13,12,17,2.5,"50.0%","21.7%","16.2%","17%",-274,-1,-5.5,7.9,"23.8%",331,"20.0%",,218,"20.9%",,0.56,0.17,0.09
"Oddie","Rainbow7","Jungle",6,"50%","33%",10,19,41,2.7,"68.0%","13.3%","26.4%","33%",-385,-696,-12.8,4.4,"12.3%",188,"10.1%",,171,"15.3%",,0.42,0.2,0.37
"Once","PENTAGRAM","Jungle",6,"17%","50%",6,23,21,1.2,"52.9%","11.8%","30.7%","33%",63,398,5.7,5.1,"12.9%",273,"17.3%",,170,"16.8%",,0.74,0.29,0.53
"Paz","PENTAGRAM","Top",6,"17%","67%",12,11,16,2.5,"54.9%","23.5%","14.7%","17%",176,194,7.8,8.8,"25.9%",346,"21.0%",,234,"23.3%",,0.44,0.06,0.11
"Plugo","Kaos Latin Gamers","Middle",6,"33%","17%",8,10,30,3.8,"63.3%","13.3%","13.5%","17%",18,-31,-4.7,8.7,"26.9%",424,"24.8%",,235,"23.1%",,0.77,0.36,0.2
"PvPStejos","Gambit Esports","Top",9,"56%","44%",14,20,48,3.1,"62.6%","14.1%","20.0%","33%",193,-153,2.1,7.8,"22.4%",432,"20.8%",,241,"21.6%",,0.48,0.09,0.21
"Ramune","PENTAGRAM","Middle",6,"17%","17%",8,11,13,1.9,"41.2%","15.7%","14.7%","0%",-173,48,0.2,8.4,"24.3%",343,"22.3%",,207,"20.6%",,0.46,0.19,0.14
"Ranger","KaBuM! e-Sports","Jungle",6,"67%","50%",28,22,45,3.3,"67.0%","25.7%","24.4%","67%",147,-85,-6.7,4.6,"12.9%",376,"16.1%",,231,"17.7%",,0.8,0.31,0.22
"Rich","Ascension Gaming","Support",6,"33%","67%",7,21,55,3,"84.9%","9.6%","23.6%","0%",-414,-243,-2.2,1,"2.8%",202,"10.7%",,127,"10.8%",,1.26,0.35,0.24
"Riyev","KaBuM! e-Sports","Support",6,"67%","50%",3,21,71,3.5,"67.9%","2.8%","23.3%","17%",-193,-200,-8.5,1.3,"3.7%",151,"7.2%",,137,"10.6%",,1.14,0.39,0.38
"Rockky","Ascension Gaming","Top",6,"33%","33%",12,16,32,2.8,"60.3%","16.4%","18.0%","0%",-90,29,5.5,8.8,"26.0%",407,"20.4%",,250,"22.3%",,0.61,0.2,0.12
"Ronop","EVOS Esports","Support",4,"75%","50%",3,11,36,3.5,"60.9%","4.7%","23.9%","50%",10,-209,-3,1.4,"4.0%",157,"7.4%",,131,"9.8%",,1.43,0.4,0.33
