"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",1,"0.9%","0.0%","0.9%","100%","100%",1,3,7,2.7,"61.5%","37.5%","0%",-538,-542,-18,8.3,"24.1%",501,"31.2%","20.2%",0.59,0.15
"Alistar","Support",14,"12.5%","22.3%","34.8%","29%","50%",10,51,80,1.8,"71.4%","26.4%","36%",-101,-18,-0.4,1.4,"3.9%",127,"7.6%","9.5%",1.38,0.34
"Anivia","Middle",1,"0.9%","0.9%","1.8%","0%","0%",3,5,6,1.8,"69.2%","26.3%","0%",-229,-245,-16,10.7,"34.4%",532,"26.7%","28.3%",0.78,0.35
"Aurelion Sol","Middle",4,"3.6%","0.9%","4.5%","75%","100%",5,6,37,7,"80.8%","19.4%","25%",-8,-70,-7.3,8.9,"24.7%",420,"22.3%","21.5%",0.67,0.28
"Azir","Middle",34,"30.4%","41.1%","71.4%","44%","30%",89,49,107,4,"63.6%","16.1%","12%",-28,12,0.7,10,"29.8%",589,"33.8%","25.3%",0.48,0.32
"Bard","Support",2,"1.8%","0.0%","1.8%","100%","100%",1,6,24,4.2,"61.0%","40.0%","0%",-58,374,-10.5,1,"4.2%",246,"12.2%","10.6%",2.07,0.45
"Blitzcrank","Support",2,"1.8%","0.0%","1.8%","0%","50%",3,9,5,0.9,"57.1%","27.3%","50%",323,-531,-6,0.8,"3.3%",137,"12.6%","9.6%",1.04,0.26
"Braum","Support",48,"42.9%","32.1%","75.0%","42%","25%",21,127,348,2.9,"77.4%","22.8%","33%",-15,-28,3.7,2.1,"6.2%",146,"8.0%","11.1%",1.29,0.33
"Caitlyn","ADC",39,"34.8%","24.1%","58.9%","54%","33%",165,84,163,3.9,"72.1%","18.8%","18%",-130,-39,1.3,10,"32.1%",679,"32.9%","27.0%",0.35,0.31
"Camille","Jungle",6,"5.4%","56.3%","76.8%","50%","33%",11,20,25,1.8,"59.0%","29.0%","33%",-97,-131,-4,4.6,"12.1%",237,"12.6%","15.8%",1.32,0.38
"Camille","Top",17,"15.2%","56.3%","76.8%","47%","25%",60,40,72,3.3,"68.0%","22.0%","18%",183,251,4.1,8.3,"24.6%",424,"23.4%","23.0%",0.49,0.17
"Cassiopeia","Middle",14,"12.5%","19.6%","32.1%","71%","71%",42,15,73,7.7,"73.2%","12.9%","21%",-41,-227,1.6,9.4,"26.8%",491,"27.2%","24.3%",0.53,0.22
