"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ace","HWA Gaming","Middle",13,"38%","75%",33,25,64,3.9,"75.2%","25.6%","13.8%","15%",-255,-113,-4.2,9.1,"27.2%",455,"25.0%",,258,"25.4%",,0.63,0.2,0.18
"Achuu","HWA Gaming","ADC",28,"39%","30%",94,62,114,3.4,"76.8%","34.7%","17.4%","21%",-311,-100,-3.4,9.8,"32.1%",653,"35.1%",,288,"27.1%",,0.4,0.11,0.32
"Armut","HWA Gaming","Top",28,"39%","52%",50,72,115,2.3,"60.9%","18.5%","20.2%","21%",43,120,2,8,"23.7%",400,"22.3%",,225,"21.5%",,0.61,0.12,0.15
"Backlund","Galakticos","Middle",16,"13%","56%",33,32,50,2.6,"73.5%","29.2%","14.5%","13%",-109,-51,1.9,9.7,"30.0%",553,"30.9%",,259,"25.5%",,0.42,0.07,0.16
"Broken Blade","Royal Bandits","Support",1,"100%","100%",2,2,14,8,"76.2%","9.5%","18.2%","0%",-943,173,11,1.3,"3.0%",213,"10.0%",,157,"11.6%",,0.95,0.32,0.32
"Broken Blade","Royal Bandits","Top",27,"74%","48%",46,35,129,5,"56.3%","14.8%","20.6%","26%",5,-13,-3.2,8.3,"24.2%",418,"23.3%",,257,"21.0%",,0.68,0.24,0.15
"Cepted","Royal Bandits","Middle",27,"74%","37%",89,26,115,7.8,"65.6%","28.6%","15.3%","19%",48,26,4.1,10,"28.6%",484,"26.2%",,304,"24.6%",,0.52,0.15,0.25
"Cepted","Royal Bandits","Top",1,"100%","100%",7,3,6,4.3,"61.9%","33.3%","27.3%","0%",-144,231,10,8.4,"25.8%",413,"19.4%",,336,"24.8%",,0.36,0.08,0.16
"Chaser","Fenerbahçe Esports","Jungle",28,"54%","43%",56,50,224,5.6,"80.5%","16.1%","18.8%","39%",259,236,7,5.3,"13.7%",201,"11.1%",,207,"17.4%",,1.4,0.4,0.5
"Chosen","Galakticos","Jungle",6,"17%","33%",11,20,21,1.6,"61.5%","21.2%","21.5%","0%",-115,-206,-11.2,4.6,"13.6%",224,"14.2%",,164,"17.2%",,0.87,0.29,0.34
"Coco","YouthCrew Esports","Middle",15,"40%","67%",33,27,55,3.3,"66.7%","25.0%","16.8%","13%",39,-91,-0.9,9,"24.3%",447,"24.4%",,252,"22.9%",,0.46,0.17,0.23
"Dumbledoge","Royal Bandits","Middle",1,"100%","0%",4,1,13,17,"81.0%","19.0%","9.1%","0%",546,-379,16,8.2,"28.5%",652,"30.6%",,298,"22.1%",,0.56,0.2,0.16
"Dumbledoge","Royal Bandits","Support",27,"74%","52%",15,43,224,5.6,"76.8%","4.8%","25.3%","48%",13,72,-1.5,1.7,"5.5%",146,"8.0%",,144,"11.6%",,1.12,0.26,0.39
"Elwind","YouthCrew Esports","Top",28,"46%","41%",53,48,94,3.1,"54.6%","19.7%","14.6%","4%",-140,-10,-1.4,8.5,"24.5%",382,"20.7%",,241,"21.7%",,0.52,0.09,0.2
"existence","Galakticos","ADC",1,"0%","0%",1,2,4,2.5,"45.5%","9.1%","9.5%","100%",388,403,-5,8,"33.5%",327,"27.5%",,232,"23.8%",,0.32,0,0.08
"existence","Galakticos","Top",27,"11%","41%",43,81,74,1.4,"60.9%","22.4%","20.1%","7%",-263,-259,-4.6,7.6,"22.9%",420,"26.3%",,215,"22.2%",,0.52,0.07,0.1
"fabFabulous","SuperMassive Esports","Support",1,"100%","0%",2,2,7,4.5,"50.0%","11.1%","11.8%","0%",66,-100,-12,1,"3.9%",272,"14.2%",,118,"10.4%",,1.13,0.16,0.19
"fabFabulous","SuperMassive Esports","Top",27,"93%","56%",83,45,160,5.4,"57.6%","19.7%","20.0%","4%",-58,22,-1,8.1,"22.8%",430,"19.6%",,280,"20.7%",,0.56,0.1,0.16
"Farfetch","Team AURORA","Support",16,"44%","44%",8,45,130,3.1,"75.4%","4.4%","21.5%","38%",10,-50,1.6,1.3,"4.0%",174,"9.3%",,114,"10.2%",,1.28,0.36,0.4
"FATE","Dark Passage","Middle",19,"47%","37%",40,24,89,5.4,"69.7%","21.6%","15.1%","42%",35,-102,-4.7,9.7,"28.2%",550,"32.4%",,272,"23.9%",,0.55,0.27,0.21
