"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",2,"15.4%","0.0%","15.4%","0%","50%",5,4,3,2,"53.3%","18.2%","100%",247,258,-3.5,8.1,"25.4%",319,"21.4%","24.0%",0.44,0.15
"Ahri","Middle",1,"7.7%","0.0%","7.7%","100%","0%",5,0,2,7,"63.6%","0.0%","0%",-248,-137,-11,9,"24.0%",453,"29.1%","24.2%",0.64,0.55
"Alistar","Support",3,"23.1%","0.0%","23.1%","100%","33%",3,12,32,2.9,"72.9%","48.0%","67%",136,-73,-2.7,1.6,"5.2%",146,"7.9%","10.1%",1.51,0.3
"Ashe","ADC",4,"30.8%","15.4%","46.2%","75%","50%",15,5,32,9.4,"67.1%","12.5%","0%",-30,26,-5,8.6,"27.7%",524,"25.2%","23.7%",0.39,0.31
"Braum","Support",5,"38.5%","30.8%","69.2%","20%","20%",4,17,31,2.1,"76.1%","20.0%","20%",-6,-117,6.4,2.1,"7.8%",170,"9.8%","10.7%",1.46,0.33
"Cassiopeia","-",0,"0%","15.4%","15.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Corki","Middle",4,"30.8%","7.7%","38.5%","25%","50%",8,6,12,3.3,"57.1%","13.3%","25%",52,75,0.3,9.1,"26.4%",552,"35.0%","24.7%",0.43,0.24
"Draven","ADC",2,"15.4%","0.0%","15.4%","100%","0%",8,3,11,6.3,"52.8%","25.0%","0%",-581,-489,-18.5,8.1,"28.5%",260,"13.6%","23.1%",0.39,0.38
"Ezreal","ADC",1,"7.7%","15.4%","23.1%","100%","100%",0,2,4,2,"80.0%","33.3%","0%",579,583,2,9.7,"27.9%",497,"32.2%","24.7%",0.52,0.32
"Galio","Support",4,"30.8%","23.1%","53.8%","50%","0%",2,8,21,2.9,"74.2%","16.7%","0%",-176,-66,4.5,2.2,"6.9%",177,"10.8%","9.9%",1.38,0.24
