"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"BeryL","DWG KIA","Support",5,"40%","40%",1,17,31,1.9,"69.6%","2.2%","25.0%","0%",-138,-197,4.4,1.9,"7.0%",111,"6.5%",,98,"8.8%",,1.73,0.58,0.44
"Canyon","DWG KIA","Jungle",6,"33%","50%",7,23,31,1.7,"67.9%","12.5%","23.5%","0%",-57,-87,-2.3,4.6,"12.3%",241,"13.0%",,163,"15.1%",,0.53,0.41,0.44
"Chovy","Griffin","Middle",3,"0%","33%",6,10,4,1,"55.6%","33.3%","21.7%","33%",94,191,3.7,9.1,"25.8%",251,"19.0%",,243,"23.6%",,0.37,0.08,0.26
"Clid","SK Telecom T1","Jungle",6,"100%","17%",18,13,55,5.6,"74.5%","18.4%","23.6%","33%",188,70,4,5,"12.2%",216,"11.5%",,203,"16.2%",,1.04,0.34,0.66
"Cuzz","Kingzone DragonX","Jungle",6,"50%","50%",13,16,47,3.8,"58.3%","12.6%","23.2%","33%",-82,-33,-2,5.1,"13.7%",279,"13.6%",,195,"16.1%",,0.85,0.4,0.58
"Deft","Kingzone DragonX","ADC",6,"50%","67%",26,12,44,5.8,"68.0%","25.2%","17.4%","33%",14,108,-2.2,10.7,"33.5%",594,"29.9%",,333,"27.3%",,0.51,0.19,0.48
"Dove","Liiv SANDBOX","Middle",3,"33%","33%",8,7,16,3.4,"75.0%","25.0%","17.9%","67%",123,-65,-2.3,8,"20.2%",469,"26.5%",,241,"21.9%",,0.36,0.22,0.18
"Faker","SK Telecom T1","Middle",6,"100%","33%",28,12,34,5.2,"63.3%","28.6%","21.8%","33%",-108,-56,2,9.9,"26.6%",533,"28.2%",,309,"24.4%",,0.51,0.26,0.32
"Ghost","Liiv SANDBOX","ADC",3,"33%","33%",15,6,10,4.2,"78.1%","46.9%","15.4%","33%",334,82,7.7,10,"32.0%",505,"28.9%",,317,"28.6%",,0.48,0.17,0.42
"Hoit","DWG KIA","Support",1,"0%","0%",1,7,8,1.3,"90.0%","10.0%","23.3%","100%",153,102,2,1.9,"7.2%",141,"7.2%",,90,"9.6%",,1.26,0.48,0.31
"Joker","Liiv SANDBOX","Support",3,"33%","33%",1,12,18,1.6,"59.4%","3.1%","30.8%","33%",145,274,2.7,2,"6.0%",211,"13.1%",,108,"9.7%",,1.68,0.51,0.31
"Khan","SK Telecom T1","Top",6,"100%","67%",17,12,31,4,"49.0%","17.3%","21.8%","17%",48,-87,3.3,8.5,"22.8%",456,"23.6%",,265,"21.0%",,0.58,0.25,0.16
"Lehends","Griffin","Support",3,"0%","67%",4,8,9,1.6,"72.2%","22.2%","17.4%","33%",1008,710,48.3,3.9,"8.3%",189,"14.1%",,159,"15.4%",,1.47,0.41,0.31
"Mata","SK Telecom T1","Support",6,"100%","50%",3,14,68,5.1,"72.4%","3.1%","25.5%","50%",-490,-372,-24.5,2,"6.1%",133,"7.0%",,132,"10.4%",,1.87,0.58,0.45
"Nuclear","DWG KIA","ADC",6,"33%","50%",16,17,22,2.2,"67.9%","28.6%","17.3%","17%",-293,-232,-6.3,9.2,"28.2%",388,"21.8%",,275,"25.3%",,0.46,0.15,0.46
"Nuguri","DWG KIA","Top",6,"33%","17%",13,22,20,1.5,"58.9%","23.2%","22.4%","0%",77,-40,5.5,9.7,"29.8%",521,"30.1%",,294,"27.4%",,0.56,0.26,0.32
"OnFleek","Liiv SANDBOX","Jungle",3,"33%","67%",3,5,16,3.8,"59.4%","9.4%","12.8%","33%",170,270,5,4.9,"12.0%",137,"8.1%",,172,"15.4%",,1.32,0.32,0.76
"PawN","Kingzone DragonX","Middle",6,"50%","50%",32,9,42,8.2,"71.8%","31.1%","13.0%","33%",147,-66,-3.8,9.1,"26.2%",583,"30.4%",,310,"25.3%",,0.53,0.34,0.33
"Rascal","Kingzone DragonX","Top",6,"50%","67%",20,17,43,3.7,"61.2%","19.4%","24.6%","33%",-128,61,-9.7,8,"21.5%",389,"19.1%",,255,"20.5%",,0.58,0.26,0.23
"ShowMaker","DWG KIA","Middle",6,"33%","83%",18,12,24,3.5,"75.0%","32.1%","12.2%","0%",-147,60,1.2,8.7,"22.7%",519,"28.5%",,261,"23.3%",,0.46,0.21,0.36
"Summit","Liiv SANDBOX","Top",3,"33%","67%",5,9,9,1.6,"43.8%","15.6%","23.1%","33%",226,183,5,9.7,"29.8%",400,"23.4%",,270,"24.3%",,0.43,0.14,0.25
"Sw0rd","Griffin","Top",3,"0%","33%",3,11,4,0.6,"38.9%","16.7%","23.9%","33%",-220,-52,-3.3,7.5,"22.3%",287,"21.4%",,195,"19.8%",,0.49,0.16,0.17
"Tarzan","Griffin","Jungle",3,"0%","100%",3,9,9,1.3,"66.7%","16.7%","19.6%","33%",-268,-170,-4.3,4.9,"14.3%",253,"19.1%",,169,"16.4%",,1.26,0.47,0.57
"Teddy","SK Telecom T1","ADC",6,"100%","67%",32,4,26,14.5,"59.2%","32.7%","7.3%","33%",289,156,22.3,11.1,"32.4%",552,"29.6%",,359,"28.1%",,0.44,0.13,0.39
