"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",2,"20.0%","0.0%","20.0%","100%","0%",8,2,12,10,"51.3%","22.2%","50%",727,155,13,8,"22.9%",427,"21.2%","21.3%",0.42,0.15
"Alistar","Support",3,"30.0%","20.0%","50.0%","33%","100%",2,12,5,0.6,"31.8%","25.0%","33%",-358,-363,1.3,1.8,"6.4%",95,"6.9%","8.9%",1.46,0.36
"Anivia","-",0,"0%","10.0%","10.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Blitzcrank","Support",1,"10.0%","0.0%","10.0%","100%","100%",1,1,11,12,"57.1%","14.3%","100%",-65,213,-1,0.3,"0.9%",143,"6.5%","11.0%",1.44,0.23
"Braum","Support",4,"40.0%","20.0%","60.0%","50%","0%",0,8,32,4,"68.1%","17.8%","50%",-32,-193,4.8,2.1,"7.8%",119,"7.7%","10.3%",1.5,0.34
"Caitlyn","ADC",1,"10.0%","0.0%","10.0%","100%","100%",3,1,5,8,"61.5%","16.7%","0%",185,392,10,8.9,"22.0%",655,"37.4%","21.7%",0.32,0.24
"Camille","Top",1,"10.0%","0.0%","10.0%","0%","100%",3,4,2,1.3,"71.4%","21.1%","0%",679,-261,-1,6.7,"23.1%",223,"18.0%","23.1%",0.42,0.21
"Cassiopeia","-",0,"0%","50.0%","50.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Corki","Middle",1,"10.0%","10.0%","20.0%","100%","100%",7,2,5,6,"70.6%","15.4%","0%",-171,-158,0,8.4,"28.8%",931,"43.8%","28.5%",0.48,0.28
"Draven","ADC",1,"10.0%","0.0%","10.0%","0%","0%",3,2,1,2,"66.7%","15.4%","0%",-185,-392,-10,9.1,"34.3%",408,"22.6%","32.2%",0.36,0.08
"Elise","-",0,"0%","10.0%","10.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ezreal","ADC",3,"30.0%","0.0%","30.0%","33%","100%",5,5,10,3,"62.5%","11.9%","0%",24,29,-4,9,"29.8%",467,"30.2%","26.9%",0.38,0.15
"Fiddlesticks","Support",1,"10.0%","10.0%","20.0%","100%","0%",3,2,10,6.5,"68.4%","28.6%","0%",198,-118,-11,1.2,"3.6%",281,"14.2%","13.3%",1.49,0.52
"Fiora","Top",1,"10.0%","0.0%","10.0%","0%","100%",1,4,1,0.5,"28.6%","19.0%","0%",-122,316,7,7.4,"21.5%",226,"13.3%","20.0%",0.35,0.23
"Galio","Middle",3,"30.0%","30.0%","70.0%","33%","67%",5,10,15,2,"74.1%","26.3%","0%",-140,-240,-11.7,7.3,"24.2%",469,"27.7%","20.7%",0.41,0.1
"Galio","Support",1,"10.0%","30.0%","70.0%","0%","0%",2,2,4,3,"50.0%","16.7%","100%",828,964,5,1.9,"7.0%",205,"9.5%","14.0%",1,0.22
