"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",4,"18.2%","4.5%","22.7%","25%","50%",10,14,11,1.5,"67.7%","22.2%","0%",-383,-349,-4,8.9,"28.2%",360,"23.3%","24.1%",0.49,0.13
"Akali","Middle",1,"4.5%","68.2%","95.5%","100%","0%",9,0,6,15,"78.9%","0.0%","0%",68,153,5,8.6,"26.9%",509,"17.7%","25.2%",0.41,0.27
"Akali","Top",5,"22.7%","68.2%","95.5%","0%","20%",9,10,10,1.9,"61.3%","13.7%","20%",119,173,2.2,7.9,"26.0%",370,"24.4%","23.7%",0.48,0.15
"Alistar","Support",4,"18.2%","0.0%","18.2%","75%","100%",2,9,42,4.9,"74.6%","26.5%","0%",-65,85,1.8,1.1,"3.3%",115,"5.8%","8.1%",1.49,0.24
"Ashe","ADC",3,"13.6%","0.0%","13.6%","67%","67%",4,7,16,2.9,"57.1%","31.8%","33%",349,248,25.3,8.9,"27.1%",369,"21.0%","22.9%",0.37,0.5
"Braum","Support",13,"59.1%","13.6%","72.7%","38%","77%",2,38,78,2.1,"74.8%","21.6%","8%",-10,-18,-0.1,2,"7.1%",98,"6.6%","9.9%",1.4,0.26
"Cho'Gath","Top",2,"9.1%","0.0%","9.1%","50%","100%",4,4,5,2.3,"47.4%","17.4%","50%",38,-118,-2,8.4,"23.0%",377,"24.1%","22.3%",0.51,0.16
"Corki","Middle",2,"9.1%","9.1%","18.2%","0%","100%",2,6,5,1.2,"100.0%","20.0%","0%",-274,-285,-4.5,9,"26.8%",484,"30.9%","24.8%",0.36,0.18
"Elise","Jungle",2,"9.1%","0.0%","9.1%","50%","100%",5,2,8,6.5,"65.0%","10.0%","0%",174,615,11.5,5.6,"14.7%",323,"20.5%","18.8%",0.92,0.41
"Ezreal","ADC",8,"36.4%","4.5%","40.9%","50%","50%",17,10,42,5.9,"66.3%","12.7%","13%",130,2,-1,9.3,"28.4%",567,"29.9%","26.0%",0.37,0.37
"Galio","Support",12,"54.5%","18.2%","72.7%","33%","8%",8,38,87,2.5,"67.4%","27.7%","25%",-84,-45,-3.7,1.8,"5.9%",140,"8.2%","9.5%",1.48,0.26
"Gangplank","Top",3,"13.6%","50.0%","63.6%","67%","67%",12,5,16,5.6,"80.0%","14.3%","0%",-99,49,1.7,8.6,"28.6%",530,"27.7%","26.8%",0.48,0.09
"Gragas","Jungle",2,"9.1%","0.0%","9.1%","50%","50%",1,6,14,2.5,"62.5%","35.3%","50%",-440,-682,-16.5,4.5,"14.0%",295,"14.6%","15.7%",0.66,0.23
"Hecarim","Jungle",2,"9.1%","9.1%","27.3%","100%","100%",10,4,9,4.8,"76.0%","26.7%","50%",337,437,8,6.1,"20.9%",315,"19.8%","22.1%",0.48,0.47
"Hecarim","Top",2,"9.1%","9.1%","27.3%","100%","100%",7,4,15,5.5,"57.9%","23.5%","0%",-31,227,-7.5,8,"26.6%",426,"21.8%","21.8%",0.58,0.07
"Heimerdinger","Middle",1,"4.5%","0.0%","4.5%","0%","100%",2,4,5,1.8,"63.6%","21.1%","0%",-143,-205,2,7.8,"22.7%",689,"33.3%","20.8%",0.37,0.1
"Irelia","Middle",1,"4.5%","77.3%","95.5%","100%","0%",3,5,5,1.6,"47.1%","38.5%","0%",30,192,5,7.1,"19.0%",264,"12.3%","18.9%",0.51,0.31
"Irelia","Top",3,"13.6%","77.3%","95.5%","67%","0%",13,6,11,4,"58.5%","19.4%","0%",-434,-61,1,9.2,"30.4%",405,"23.9%","25.6%",0.48,0.09
"Jarvan IV","Jungle",11,"50.0%","18.2%","68.2%","9%","9%",14,47,60,1.6,"83.1%","27.6%","45%",-264,-164,-4.5,4.5,"12.5%",179,"11.3%","15.9%",0.68,0.37
"Jax","Top",1,"4.5%","0.0%","4.5%","0%","100%",5,3,3,2.7,"80.0%","30.0%","100%",-424,-310,-20,8.6,"27.9%",489,"31.5%","27.7%",0.57,0.03
"Jayce","Middle",2,"9.1%","54.5%","81.8%","50%","0%",3,7,12,2.1,"75.0%","30.4%","50%",134,389,13,8.7,"29.3%",598,"32.3%","22.2%",0.46,0.25
"Jayce","Top",4,"18.2%","54.5%","81.8%","75%","0%",14,8,21,4.4,"72.9%","28.6%","50%",303,-37,11,8.5,"24.8%",566,"29.8%","25.0%",0.49,0.23
"Jinx","ADC",2,"9.1%","0.0%","9.1%","0%","50%",4,7,4,1.1,"88.9%","18.9%","0%",-117,-70,2,9.7,"30.4%",614,"33.5%","27.6%",0.38,0.38
"Kai'Sa","ADC",4,"18.2%","0.0%","18.2%","50%","75%",11,8,28,4.9,"67.2%","16.7%","0%",-217,-141,10.3,9.1,"27.7%",424,"22.2%","23.9%",0.4,0.33
"Kalista","ADC",3,"13.6%","22.7%","36.4%","67%","67%",15,4,16,7.8,"72.1%","15.4%","33%",156,-66,-4.7,9.3,"28.9%",411,"22.3%","25.6%",0.42,0.48
"Karthus","Jungle",1,"4.5%","4.5%","13.6%","100%","100%",5,4,9,3.5,"82.4%","30.8%","0%",1084,1647,43,6.4,"17.5%",570,"26.5%","20.3%",0.29,0.29
"Karthus","Middle",1,"4.5%","4.5%","13.6%","100%","100%",1,0,14,15,"83.3%","0.0%","0%",591,493,23,9.8,"24.9%",732,"34.7%","21.3%",0.48,0.1
"Kayle","-",0,"0%","13.6%","13.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kennen","Top",7,"31.8%","22.7%","54.5%","43%","43%",21,13,24,3.5,"58.4%","17.3%","43%",543,117,4.7,8.4,"26.2%",391,"22.4%","24.5%",0.52,0.17
"Kindred","Jungle",4,"18.2%","45.5%","63.6%","50%","50%",8,12,20,2.3,"84.8%","22.6%","25%",-72,-2,-2,5.5,"15.9%",308,"19.4%","18.7%",0.44,0.5
"Kog'Maw","ADC",2,"9.1%","0.0%","9.1%","0%","100%",2,5,1,0.6,"37.5%","13.9%","0%",296,136,1,9.7,"28.8%",246,"20.4%","26.1%",0.35,0.16
"LeBlanc","Middle",3,"13.6%","31.8%","45.5%","33%","67%",10,6,11,3.5,"70.0%","16.7%","0%",-107,112,-1.3,7.9,"22.6%",407,"26.8%","22.3%",0.28,0.23
"Lee Sin","Jungle",1,"4.5%","0.0%","4.5%","100%","100%",1,1,12,13,"86.7%","16.7%","100%",182,-51,7,5.6,"17.2%",184,"10.1%","17.3%",1.09,0.46
"Lissandra","Middle",6,"27.3%","54.5%","81.8%","33%","0%",4,13,27,2.4,"58.5%","18.1%","33%",-156,-23,0.3,9.4,"26.8%",328,"23.1%","23.8%",0.36,0.15
"Lucian","ADC",4,"18.2%","9.1%","27.3%","25%","25%",7,6,20,4.5,"69.2%","10.7%","25%",26,37,6.3,9.2,"27.6%",376,"26.2%","25.3%",0.39,0.56
"Lulu","Support",1,"4.5%","0.0%","4.5%","0%","100%",0,3,3,1,"60.0%","27.3%","100%",-549,-10,-44,0.2,"0.4%",88,"6.0%","6.3%",1.34,0.15
"Lux","Middle",1,"4.5%","0.0%","4.5%","100%","100%",3,1,8,11,"78.6%","10.0%","0%",270,128,10,8.9,"25.8%",471,"31.1%","22.4%",0.55,0.09
"Morgana","Middle",1,"4.5%","22.7%","36.4%","100%","0%",1,1,9,10,"83.3%","25.0%","0%",123,-111,6,8.4,"21.2%",419,"23.2%","20.8%",0.4,0.11
"Morgana","Support",2,"9.1%","22.7%","36.4%","50%","100%",0,5,10,2,"52.6%","26.3%","0%",1,242,-12,0.3,"1.3%",118,"9.0%","7.6%",1.36,0.23
"Nocturne","Jungle",1,"4.5%","18.2%","22.7%","0%","0%",0,1,2,2,"100.0%","11.1%","0%",-66,-141,-4,5.2,"14.3%",251,"23.8%","19.4%",0.08,0.29
"Olaf","Jungle",2,"9.1%","9.1%","18.2%","100%","100%",5,3,9,4.7,"50.0%","18.8%","0%",-50,9,-3.5,5.6,"14.6%",253,"13.0%","17.5%",0.5,0.45
"Orianna","Middle",1,"4.5%","0.0%","4.5%","0%","100%",1,4,1,0.5,"50.0%","30.8%","0%",-372,-327,1,9.1,"28.6%",348,"36.4%","24.6%",0.48,0.1
"Ornn","Top",2,"9.1%","0.0%","9.1%","0%","50%",3,5,11,2.8,"87.5%","16.7%","0%",55,-10,-7.5,6.9,"19.6%",307,"18.1%","20.7%",0.5,0.18
"Poppy","Top",2,"9.1%","13.6%","22.7%","100%","100%",7,3,3,3.3,"41.7%","27.3%","0%",-330,13,-8.5,8,"24.5%",267,"16.3%","21.0%",0.58,0.13
"Rakan","Support",1,"4.5%","0.0%","4.5%","0%","0%",1,5,6,1.4,"63.6%","23.8%","0%",144,-356,-11,0.6,"2.5%",101,"6.6%","11.1%",1.35,0.58
"Rek'Sai","Jungle",13,"59.1%","4.5%","63.6%","46%","54%",47,37,61,2.9,"65.9%","25.3%","38%",206,47,2.1,5.4,"15.4%",279,"16.0%","19.4%",0.4,0.44
"Ryze","Top",2,"9.1%","86.4%","95.5%","50%","0%",4,2,9,6.5,"59.1%","6.9%","0%",-6,107,0.5,8.7,"25.3%",380,"22.9%","22.8%",0.61,0.22
"Sivir","ADC",3,"13.6%","4.5%","18.2%","33%","67%",9,5,16,5,"83.3%","13.9%","0%",-98,138,2,10.8,"37.0%",536,"27.9%","29.4%",0.36,0.37
"Skarner","Jungle",4,"18.2%","0.0%","18.2%","100%","50%",4,2,33,18.5,"64.9%","7.4%","25%",-85,-57,-1,5.4,"15.0%",133,"7.9%","16.6%",1.09,0.39
"Sona","ADC",3,"13.6%","0.0%","13.6%","100%","33%",5,5,26,6.2,"77.5%","18.5%","33%",-607,-175,-63.3,5,"18.9%",393,"21.5%","21.1%",0.92,0.25
"Swain","Middle",2,"9.1%","4.5%","13.6%","50%","100%",6,5,11,3.4,"85.0%","20.0%","0%",-106,11,-7,8.9,"24.7%",468,"25.9%","24.8%",0.28,0.21
"Sylas","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Syndra","Middle",3,"13.6%","9.1%","22.7%","33%","67%",8,7,12,2.9,"58.8%","15.2%","33%",116,-128,5.3,8.5,"24.7%",311,"20.3%","22.3%",0.33,0.15
"Tahm Kench","Support",7,"31.8%","45.5%","77.3%","86%","29%",7,17,59,3.9,"66.0%","30.9%","14%",28,-16,2.3,1.9,"6.3%",130,"7.2%","11.6%",1.34,0.18
"Taric","Support",3,"13.6%","45.5%","59.1%","100%","33%",2,3,31,11,"82.5%","11.1%","67%",621,265,49,3.5,"8.2%",62,"3.1%","12.7%",1.2,0.2
"Thresh","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tristana","-",0,"0%","4.5%","4.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Urgot","Jungle",1,"4.5%","0.0%","4.5%","100%","100%",3,1,6,9,"50.0%","50.0%","0%",-386,-784,-11,5.9,"17.6%",181,"8.6%","17.0%",0.31,0.51
"Varus","ADC",9,"40.9%","18.2%","59.1%","78%","11%",35,13,51,6.6,"72.3%","15.9%","0%",26,60,3,9.4,"27.6%",499,"27.9%","25.0%",0.38,0.36
"Vayne","ADC",2,"9.1%","4.5%","13.6%","0%","100%",1,4,6,1.8,"63.6%","16.7%","50%",114,-199,28,8.1,"26.6%",204,"15.9%","23.4%",0.38,0.55
"Vel'Koz","Middle",2,"9.1%","13.6%","22.7%","50%","100%",6,2,13,9.5,"73.1%","8.7%","100%",104,161,-2,8.2,"22.8%",858,"49.8%","24.1%",0.37,0.16
"Viktor","Top",1,"4.5%","0.0%","4.5%","100%","100%",4,1,1,5,"38.5%","25.0%","0%",-190,68,-8,9.3,"29.0%",570,"35.0%","22.6%",0.44,0.1
"Vladimir","Top",5,"22.7%","9.1%","31.8%","80%","80%",19,9,37,6.2,"70.0%","17.6%","20%",-343,-164,-0.2,8.9,"28.3%",581,"29.3%","24.7%",0.52,0.14
"Xayah","ADC",1,"4.5%","0.0%","4.5%","0%","100%",3,4,3,1.5,"54.5%","19.0%","0%",-491,-308,-25,9.2,"34.7%",416,"27.4%","28.2%",0.46,0.22
"Yorick","Top",1,"4.5%","9.1%","13.6%","0%","100%",2,3,2,1.3,"57.1%","21.4%","0%",397,522,-1,9,"26.9%",238,"19.3%","24.4%",0.48,0.1
