"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Akaadian","TSM","Jungle",14,"57%","64%",50,45,79,2.9,"70.5%","27.3%","31.3%","57%",-56,-212,-5.9,5.3,"15.5%",296,"16.5%",,216,"19.2%",,0.48,0.32,0.37
"Apollo","Echo Fox","ADC",4,"25%","75%",7,12,11,1.5,"60.0%","23.3%","17.9%","0%",-2,-111,-5.5,9.7,"30.1%",377,"24.0%",,278,"26.4%",,0.41,0.16,0.28
"Bjergsen","TSM","Middle",14,"57%","21%",43,17,86,7.6,"70.5%","23.5%","11.8%","29%",14,122,1,8.6,"25.8%",456,"25.2%",,257,"22.9%",,0.42,0.18,0.14
"Broken Blade","TSM","Top",14,"57%","50%",49,28,64,4,"61.7%","26.8%","19.4%","36%",22,117,-0.1,8.5,"26.6%",495,"26.6%",,276,"24.5%",,0.55,0.23,0.13
"Contractz","Golden Guardians","Jungle",5,"40%","20%",12,16,29,2.6,"71.9%","21.1%","29.6%","40%",-400,-722,-16.8,4.8,"14.6%",217,"14.1%",,187,"16.9%",,0.86,0.27,0.51
"CoreJJ","Team Liquid","Support",8,"75%","63%",11,17,69,4.7,"75.5%","10.4%","22.4%","13%",98,17,3.1,2,"5.9%",152,"8.5%",,139,"11.5%",,1.29,0.33,0.23
"Deftly","Golden Guardians","ADC",5,"40%","40%",17,7,23,5.7,"70.2%","29.8%","13.0%","20%",-24,-23,-0.4,8.8,"26.6%",396,"24.1%",,270,"24.6%",,0.45,0.25,0.48
"Doublelift","Team Liquid","ADC",8,"75%","38%",27,15,51,5.2,"73.6%","25.5%","19.7%","0%",42,180,5.9,9.3,"29.7%",468,"26.1%",,309,"25.8%",,0.46,0.12,0.36
"Fenix","Echo Fox","Middle",4,"25%","100%",8,12,13,1.8,"70.0%","26.7%","17.9%","25%",-153,-327,-2.5,8.6,"24.5%",429,"27.4%",,245,"23.4%",,0.24,0.06,0.09
"Froggen","Golden Guardians","Middle",5,"40%","60%",8,8,31,4.9,"68.4%","14.0%","14.8%","40%",-82,2,2.4,8.7,"24.3%",614,"36.5%",,255,"23.0%",,0.35,0.18,0.16
"Hakuho","Echo Fox","Support",4,"25%","50%",2,12,18,1.7,"66.7%","6.7%","17.9%","0%",16,-118,-2.3,1.9,"7.1%",109,"7.1%",,123,"11.6%",,1.21,0.36,0.43
"Hauntzer","Golden Guardians","Top",5,"40%","80%",18,9,17,3.9,"61.4%","31.6%","16.7%","20%",422,431,5.6,8.6,"25.3%",297,"18.1%",,263,"23.7%",,0.55,0.22,0.17
"Impact","Team Liquid","Top",8,"75%","63%",24,17,47,4.2,"67.0%","22.6%","22.4%","38%",343,56,2,8.4,"25.6%",521,"29.1%",,288,"24.0%",,0.47,0.13,0.19
"JayJ","FlyQuest","Support",8,"38%","75%",1,28,45,1.6,"63.9%","1.4%","29.8%","0%",-122,-32,-11,1.5,"4.9%",106,"7.5%",,93,"8.6%",,1.39,0.44,0.24
"Jensen","Team Liquid","Middle",8,"75%","50%",31,16,44,4.7,"70.8%","29.2%","21.1%","50%",96,19,-1.3,8.4,"24.2%",493,"26.7%",,261,"21.9%",,0.35,0.17,0.16
"Licorice","Cloud9","Top",5,"40%","60%",12,10,17,2.9,"65.9%","27.3%","16.9%","0%",-343,-167,-5.6,7.7,"24.6%",388,"22.1%",,242,"22.6%",,0.55,0.24,0.13
"Nisqy","Cloud9","Middle",5,"40%","60%",10,10,22,3.2,"72.7%","22.7%","16.9%","0%",115,-7,2.6,7.8,"23.6%",494,"27.5%",,230,"21.8%",,0.44,0.27,0.14
