"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",7,"33.3%","9.5%","42.9%","43%","14%",24,26,22,1.8,"56.8%","25.0%","14%",-680,-321,-16.4,7.3,"23.6%",401,"25.7%","21.1%",0.49,0.14
"Akali","Middle",1,"4.8%","42.9%","47.6%","0%","0%",1,2,2,1.5,"50.0%","9.5%","0%",-75,162,9,7.5,"37.9%",310,"21.2%","24.9%",0.27,0
"Alistar","Support",3,"14.3%","19.0%","33.3%","100%","100%",2,5,33,7,"66.0%","18.5%","0%",36,1,-2,1.5,"4.4%",167,"8.5%","9.6%",1.42,0.26
"Annie","Support",1,"4.8%","0.0%","4.8%","0%","100%",0,6,8,1.3,"72.7%","24.0%","0%",-838,-769,-52,0.6,"2.1%",227,"11.0%","10.7%",1.91,0.3
"Ashe","ADC",2,"9.5%","0.0%","9.5%","50%","50%",7,7,11,2.6,"66.7%","28.0%","0%",-135,-379,-4.5,9.6,"31.8%",562,"29.0%","26.9%",0.37,0.43
"Azir","Middle",3,"14.3%","0.0%","14.3%","33%","100%",13,6,16,4.8,"67.4%","16.2%","0%",-464,-245,-10.3,10,"32.4%",517,"29.1%","27.5%",0.4,0.26
"Blitzcrank","Support",1,"4.8%","4.8%","9.5%","100%","100%",1,2,8,4.5,"69.2%","22.2%","100%",407,733,-14,1.6,"3.5%",195,"6.8%","10.4%",1.12,0.12
"Braum","Support",8,"38.1%","23.8%","61.9%","63%","25%",1,32,84,2.7,"75.9%","28.3%","63%",-103,33,7.1,2,"7.4%",146,"7.5%","10.5%",1.35,0.25
"Cho'Gath","Top",1,"4.8%","4.8%","9.5%","0%","100%",1,4,8,2.3,"90.0%","21.1%","0%",-115,-137,4,7.1,"20.2%",413,"21.6%","20.2%",0.39,0.15
"Corki","Middle",2,"9.5%","19.0%","28.6%","50%","100%",4,3,9,4.3,"44.8%","15.8%","50%",-20,37,-4.5,9.6,"30.0%",628,"28.1%","24.5%",0.37,0.29
"Draven","ADC",1,"4.8%","57.1%","61.9%","0%","0%",1,6,3,0.7,"66.7%","28.6%","100%",-126,-595,0,6.9,"24.1%",331,"22.7%","25.2%",0.27,0.11
"Ezreal","ADC",3,"14.3%","9.5%","23.8%","33%","100%",10,8,13,2.9,"74.2%","15.1%","33%",-44,-460,-6.7,8.7,"28.8%",714,"35.4%","24.6%",0.42,0.28
"Galio","Support",4,"19.0%","9.5%","28.6%","0%","0%",4,16,28,2,"74.4%","24.2%","25%",-82,18,-9.8,1.9,"5.9%",179,"10.7%","10.0%",1.32,0.3
