"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",3,"14.3%","0.0%","14.3%","67%","67%",6,4,7,3.3,"32.5%","9.8%","33%",110,393,12.3,8.3,"24.6%",349,"19.3%","21.1%",0.48,0.21
"Akali","Middle",1,"4.8%","52.4%","66.7%","0%","0%",1,4,1,0.5,"66.7%","23.5%","0%",-394,94,-1,9.1,"22.6%",256,"17.8%","23.5%",0.54,0.18
"Akali","Top",2,"9.5%","52.4%","66.7%","50%","50%",8,4,6,3.5,"53.8%","13.8%","0%",152,52,3.5,8.4,"24.2%",538,"25.5%","21.8%",0.45,0.06
"Alistar","Support",3,"14.3%","23.8%","38.1%","67%","67%",1,8,34,4.4,"79.5%","22.2%","0%",-273,-117,-0.7,1.7,"6.1%",136,"6.5%","10.5%",1.38,0.17
"Ashe","ADC",3,"14.3%","9.5%","23.8%","67%","100%",14,7,25,5.6,"76.5%","16.3%","67%",147,-6,3.7,9.5,"32.7%",698,"31.4%","27.7%",0.34,0.35
"Azir","Middle",1,"4.8%","0.0%","4.8%","100%","100%",4,1,6,10,"66.7%","33.3%","0%",-523,-361,-11,8.5,"24.5%",538,"26.9%","22.2%",0.52,0.12
"Blitzcrank","Support",1,"4.8%","4.8%","9.5%","0%","100%",0,2,3,1.5,"75.0%","18.2%","0%",-472,-293,12,2,"8.4%",162,"9.2%","10.2%",1.54,0.03
"Braum","Support",14,"66.7%","14.3%","81.0%","43%","29%",3,32,103,3.3,"70.7%","18.5%","29%",28,89,4.1,2.2,"7.5%",136,"8.1%","10.8%",1.48,0.28
"Cassiopeia","Middle",1,"4.8%","4.8%","9.5%","0%","100%",2,3,3,1.7,"83.3%","25.0%","0%",552,414,8,8.9,"25.7%",514,"32.1%","24.8%",0.66,0.19
"Cho'Gath","Top",1,"4.8%","9.5%","14.3%","100%","100%",6,1,2,8,"66.7%","25.0%","100%",973,268,15,7.8,"19.8%",463,"27.6%","23.3%",0.41,0.13
"Corki","Middle",6,"28.6%","47.6%","76.2%","83%","67%",35,3,24,19.7,"73.8%","6.8%","17%",-1,49,2.8,10.1,"30.2%",616,"33.6%","28.3%",0.47,0.31
"Elise","Jungle",2,"9.5%","0.0%","9.5%","50%","100%",4,7,11,2.1,"65.2%","29.2%","0%",-621,-482,-8.5,4.4,"11.6%",343,"19.7%","15.1%",1.2,0.46
"Ezreal","ADC",1,"4.8%","0.0%","4.8%","100%","100%",2,1,3,5,"71.4%","16.7%","0%",354,-17,-2,9.4,"31.7%",531,"32.0%","26.4%",0.66,0.16
"Fiora","Top",1,"4.8%","14.3%","19.0%","100%","100%",3,1,7,10,"76.9%","25.0%","0%",0,295,20,9.2,"24.5%",486,"25.6%","24.4%",0.44,0.09
"Galio","Support",8,"38.1%","4.8%","42.9%","63%","63%",8,13,67,5.8,"74.3%","16.7%","0%",-33,-90,0,2.2,"7.8%",172,"10.5%","11.5%",1.57,0.33
"Gangplank","Top",3,"14.3%","0.0%","14.3%","33%","67%",6,6,12,3,"64.3%","21.4%","33%",-49,-303,1.3,8.5,"27.4%",539,"26.6%","26.0%",0.41,0.04
"Gragas","Jungle",1,"4.8%","0.0%","4.8%","0%","100%",1,4,2,0.8,"100.0%","26.7%","0%",-555,-263,-5,5.3,"11.1%",213,"18.3%","19.3%",0.56,0.32
"Hecarim","Jungle",1,"4.8%","19.0%","42.9%","100%","0%",6,1,7,13,"86.7%","33.3%","100%",555,263,5,6.7,"19.3%",471,"23.6%","22.4%",0.28,0.36
"Hecarim","Top",4,"19.0%","19.0%","42.9%","75%","50%",17,12,31,4,"61.5%","25.0%","25%",-68,32,-3.3,8.2,"24.7%",579,"26.9%","23.3%",0.43,0.14
"Irelia","Middle",4,"19.0%","28.6%","52.4%","75%","25%",18,7,16,4.9,"59.6%","18.4%","50%",125,42,1.3,8.9,"24.8%",397,"19.2%","22.7%",0.51,0.3
"Irelia","Top",1,"4.8%","28.6%","52.4%","0%","0%",1,2,1,1,"66.7%","13.3%","0%",413,305,0,8.7,"24.6%",219,"18.8%","24.5%",0.4,0.12
"Janna","Support",1,"4.8%","0.0%","4.8%","0%","100%",0,2,1,0.5,"25.0%","14.3%","0%",-327,-46,-44,1,"5.7%",113,"7.6%","11.0%",0.97,0.29
"Jarvan IV","Jungle",12,"57.1%","38.1%","95.2%","67%","25%",19,29,102,4.2,"82.3%","23.6%","33%",219,278,8.5,5,"13.4%",198,"11.0%","16.5%",0.48,0.51
"Jax","Top",1,"4.8%","9.5%","14.3%","0%","100%",2,1,2,4,"66.7%","14.3%","0%",-412,-249,-6,9,"28.3%",234,"19.3%","26.3%",0.41,0.19
"Jayce","Middle",2,"9.5%","47.6%","61.9%","0%","50%",5,6,4,1.5,"60.0%","16.7%","0%",-82,-220,4,8.3,"23.9%",395,"25.5%","22.5%",0.52,0.33
"Jayce","Top",1,"4.8%","47.6%","61.9%","100%","0%",1,4,8,2.3,"37.5%","26.7%","0%",527,-254,25,7.3,"20.2%",393,"13.2%","16.5%",0.3,0.17
"Jinx","ADC",3,"14.3%","0.0%","14.3%","33%","100%",9,6,9,3,"69.2%","15.0%","0%",-474,-306,9,10,"31.9%",515,"31.8%","26.4%",0.36,0.24
