"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Acce","Rainbow7","Top",12,"58%","42%",25,20,39,3.2,"49.2%","19.2%","13.8%","17%",40,203,4.8,7.9,"22.7%",367,"20.9%",,232,"20.5%",,0.48,0.22,0.11
"Arce","INFINITY","Support",3,"33%","33%",0,8,17,2.1,"60.7%","0.0%","25.8%","33%",190,185,11.7,2.2,"7.4%",117,"8.2%",,129,"11.4%",,1.31,0.43,0.19
"Baula","Rainbow7","Support",12,"58%","17%",4,25,93,3.9,"74.6%","3.1%","17.2%","17%",-161,-40,2.8,1.9,"6.0%",107,"6.1%",,126,"11.0%",,1.65,0.48,0.22
"Buggax","Isurus","Top",13,"69%","23%",31,31,68,3.2,"53.8%","16.8%","25.6%","31%",95,-116,1.2,7.9,"22.8%",428,"21.1%",,259,"21.0%",,0.35,0.08,0.08
"Choisix","INFINITY","Support",1,"0%","100%",2,4,6,2,"88.9%","22.2%","25.0%","0%",-5,-183,-2,2.2,"8.4%",137,"9.5%",,142,"13.5%",,1.25,0.43,0.61
"Cotopaco","INFINITY","Middle",4,"25%","25%",6,11,16,2,"59.5%","16.2%","23.4%","25%",-122,11,-1,8.2,"21.7%",343,"23.2%",,228,"20.7%",,0.33,0.19,0.26
"DCStar","XTEN Esports","Support",4,"25%","100%",2,10,24,2.6,"61.9%","4.8%","19.6%","50%",75,-64,-12.3,0.9,"4.7%",158,"8.4%",,119,"11.2%",,1.28,0.44,0.25
"Grell","Rainbow7","Jungle",12,"58%","33%",25,44,76,2.3,"77.7%","19.2%","30.3%","17%",-58,-21,3.2,5.3,"14.5%",288,"16.8%",,206,"18.0%",,0.41,0.21,0.42
"Hoglet","All Knights","Jungle",5,"40%","80%",12,17,26,2.2,"63.3%","20.0%","23.6%","20%",-508,-245,-6.8,4.7,"12.2%",320,"17.8%",,182,"16.1%",,0.92,0.36,0.4
"Itsi","XTEN Esports","Jungle",4,"25%","50%",7,14,17,1.7,"57.1%","16.7%","27.5%","50%",-8,-209,-4.5,4.6,"14.2%",201,"10.2%",,176,"16.9%",,0.59,0.32,0.3
"Kindless","XTEN Esports","ADC",4,"25%","0%",15,7,14,4.1,"69.0%","35.7%","13.7%","50%",384,-30,14.5,9.2,"34.7%",670,"33.6%",,298,"27.3%",,0.46,0.2,0.33
"Leza","Rainbow7","Middle",12,"58%","50%",49,28,38,3.1,"66.9%","37.7%","19.3%","8%",59,12,3.8,9.3,"26.6%",521,"28.7%",,291,"25.2%",,0.43,0.2,0.24
"Manu","Pixel Esports Club","ADC",4,"25%","25%",7,6,7,2.3,"48.3%","24.1%","13.0%","25%",146,26,8.3,9.7,"31.3%",340,"22.4%",,271,"26.1%",,0.37,0.16,0.32
"Newbie","All Knights","Support",5,"40%","60%",5,13,43,3.7,"80.0%","8.3%","18.1%","0%",-125,-171,-0.8,2.2,"8.6%",166,"9.6%",,131,"11.6%",,1.71,0.48,0.18
"Nipphu","Pixel Esports Club","Top",4,"25%","50%",9,11,8,1.5,"58.6%","31.0%","23.9%","25%",-279,-185,-8,7.8,"23.7%",371,"25.7%",,235,"23.0%",,0.43,0.12,0.07
"Nobody","Rainbow7","ADC",12,"58%","75%",27,28,64,3.3,"70.0%","20.8%","19.3%","17%",-293,-104,-8.1,9.1,"30.1%",488,"27.6%",,291,"25.4%",,0.57,0.16,0.28
"Oddie","Isurus","Jungle",13,"69%","31%",48,30,98,4.9,"79.3%","26.1%","24.8%","69%",311,277,4.1,5.3,"14.2%",333,"15.7%",,226,"18.5%",,0.29,0.25,0.38
"Parang","All Knights","Top",5,"40%","100%",11,15,23,2.3,"56.7%","18.3%","20.8%","20%",-129,150,3,8.3,"26.0%",414,"23.5%",,273,"24.4%",,0.51,0.17,0.13
"Plugo","All Knights","Middle",5,"40%","40%",14,16,22,2.3,"60.0%","23.3%","22.2%","0%",-259,-60,-5.6,8.3,"23.0%",502,"28.6%",,247,"22.1%",,0.46,0.2,0.16
"QQMore","Pixel Esports Club","Jungle",4,"25%","75%",3,16,20,1.4,"79.3%","10.3%","34.8%","25%",-83,-100,0.5,4.2,"10.5%",156,"11.0%",,144,"14.2%",,0.64,0.44,0.32
"Relic","INFINITY","Top",4,"25%","50%",6,5,16,4.4,"59.5%","16.2%","10.6%","25%",-94,-288,-11.8,8.1,"25.1%",319,"21.5%",,243,"22.4%",,0.5,0.22,0.19
"Renn","INFINITY","ADC",4,"25%","50%",18,8,10,3.5,"75.7%","48.6%","17.0%","25%",281,209,4.8,9.7,"30.0%",523,"35.9%",,305,"27.4%",,0.51,0.2,0.36
"Seiya","Isurus","Middle",13,"69%","62%",43,19,67,5.8,"59.8%","23.4%","15.7%","23%",53,-161,-1.8,8.9,"25.5%",460,"23.3%",,273,"22.4%",,0.46,0.17,0.24
"Shmebu","Pixel Esports Club","Support",4,"25%","75%",0,7,17,2.4,"58.6%","0.0%","15.2%","25%",-143,1,2.3,2.2,"8.1%",130,"8.7%",,114,"11.0%",,1.38,0.43,0.15
"Slow","Isurus","Support",13,"69%","54%",7,18,122,7.2,"70.1%","3.8%","14.9%","31%",174,94,-1.8,2,"6.6%",182,"9.1%",,137,"11.2%",,1.33,0.41,0.48
"SolidSnake","INFINITY","Jungle",4,"25%","100%",5,11,18,2.1,"62.2%","13.5%","23.4%","50%",-109,-221,-10.3,5.2,"15.6%",156,"10.9%",,192,"17.6%",,0.75,0.33,0.32
"Straight","XTEN Esports","Top",4,"25%","100%",12,6,13,4.2,"59.5%","28.6%","11.8%","0%",106,55,-2.5,8,"25.2%",496,"25.7%",,254,"24.5%",,0.37,0.11,0.06
"TopLop","Pixel Esports Club","Middle",4,"25%","75%",10,6,13,3.8,"79.3%","34.5%","13.0%","25%",97,435,5.5,9.1,"26.4%",493,"32.2%",,272,"25.7%",,0.51,0.21,0.18
"Warangelus","Isurus","ADC",13,"69%","69%",55,23,70,5.4,"67.9%","29.9%","19.0%","31%",98,34,2,9.7,"30.8%",619,"30.8%",,331,"27.0%",,0.31,0.15,0.29
