"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",2,"4.8%","2.4%","7.1%","0%","100%",7,6,7,2.3,"63.6%","16.7%","0%",88,-67,-3,8.9,"23.4%",542,"30.8%","24.7%",0.47,0.18
"Akali","Middle",8,"19.0%","69.0%","100.0%","75%","57%",43,15,36,5.3,"65.8%","19.0%","13%",-8,-185,-1.1,9,"25.7%",471,"26.4%","23.6%",0.41,0.19
"Akali","Top",5,"11.9%","69.0%","100.0%","60%","0%",29,15,32,4.1,"59.8%","22.1%","20%",29,147,-0.6,7.7,"23.4%",509,"23.2%","21.6%",0.47,0.12
"Alistar","Support",3,"7.1%","4.8%","11.9%","33%","100%",1,12,27,2.3,"68.3%","23.1%","33%",-341,-43,3,1.5,"8.2%",115,"6.0%","9.2%",1.41,0.32
"Ashe","ADC",2,"4.8%","2.4%","7.1%","0%","100%",4,5,9,2.6,"59.1%","13.9%","0%",17,-239,2.5,9.1,"32.6%",511,"25.8%","26.0%",0.42,0.31
"Azir","Middle",5,"11.9%","11.9%","23.8%","20%","80%",7,11,16,2.1,"59.0%","16.9%","20%",244,284,11.8,9.6,"28.5%",408,"26.2%","25.9%",0.48,0.52
"Braum","Support",15,"35.7%","14.3%","50.0%","53%","47%",5,44,173,4,"71.2%","20.0%","20%",-43,74,2,2,"6.7%",148,"7.7%","10.2%",1.63,0.3
"Caitlyn","-",0,"0%","2.4%","2.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Camille","Jungle",2,"4.8%","2.4%","7.1%","50%","50%",5,4,17,5.5,"81.5%","14.8%","0%",-86,-163,-3.5,4.6,"20.4%",290,"15.3%","16.4%",0.12,0.45
"Cassiopeia","Middle",1,"2.4%","0.0%","2.4%","0%","100%",3,2,8,5.5,"68.8%","14.3%","0%",-3,149,9,8,"25.7%",421,"31.6%","22.1%",0.47,0.2
"Cho'Gath","Top",1,"2.4%","0.0%","2.4%","0%","100%",1,3,1,0.7,"100.0%","25.0%","0%",-605,-714,0,9.1,"28.7%",162,"18.0%","26.4%",0.59,0.29
"Corki","Middle",2,"4.8%","0.0%","4.8%","50%","100%",5,8,4,1.1,"47.4%","30.8%","0%",114,28,9.5,9.4,"27.2%",625,"30.1%","24.7%",0.38,0.39
"Draven","ADC",3,"7.1%","9.5%","16.7%","100%","50%",15,4,18,8.3,"67.3%","16.7%","0%",1976,1040,40,9.4,"32.1%",679,"35.1%","29.7%",0.38,0.24
"Elise","Jungle",4,"9.5%","4.8%","14.3%","25%","100%",13,15,19,2.1,"69.6%","22.4%","50%",-45,-19,1.5,4.5,"13.7%",291,"16.0%","17.2%",1.01,0.54
"Evelynn","Jungle",1,"2.4%","0.0%","2.4%","100%","0%",10,2,4,7,"77.8%","20.0%","0%",-347,-608,-8,4.6,"10.1%",512,"28.1%","22.2%",0.52,0.13
"Ezreal","ADC",7,"16.7%","11.9%","28.6%","43%","86%",14,13,25,3,"50.6%","15.7%","14%",285,182,7.7,9.6,"28.8%",609,"32.2%","24.5%",0.45,0.23
"Fiora","Top",1,"2.4%","9.5%","11.9%","0%","100%",1,5,1,0.4,"33.3%","38.5%","100%",-734,-898,-18,8.8,"30.2%",502,"37.0%","25.2%",0.43,0
"Galio","Support",18,"42.9%","47.6%","90.5%","50%","39%",13,59,146,2.7,"66.0%","24.2%","17%",1,17,1.2,2.1,"6.8%",176,"10.2%","9.8%",1.57,0.34
"Gangplank","Top",4,"9.5%","23.8%","33.3%","50%","50%",7,9,17,2.7,"68.6%","18.8%","25%",-119,-300,-10.8,7.8,"22.8%",462,"30.9%","23.3%",0.37,0.04
"Gnar","Top",2,"4.8%","0.0%","4.8%","100%","50%",1,4,16,4.3,"41.5%","16.0%","50%",86,-207,5.5,8.4,"27.9%",301,"14.5%","20.2%",0.43,0.26
"Gragas","-",0,"0%","2.4%","2.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Hecarim","Jungle",4,"9.5%","9.5%","26.2%","25%","50%",7,13,21,2.2,"70.0%","20.6%","0%",-290,-75,0.3,5.2,"15.4%",213,"11.4%","18.2%",0.4,0.3
"Hecarim","Top",3,"7.1%","9.5%","26.2%","33%","0%",7,14,9,1.1,"59.3%","27.5%","0%",-192,147,0.5,7.9,"24.1%",371,"19.9%","23.8%",0.44,0.07
"Irelia","Middle",5,"11.9%","52.4%","73.8%","60%","80%",19,14,22,2.9,"65.1%","26.4%","20%",-151,-82,-4.4,9.1,"28.4%",436,"23.8%","24.5%",0.43,0.13
"Irelia","Top",4,"9.5%","52.4%","73.8%","25%","25%",7,14,12,1.4,"51.4%","23.0%","0%",-162,-209,3,9.1,"28.5%",254,"16.4%","22.9%",0.4,0.1
"Ivern","Jungle",1,"2.4%","0.0%","2.4%","100%","100%",4,0,9,13,"92.9%","0.0%","0%",-326,635,12,5.7,"17.9%",236,"15.5%","20.3%",0.33,0.27
"Jarvan IV","Jungle",21,"50.0%","47.6%","97.6%","48%","14%",56,61,217,4.5,"87.5%","21.0%","52%",70,-12,-1.4,4.8,"13.8%",221,"12.5%","18.0%",0.9,0.48
"Jayce","Top",3,"7.1%","92.9%","100.0%","33%","33%",9,17,12,1.2,"52.5%","31.5%","33%",985,638,27,7.7,"22.9%",458,"25.3%","23.3%",0.5,0.17
"Kai'Sa","ADC",20,"47.6%","9.5%","57.1%","30%","15%",82,52,84,3.2,"63.1%","15.8%","30%",-123,-103,-3.2,9.2,"29.3%",423,"23.5%","26.5%",0.38,0.35
"Kalista","ADC",6,"14.3%","26.2%","40.5%","100%","50%",24,5,40,12.8,"62.7%","12.8%","17%",494,353,11.5,10.8,"31.3%",391,"20.0%","26.5%",0.44,0.52
"Karma","Support",1,"2.4%","0.0%","2.4%","100%","100%",1,2,9,5,"62.5%","33.3%","100%",-141,-486,-49,0.6,"2.2%",260,"12.9%","10.1%",1.22,0.41
