"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",4,"10.8%","2.7%","13.5%","50%","50%",10,11,11,1.9,"51.2%","21.2%","50%",-63,-205,-7,8.3,"23.5%",353,"22.2%","21.9%",0.43,0.16
"Ahri","-",0,"0%","8.1%","8.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Akali","Middle",4,"10.8%","35.1%","67.6%","50%","50%",17,5,14,6.2,"63.3%","11.4%","25%",-57,164,-6,8.6,"24.9%",369,"21.8%","23.3%",0.44,0.27
"Akali","Top",8,"21.6%","35.1%","67.6%","63%","50%",34,13,26,4.6,"49.6%","14.9%","13%",-197,-36,-4.4,8.5,"25.8%",406,"22.6%","22.9%",0.41,0.1
"Alistar","-",0,"0%","2.7%","2.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ashe","ADC",5,"13.5%","2.7%","16.2%","40%","20%",9,13,23,2.5,"56.1%","20.0%","20%",-81,104,-3,8.3,"24.9%",435,"27.4%","21.7%",0.38,0.41
"Azir","Middle",6,"16.2%","16.2%","32.4%","50%","83%",31,13,28,4.5,"69.4%","14.0%","0%",-18,13,-2.5,9.1,"27.8%",519,"28.0%","24.8%",0.42,0.34
"Blitzcrank","Support",1,"2.7%","0.0%","2.7%","100%","100%",0,3,11,3.7,"64.7%","42.9%","0%",-770,-210,-69,0.3,"0.6%",159,"7.6%","9.1%",1.32,0.23
"Braum","Support",17,"45.9%","8.1%","54.1%","41%","82%",16,53,145,3,"67.1%","19.3%","18%",-126,-56,-1.5,2,"7.0%",135,"7.1%","10.7%",1.38,0.28
"Camille","Jungle",1,"2.7%","0.0%","2.7%","0%","100%",2,7,8,1.4,"50.0%","25.9%","0%",-63,-654,-5,4.7,"16.6%",229,"9.5%","16.3%",0.28,0.32
