"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Akali","Middle",1,"8.3%","33.3%","50.0%","0%","0%",1,3,1,0.7,"50.0%","20.0%","0%",-184,-144,-7,7.4,"21.0%",248,"20.6%","20.0%",0.26,0.3
"Akali","Top",1,"8.3%","33.3%","50.0%","100%","0%",8,1,9,17,"65.4%","12.5%","0%",147,294,8,8.7,"27.7%",693,"25.5%","24.9%",0.46,0.06
"Alistar","Support",3,"25.0%","33.3%","58.3%","67%","0%",1,7,15,2.3,"55.2%","25.9%","0%",5,-363,7,1.3,"4.5%",86,"6.3%","8.3%",1.69,0.28
"Ashe","ADC",3,"25.0%","0.0%","25.0%","67%","67%",7,7,25,4.6,"82.1%","33.3%","33%",-356,23,-4.7,8.8,"28.9%",421,"21.7%","23.8%",0.35,0.43
"Azir","Middle",5,"41.7%","0.0%","41.7%","40%","20%",10,10,24,3.4,"73.9%","16.1%","0%",-62,65,-1.4,8.9,"26.0%",463,"31.9%","22.9%",0.53,0.38
"Braum","Support",7,"58.3%","8.3%","66.7%","14%","71%",2,25,40,1.7,"87.5%","21.9%","14%",-184,-290,1,2,"7.8%",128,"9.1%","10.3%",1.58,0.24
"Caitlyn","ADC",1,"8.3%","0.0%","8.3%","0%","100%",0,3,5,1.7,"62.5%","18.8%","0%",-393,-446,-7,10.2,"36.3%",603,"28.2%","26.0%",0.35,0.58
"Cho'Gath","Top",1,"8.3%","0.0%","8.3%","0%","100%",2,4,0,0.5,"50.0%","21.1%","0%",-731,-444,-5,7,"22.4%",175,"16.6%","21.8%",0.54,0.08
"Corki","Middle",2,"16.7%","33.3%","50.0%","100%","100%",13,0,10,23,"71.9%","0.0%","0%",418,169,14,10.9,"30.4%",602,"36.9%","29.3%",0.43,0.63
"Ezreal","ADC",2,"16.7%","25.0%","41.7%","0%","50%",4,6,3,1.2,"63.6%","19.4%","0%",300,77,2,9.8,"31.8%",613,"35.3%","28.5%",0.43,0.31
"Galio","Support",4,"33.3%","66.7%","100.0%","75%","0%",8,10,45,5.3,"75.7%","28.6%","75%",253,276,2,1.7,"5.6%",153,"7.8%","11.2%",1.52,0.22
"Gangplank","Top",3,"25.0%","25.0%","50.0%","33%","100%",2,4,14,4,"94.1%","15.4%","33%",119,109,1.3,9,"28.0%",480,"37.0%","26.5%",0.47,0.18
"Gragas","Support",1,"8.3%","0.0%","8.3%","0%","100%",0,1,2,2,"66.7%","20.0%","0%",-227,177,-11,0.6,"2.8%",142,"9.4%","6.7%",1.68,0.41
"Hecarim","Top",2,"16.7%","8.3%","25.0%","0%","0%",4,7,0,0.6,"80.0%","24.1%","0%",-147,-481,-6.5,7.3,"21.3%",375,"27.7%","23.1%",0.48,0.14
"Irelia","Top",1,"8.3%","25.0%","33.3%","0%","100%",1,7,2,0.4,"37.5%","43.8%","0%",-144,277,16,7.1,"24.9%",235,"11.0%","19.8%",0.5,0.08
"Jarvan IV","Jungle",4,"33.3%","58.3%","91.7%","25%","0%",7,14,18,1.8,"83.3%","25.0%","25%",43,58,6.5,4.6,"12.3%",159,"10.6%","16.3%",0.92,0.47
"Jayce","Middle",1,"8.3%","33.3%","41.7%","0%","0%",3,3,4,2.3,"87.5%","18.8%","0%",291,-63,18,8.5,"25.2%",883,"41.3%","26.6%",0.55,0.25
"Jhin","ADC",1,"8.3%","0.0%","8.3%","0%","100%",1,4,3,1,"100.0%","23.5%","0%",23,124,5,10.4,"34.4%",290,"22.7%","29.0%",0.34,0.24
"Jinx","ADC",1,"8.3%","0.0%","8.3%","0%","100%",3,2,7,5,"66.7%","9.1%","100%",439,-144,8,9.8,"35.8%",548,"33.4%","27.1%",0.37,0.37
"Kai'Sa","ADC",4,"33.3%","16.7%","50.0%","75%","25%",22,4,22,11,"69.8%","13.8%","25%",154,219,5,9.9,"30.3%",453,"26.0%","27.3%",0.46,0.48
"Kalista","-",0,"0%","100.0%","100.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kennen","Top",7,"58.3%","25.0%","83.3%","71%","0%",24,12,38,5.2,"68.1%","21.4%","29%",463,118,9.1,7.9,"22.4%",443,"25.0%","22.6%",0.44,0.28
"Kindred","Jungle",2,"16.7%","0.0%","16.7%","0%","100%",0,2,4,2,"66.7%","10.0%","50%",-57,-131,-0.5,5.3,"13.7%",61,"6.6%","15.8%",0.79,0.7
"LeBlanc","Middle",2,"16.7%","66.7%","83.3%","100%","50%",8,2,22,15,"73.2%","14.3%","0%",-67,-174,-9.5,7.9,"23.4%",730,"30.0%","21.7%",0.56,0.31
"Lee Sin","Jungle",2,"16.7%","0.0%","16.7%","50%","100%",8,3,7,5,"93.8%","18.8%","50%",-43,-306,-8,4.7,"12.2%",189,"11.2%","18.0%",1.38,0.56
"Lissandra","Middle",1,"8.3%","0.0%","8.3%","0%","0%",0,5,8,1.6,"100.0%","19.2%","0%",-183,-58,-7,8.1,"26.6%",543,"27.6%","21.4%",0.14,0.14
"Lucian","ADC",1,"8.3%","0.0%","8.3%","0%","100%",2,2,2,2,"100.0%","13.3%","0%",-168,22,-9,9.1,"32.4%",239,"19.9%","28.4%",0.39,0.49
"Morgana","Support",1,"8.3%","66.7%","75.0%","0%","100%",0,2,8,4,"100.0%","12.5%","0%",-8,331,-11,0.7,"2.2%",235,"11.0%","10.9%",1.69,0.4
"Nautilus","Middle",1,"8.3%","0.0%","16.7%","0%","100%",1,4,2,0.8,"75.0%","21.1%","0%",120,393,21,8.6,"26.3%",269,"25.6%","24.5%",0.37,0.04
"Nautilus","Top",1,"8.3%","0.0%","16.7%","100%","0%",4,1,10,14,"87.5%","12.5%","100%",144,-277,-16,4.7,"15.6%",280,"14.9%","17.1%",0.58,0.3
"Nocturne","Jungle",3,"25.0%","16.7%","41.7%","100%","33%",7,6,19,4.3,"50.0%","35.3%","67%",-75,135,3.3,5.4,"14.5%",230,"11.9%","15.8%",0.35,0.17
"Olaf","Jungle",2,"16.7%","8.3%","25.0%","0%","50%",4,4,3,1.8,"58.3%","11.4%","0%",133,-117,15,4.7,"10.6%",169,"11.7%","17.3%",1.11,0.49
