"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Beşiktaş Esports",19,8,11,35.2,234,262,0.89,0.74,-0.39,"-4.1%",48.7,-6.6,-51,"47%","53%","42%",,"37%","26%","41%","56%","42%","41%","49.6%","48.9%",3.06,1.03,1.34
"Bursaspor Esports",18,1,17,31.5,126,269,0.47,0.7,-2.93,"-13.1%",17.2,-11.6,-3377,"39%","22%","11%",,"56%","33%","16%","50%","11%","12%","48.3%","40.5%",2.91,1.22,1.05
"Dark Passage",19,9,10,32,182,192,0.95,0.62,-0.68,"-3.3%",36.1,11.2,-1083,"21%","47%","42%",,"47%","21%","42%","33%","47%","48%","50.5%","48.0%",3.39,1.09,1.29
"Fenerbahçe Esports",18,16,2,30,294,137,2.15,0.8,2.57,"16.7%",76.9,12,3059,"72%","94%","89%",,"78%","72%","75%","100%","83%","86%","51.6%","59.8%",2.96,1.18,1.31
"Galakticos",18,2,16,31,140,269,0.52,0.73,-0.56,"-7.9%",49.1,-37.4,-622,"50%","39%","28%",,"50%","71%","44%","0%","17%","14%","49.1%","45.8%",3.5,1.3,1.33
"Galatasaray Esports",18,9,9,34.6,238,234,1.02,0.75,0.26,"-2.9%",58.8,-8.8,430,"56%","61%","61%",,"44%","61%","54%","67%","39%","45%","49.7%","49.4%",3.1,1.12,1.26
"HWA Gaming",18,6,12,33.1,187,259,0.72,0.75,-0.94,"-5.7%",39.6,-6.2,-952,"50%","22%","28%",,"28%","44%","40%","33%","44%","54%","49.6%","49.1%",3.03,1.09,1.16
"Royal Youth",18,14,4,32.8,266,185,1.44,0.76,1.28,"10.0%",61.6,14.9,1327,"50%","72%","72%",,"61%","71%","63%","0%","72%","69%","50.4%","54.9%",3.05,1.03,1.26
"SuperMassive Esports",18,16,2,31.9,314,164,1.91,0.83,1.55,"11.5%",66.5,22.4,1619,"56%","61%","72%",,"56%","72%","72%","50%","67%","71%","50.9%","54.3%",2.88,1.15,1.25
"Team AURORA",18,10,8,30.2,228,244,0.93,0.87,0.02,"-0.8%",47,8.6,-248,"56%","22%","50%",,"44%","33%","58%","100%","56%","61%","50.2%","49.5%",2.93,1.05,1.12
