"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",1,"7.7%","0.0%","23.1%","100%","0%",3,1,4,7,"36.8%","12.5%","0%",-646,-239,-22,8.3,"24.0%",280,"17.0%","22.3%",0.47,0.52
"Aatrox","Top",2,"15.4%","0.0%","23.1%","50%","100%",9,5,7,3.2,"59.3%","16.1%","0%",-245,-463,-8,8,"24.7%",494,"28.9%","24.3%",0.49,0.2
"Ahri","Middle",1,"7.7%","0.0%","7.7%","0%","100%",4,2,2,3,"75.0%","10.5%","0%",646,239,22,8.7,"22.9%",597,"37.5%","25.4%",0.58,0.44
"Akali","Middle",1,"7.7%","30.8%","46.2%","0%","0%",3,4,3,1.5,"50.0%","18.2%","0%",-176,83,-12,6.5,"20.7%",300,"19.8%","18.1%",0.47,0.23
"Akali","Top",1,"7.7%","30.8%","46.2%","0%","0%",1,7,2,0.4,"37.5%","36.8%","0%",-1399,-900,-20,6.6,"20.5%",214,"13.4%","17.6%",0.61,0.25
"Alistar","Support",1,"7.7%","46.2%","53.8%","100%","100%",3,1,11,14,"73.7%","12.5%","0%",-106,251,14,1.9,"5.8%",135,"8.2%","10.8%",1.68,0.19
"Ashe","ADC",1,"7.7%","0.0%","7.7%","0%","100%",1,4,4,1.3,"50.0%","22.2%","0%",-1063,-261,-14,10.9,"37.3%",730,"35.8%","28.4%",0.41,0.5
"Azir","Middle",1,"7.7%","7.7%","15.4%","100%","100%",4,3,12,5.3,"61.5%","13.6%","100%",-169,-63,5,9.4,"29.1%",639,"24.0%","23.0%",0.56,0.38
"Braum","Support",5,"38.5%","23.1%","61.5%","60%","20%",3,15,55,3.9,"66.7%","15.8%","0%",-76,-91,-0.2,1.9,"6.2%",109,"5.7%","9.7%",1.59,0.38
"Camille","Jungle",1,"7.7%","0.0%","7.7%","0%","100%",0,7,3,0.4,"33.3%","33.3%","0%",-353,-395,-4,3.5,"6.9%",111,"7.4%","9.9%",0.42,0.27
"Cassiopeia","-",0,"0%","23.1%","23.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Corki","Middle",4,"30.8%","7.7%","38.5%","50%","25%",21,13,20,3.2,"65.1%","18.3%","0%",-193,-79,-3.5,9.8,"31.3%",827,"39.6%","28.0%",0.52,0.25
"Galio","Middle",1,"7.7%","53.8%","92.3%","100%","100%",6,2,7,6.5,"59.1%","16.7%","0%",176,-83,12,7.6,"21.6%",675,"34.3%","21.3%",0.3,0.1
"Galio","Support",3,"23.1%","53.8%","92.3%","33%","33%",6,16,33,2.4,"59.1%","27.1%","0%",2,64,4.7,1.8,"5.7%",171,"7.2%","9.8%",1.65,0.27
"Galio","Top",1,"7.7%","53.8%","92.3%","100%","100%",4,3,8,4,"63.2%","37.5%","100%",1399,900,20,7.7,"20.7%",533,"32.4%","21.3%",0.66,0.22
"Gnar","Top",1,"7.7%","0.0%","7.7%","0%","100%",1,3,6,2.3,"53.8%","18.8%","0%",-273,-808,25,7.9,"22.8%",558,"29.4%","20.6%",0.38,0.11
"Gragas","Jungle",2,"15.4%","61.5%","76.9%","100%","50%",7,6,26,5.5,"80.5%","31.6%","50%",224,692,1,4.5,"11.1%",374,"17.7%","15.1%",0.82,0.35
"Hecarim","Middle",1,"7.7%","0.0%","30.8%","0%","0%",2,5,2,0.8,"30.8%","26.3%","0%",-14,191,2,8,"23.5%",428,"21.1%","19.9%",0.44,0.09
"Hecarim","Top",3,"23.1%","0.0%","30.8%","33%","67%",12,16,22,2.1,"60.7%","21.6%","0%",148,295,-16,6.4,"20.5%",454,"20.3%","20.5%",0.52,0.21
"Irelia","Middle",3,"23.1%","15.4%","46.2%","33%","67%",17,17,16,1.9,"61.1%","24.6%","33%",105,48,1.7,8.2,"25.2%",421,"22.2%","23.6%",0.52,0.24
"Irelia","Top",1,"7.7%","15.4%","46.2%","100%","0%",7,3,10,5.7,"73.9%","33.3%","0%",1931,1591,33,10.6,"31.9%",597,"27.8%","27.8%",0.5,0.11
"Jarvan IV","Jungle",11,"84.6%","7.7%","92.3%","55%","18%",27,47,128,3.3,"77.9%","23.3%","45%",-93,-182,-4.7,4.7,"13.3%",258,"13.4%","17.2%",0.47,0.47
"Jax","-",0,"0%","23.1%","23.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Jayce","Top",2,"15.4%","76.9%","92.3%","100%","0%",16,12,22,3.2,"66.7%","40.0%","50%",704,563,18.5,8.1,"28.3%",807,"30.5%","25.6%",0.42,0.22
"Jinx","ADC",1,"7.7%","0.0%","7.7%","100%","100%",4,2,5,4.5,"47.4%","15.4%","0%",-802,-115,-6,10.2,"36.1%",431,"22.0%","26.6%",0.3,0.33
"Kai'Sa","ADC",4,"30.8%","30.8%","61.5%","0%","25%",23,15,24,3.1,"65.3%","14.9%","50%",467,-103,8,9.8,"31.8%",562,"26.5%","28.5%",0.37,0.32
"Kalista","ADC",4,"30.8%","38.5%","69.2%","25%","75%",24,11,19,3.9,"60.6%","16.2%","25%",70,-110,1.8,9.5,"32.3%",388,"20.1%","27.0%",0.41,0.34
"Kennen","Top",3,"23.1%","23.1%","46.2%","67%","67%",6,15,34,2.7,"66.7%","27.3%","33%",295,253,2.3,6.9,"19.8%",451,"21.5%","18.4%",0.44,0.12
"LeBlanc","-",0,"0%","30.8%","30.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lee Sin","Jungle",3,"23.1%","0.0%","23.1%","0%","100%",10,11,26,3.3,"70.6%","16.9%","67%",327,131,4.3,4.8,"12.8%",350,"16.1%","17.2%",0.61,0.22
"Lissandra","Middle",3,"23.1%","7.7%","30.8%","33%","100%",11,10,13,2.4,"57.1%","23.3%","33%",118,184,3.7,9.4,"26.3%",440,"22.8%","24.3%",0.43,0.29
"Lucian","ADC",9,"69.2%","0.0%","69.2%","78%","22%",54,10,64,11.8,"71.5%","7.2%","33%",141,77,-1.2,9.7,"31.7%",538,"26.6%","27.7%",0.43,0.36
"Morgana","Middle",1,"7.7%","69.2%","92.3%","100%","100%",4,2,14,9,"75.0%","9.5%","0%",64,281,-11,7,"19.7%",533,"22.9%","18.3%",0.53,0.2
"Morgana","Support",2,"15.4%","69.2%","92.3%","100%","50%",4,3,30,11.3,"60.7%","11.1%","0%",-348,-82,-7,0.6,"2.6%",236,"8.9%","11.0%",1.51,0.34
"Nautilus","Support",1,"7.7%","0.0%","7.7%","100%","100%",2,5,8,2,"62.5%","38.5%","100%",-11,-234,-3,1.9,"6.2%",205,"9.9%","10.6%",1.4,0.3
"Poppy","-",0,"0%","7.7%","7.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
