"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Artemis","Sky Gaming","Top",3,"33%","33%",13,14,19,2.3,"65.3%","26.5%","23.3%","0%",-497,-440,-4.3,8.1,"27.7%",572,"28.1%",,290,"25.2%",,0.45,0.14,0.12
"Artifact","Friends Forever Gaming","Middle",4,"25%","50%",20,19,25,2.4,"66.2%","29.4%","22.4%","25%",-44,29,-2.3,8.1,"24.0%",552,"29.4%",,274,"22.7%",,0.47,0.17,0.17
"Artifact","Friends Forever Gaming","Top",1,"100%","100%",8,2,7,7.5,"78.9%","42.1%","15.4%","0%",1088,978,11,8.4,"23.9%",771,"39.4%",,341,"25.9%",,0.41,0.27,0.3
"Bigkoro","Phong Vũ Buffalo","ADC",4,"75%","75%",25,8,23,6,"61.5%","32.1%","14.0%","0%",-176,106,5.5,9.8,"30.5%",604,"27.6%",,347,"27.6%",,0.52,0.18,0.48
"Celebrity","Friends Forever Gaming","ADC",5,"40%","60%",27,13,28,4.2,"63.2%","31.0%","13.3%","60%",231,25,7.4,9.9,"33.4%",495,"26.1%",,345,"28.7%",,0.4,0.11,0.35
"Darrys","Sky Gaming","Top",1,"0%","0%",1,7,2,0.4,"37.5%","12.5%","36.8%","0%",-1399,-900,-20,6.6,"20.5%",214,"13.4%",,183,"17.6%",,0.61,0.25,0.25
"Dia1","EVOS Esports","Middle",11,"55%","36%",56,31,69,4,"61.9%","27.7%","15.9%","0%",-7,-118,0.7,9.4,"30.1%",687,"32.1%",,308,"25.6%",,0.5,0.21,0.18
"Dia1","EVOS Esports","Top",2,"50%","50%",7,9,11,2,"56.3%","21.9%","33.3%","50%",156,-39,4.5,8.7,"25.7%",532,"29.3%",,288,"23.2%",,0.58,0.27,0.14
"DNK","Friends Forever Gaming","Jungle",5,"40%","40%",13,22,46,2.7,"67.8%","14.9%","22.4%","60%",-1,-241,-5.8,4.8,"13.8%",282,"15.1%",,208,"17.1%",,0.31,0.24,0.31
"Hinn","Sky Gaming","Support",4,"25%","0%",1,12,32,2.8,"57.9%","1.8%","15.2%","0%",-87,-309,-3,1.7,"5.7%",113,"6.5%",,110,"9.6%",,1.53,0.51,0.57
"Kaiz","Sky Gaming","Jungle",4,"25%","25%",8,23,26,1.5,"59.6%","14.0%","29.1%","25%",-160,-348,0.5,4.2,"10.0%",198,"11.5%",,164,"14.7%",,0.85,0.41,0.52
"KingJ","Friends Forever Gaming","Middle",1,"100%","100%",1,3,7,2.7,"42.1%","5.3%","23.1%","0%",14,-191,-2,7.8,"22.0%",353,"18.1%",,250,"19.0%",,0.53,0.21,0.12
"KingJ","Friends Forever Gaming","Top",4,"25%","50%",12,19,27,2.1,"57.4%","17.6%","22.4%","0%",-421,-139,-12,7.3,"23.5%",377,"19.4%",,248,"20.7%",,0.49,0.18,0.18
"Meliodas","Phong Vũ Buffalo","Jungle",4,"75%","50%",9,11,47,5.1,"71.8%","11.5%","19.3%","25%",85,113,0.5,4.6,"12.3%",315,"14.4%",,192,"15.2%",,0.64,0.34,0.43
"Naul","Phong Vũ Buffalo","Middle",4,"75%","75%",18,8,30,6,"61.5%","23.1%","14.0%","25%",266,277,3,8.6,"23.6%",481,"22.0%",,280,"22.5%",,0.52,0.24,0.26
"Noway","EVOS Esports","ADC",13,"54%","38%",71,26,92,6.3,"69.7%","30.3%","11.7%","23%",107,-53,-2.2,9.5,"31.0%",486,"24.0%",,323,"26.6%",,0.41,0.15,0.33
"Optimus","Sky Gaming","Middle",4,"25%","75%",12,13,21,2.5,"57.9%","21.1%","16.5%","25%",-41,79,2.8,8.7,"25.0%",477,"26.3%",,252,"22.2%",,0.5,0.17,0.33
"Palette","Phong Vũ Buffalo","Support",4,"75%","75%",5,12,46,4.3,"65.4%","6.4%","21.1%","0%",-4,118,7.8,1.8,"5.8%",161,"7.3%",,133,"10.5%",,1.65,0.51,0.37
"Ronop","EVOS Esports","Support",13,"54%","54%",22,42,132,3.7,"65.8%","9.4%","18.9%","23%",12,80,-1.4,1.3,"4.1%",129,"6.2%",,124,"10.1%",,1.58,0.43,0.28
"Slayder","Sky Gaming","ADC",4,"25%","50%",22,10,15,3.7,"64.9%","38.6%","12.7%","0%",-461,34,-7.5,9.9,"33.4%",560,"31.2%",,334,"30.3%",,0.4,0.14,0.36
"Stark","EVOS Esports","Middle",2,"50%","0%",5,6,6,1.8,"34.4%","15.6%","22.2%","0%",-330,-24,-10,8.2,"23.8%",354,"19.0%",,264,"21.1%",,0.46,0.13,0.31
"Stark","EVOS Esports","Top",11,"55%","64%",43,53,87,2.5,"64.4%","21.3%","27.2%","27%",90,-51,1.2,7.4,"22.7%",534,"25.4%",,261,"21.8%",,0.44,0.13,0.17
"Venus","Friends Forever Gaming","Support",5,"40%","60%",6,20,49,2.8,"63.2%","6.9%","20.4%","60%",41,-55,-0.2,1.5,"5.7%",154,"8.2%",,123,"10.4%",,1.37,0.35,0.3
"Yijin","EVOS Esports","Jungle",13,"54%","62%",30,55,143,3.1,"73.9%","12.8%","24.8%","46%",23,165,1.9,4.6,"12.6%",281,"13.8%",,200,"16.4%",,0.6,0.37,0.47
"Zeros","Phong Vũ Buffalo","Top",4,"75%","25%",21,18,20,2.3,"52.6%","26.9%","31.6%","0%",546,610,12,9.1,"27.9%",626,"28.6%",,306,"24.2%",,0.49,0.14,0.17
