"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",2,"11.1%","27.8%","38.9%","50%","100%",2,6,8,1.7,"52.6%","25.0%","0%",-85,-87,-4.5,8.6,"24.8%",401,"24.2%","22.1%",0.37,0.3
"Akali","Top",1,"5.6%","16.7%","22.2%","100%","100%",5,2,5,5,"52.6%","33.3%","100%",145,86,-20,8.5,"28.8%",423,"19.3%","23.4%",0.25,0.11
"Alistar","Support",7,"38.9%","16.7%","55.6%","29%","71%",7,24,49,2.3,"65.9%","19.8%","14%",-205,-191,-9,1,"2.7%",151,"7.9%","8.4%",1.91,0.32
"Aphelios","ADC",2,"11.1%","0.0%","11.1%","0%","50%",0,6,1,0.2,"50.0%","33.3%","0%",119,175,42,10.6,"36.5%",308,"23.7%","31.0%",0.38,0.64
"Azir","-",0,"0%","16.7%","16.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Support",3,"16.7%","11.1%","27.8%","67%","100%",3,5,21,4.8,"68.6%","17.2%","0%",74,147,1.7,1.2,"2.9%",155,"7.6%","8.7%",1.63,0.51
"Camille","-",0,"0%","5.6%","5.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Cho'Gath","Support",1,"5.6%","11.1%","16.7%","100%","0%",5,2,4,4.5,"50.0%","18.2%","0%",772,283,49,8.1,"26.4%",383,"16.4%","21.6%",0.23,0.29
"Ezreal","ADC",8,"44.4%","5.6%","50.0%","38%","38%",26,19,24,2.6,"55.6%","16.4%","13%",325,208,12,9.3,"29.8%",652,"31.6%","25.6%",0.44,0.35
"Galio","Support",1,"5.6%","11.1%","16.7%","100%","100%",0,2,9,4.5,"64.3%","28.6%","0%",548,695,5,1.3,"2.1%",276,"13.3%","9.8%",1.6,0.24
"Gangplank","Top",1,"5.6%","5.6%","11.1%","100%","100%",3,4,11,3.5,"77.8%","36.4%","0%",-559,-865,-11,7.9,"26.5%",771,"33.0%","25.4%",0.55,0.06
"Gnar","Top",6,"33.3%","66.7%","100.0%","67%","0%",23,13,29,4,"65.0%","19.7%","33%",322,317,11.7,8.6,"25.1%",466,"25.8%","25.1%",0.41,0.3
"Gragas","Top",6,"33.3%","16.7%","50.0%","17%","17%",5,19,34,2.1,"68.4%","22.6%","50%",71,-27,0.5,6.8,"19.9%",384,"21.0%","19.6%",0.38,0.25
"Graves","Jungle",3,"16.7%","0.0%","16.7%","67%","33%",5,2,14,9.5,"82.6%","10.5%","33%",-156,-321,-1.3,8,"26.9%",368,"20.8%","22.5%",0.59,0.54
"Hecarim","Jungle",10,"55.6%","44.4%","100.0%","30%","30%",34,22,68,4.6,"72.3%","15.8%","60%",-64,-194,-4.9,6.2,"17.3%",286,"14.3%","19.5%",0.62,0.48
"Heimerdinger","Support",1,"5.6%","0.0%","5.6%","100%","100%",3,0,4,7,"87.5%","0.0%","0%",1591,862,67,7.3,"22.4%",570,"30.1%","23.9%",0.54,0.17
