"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Adept","One Breath Gaming","Support",3,"0%","67%",4,20,12,0.8,"50.0%","12.5%","39.2%","33%",84,115,13.7,2.6,"6.3%",235,"11.2%",,118,"11.1%",,0.97,0.38,0.18
"AHaHaCiK","Unicorns of Love.CIS","Jungle",8,"75%","75%",27,20,75,5.1,"71.3%","18.9%","25.0%","63%",114,130,-0.3,6.4,"22.0%",342,"16.0%",,236,"20.7%",,0.27,0.19,0.34
"BOSS","Unicorns of Love.CIS","Top",8,"75%","38%",17,22,77,4.3,"65.7%","11.9%","27.5%","25%",74,-59,-2,6,"18.8%",367,"17.3%",,207,"18.2%",,0.48,0.18,0.17
"Dreampull","Gambit Esports","Top",4,"25%","50%",9,16,15,1.5,"68.6%","25.7%","23.5%","0%",-78,207,4.5,6.4,"20.6%",321,"19.0%",,189,"20.3%",,0.36,0.03,0.05
"Four","Gambit Esports","Jungle",4,"25%","25%",6,14,18,1.7,"68.6%","17.1%","20.6%","0%",-263,-176,2.5,5.3,"15.8%",236,"14.5%",,166,"17.9%",,0.35,0.34,0.33
"Griffon","CrowCrowd","Middle",7,"57%","29%",25,24,45,2.9,"72.9%","26.0%","22.4%","14%",73,-3,1.9,8.7,"28.9%",626,"31.0%",,275,"26.4%",,0.4,0.14,0.21
"Jestkui Max","CrowCrowd","Support",7,"57%","29%",6,29,69,2.6,"78.1%","6.3%","27.1%","0%",-327,-239,-23.4,1.1,"2.6%",163,"7.8%",,97,"9.3%",,1.24,0.39,0.25
"Kinzu","CrowCrowd","ADC",7,"57%","71%",30,11,42,6.5,"75.0%","31.3%","10.3%","0%",166,64,25,8.5,"30.4%",525,"24.6%",,276,"26.0%",,0.62,0.21,0.3
"Kreox","One Breath Gaming","Jungle",3,"0%","33%",4,2,18,11,"68.8%","12.5%","3.9%","67%",51,484,9.3,7,"23.8%",390,"18.8%",,205,"20.2%",,0.54,0.25,0.38
"Lekcyc","Gambit Esports","Support",4,"25%","75%",1,15,18,1.3,"54.3%","2.9%","22.1%","25%",-310,-310,-30.8,1.1,"2.2%",133,"8.1%",,77,"8.3%",,1.66,0.45,0.31
"Lodik","Unicorns of Love.CIS","ADC",8,"75%","13%",35,11,85,10.9,"83.9%","24.5%","13.8%","38%",-311,-162,-43.5,4.1,"17.5%",518,"24.5%",,227,"19.9%",,0.71,0.13,0.3
"MightyDragon","CrowCrowd","Jungle",7,"57%","43%",21,17,43,3.8,"66.7%","21.9%","15.9%","14%",-2,-255,-5.1,5.4,"16.1%",413,"20.2%",,184,"17.6%",,0.46,0.3,0.38
"Mirbs","One Breath Gaming","ADC",3,"0%","33%",7,7,16,3.3,"71.9%","21.9%","13.7%","33%",-219,-37,-16.3,6.4,"23.7%",668,"31.9%",,231,"23.4%",,0.76,0.24,0.59
"Nomanz","Unicorns of Love.CIS","Middle",8,"75%","50%",59,13,60,9.2,"83.2%","41.3%","16.3%","38%",1,146,2.5,9.1,"33.2%",744,"34.8%",,327,"28.3%",,0.39,0.11,0.28
"NoNholy","CrowCrowd","Top",7,"57%","71%",14,26,50,2.5,"66.7%","14.6%","24.3%","0%",-217,-110,-1.7,6.9,"21.9%",337,"16.5%",,214,"20.7%",,0.43,0.11,0.18
"Phlaty","Gambit Esports","Middle",4,"25%","75%",14,14,13,1.9,"77.1%","40.0%","20.6%","25%",-114,-281,-4.8,8.1,"27.7%",494,"29.8%",,236,"25.4%",,0.45,0.17,0.07
"SaNTaS","Unicorns of Love.CIS","Support",8,"75%","50%",5,14,98,7.4,"72.0%","3.5%","17.5%","38%",410,321,30.8,3.5,"8.5%",159,"7.5%",,149,"12.8%",,0.95,0.35,0.21
"Shiganari","Gambit Esports","ADC",4,"25%","100%",5,9,17,2.4,"62.9%","14.3%","13.2%","0%",495,241,55.5,9.1,"33.7%",467,"28.6%",,257,"28.0%",,0.57,0.17,0.39
"Smurf","One Breath Gaming","Top",3,"0%","33%",11,15,8,1.3,"59.4%","34.4%","29.4%","100%",411,138,3.3,7.3,"22.5%",305,"14.2%",,238,"23.8%",,0.48,0.19,0.29
"XoNix","One Breath Gaming","Middle",3,"0%","67%",6,7,15,3,"65.6%","18.8%","13.7%","33%",-19,-9,-4.7,7.6,"23.8%",516,"24.0%",,217,"21.5%",,0.39,0.17,0.17
