"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","-",0,"0%","21.7%","21.7%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ahri","Middle",6,"26.1%","21.7%","47.8%","83%","67%",26,6,39,10.8,"72.2%","10.5%","33%",22,142,-2.3,9,"28.2%",481,"25.8%","24.9%",0.34,0.19
"Akali","Middle",2,"8.7%","0.0%","13.0%","50%","100%",15,5,7,4.4,"73.3%","11.1%","0%",86,-434,-5.5,7.8,"27.4%",633,"31.0%","27.4%",0.24,0.15
"Akali","Top",1,"4.3%","0.0%","13.0%","0%","0%",2,5,1,0.6,"60.0%","22.7%","0%",-1306,-975,-33,6.4,"20.2%",411,"29.8%","18.7%",0.35,0.06
"Alistar","Support",12,"52.2%","30.4%","82.6%","8%","33%",7,50,63,1.4,"78.7%","24.0%","8%",-70,-224,-2,1,"2.1%",144,"9.4%","8.6%",1.35,0.28
"Annie","Middle",1,"4.3%","0.0%","4.3%","0%","100%",1,3,2,1,"60.0%","14.3%","0%",-567,-18,-10,6.4,"20.2%",257,"20.9%","19.7%",0.32,0.29
"Aphelios","ADC",2,"8.7%","4.3%","13.0%","50%","100%",8,10,12,2,"69.0%","34.5%","0%",-510,-473,-21.5,9.8,"35.1%",607,"33.7%","29.9%",0.38,0.26
"Azir","Middle",4,"17.4%","8.7%","26.1%","25%","100%",10,14,20,2.1,"78.9%","20.3%","25%",-268,-164,-1.3,8.9,"28.1%",606,"33.5%","25.6%",0.52,0.14
"Bard","Support",1,"4.3%","0.0%","4.3%","100%","100%",2,3,18,6.7,"87.0%","16.7%","0%",615,131,-9,1.1,"2.9%",200,"8.2%","9.1%",1.9,0.41
"Braum","Support",4,"17.4%","4.3%","21.7%","75%","100%",1,6,52,8.8,"81.5%","17.1%","25%",-141,-32,-1,1,"2.0%",175,"8.5%","8.9%",1.62,0.27
"Camille","Top",1,"4.3%","17.4%","21.7%","0%","100%",1,4,0,0.3,"20.0%","26.7%","0%",396,447,17,8.3,"24.9%",600,"27.5%","24.8%",0.38,0.08
"Cho'Gath","Top",2,"8.7%","17.4%","26.1%","100%","100%",4,1,13,17,"63.0%","14.3%","0%",185,176,1.5,7.8,"20.3%",316,"14.9%","21.0%",0.53,0.24
"Darius","Top",1,"4.3%","0.0%","4.3%","0%","100%",1,5,0,0.2,"33.3%","29.4%","0%",-1796,-375,-18,7.5,"29.8%",179,"15.1%","21.7%",0.47,0.11
"Ekko","Middle",1,"4.3%","0.0%","4.3%","100%","100%",4,0,9,13,"72.2%","0.0%","0%",410,1368,15,9.1,"31.9%",509,"24.7%","24.0%",0.41,0.25
"Evelynn","-",0,"0%","13.0%","13.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
