"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Aladoric","PEACE","Support",16,"56%","75%",17,34,175,5.6,"76.8%","6.8%","19.8%","63%",161,161,1.4,1.1,"2.6%",171,"9.0%",,109,"9.5%",,1.65,0.56,0.32
"Apii","PEACE","Top",16,"56%","56%",47,32,108,4.8,"62.0%","18.8%","18.6%","31%",291,157,4.6,7.2,"20.2%",360,"18.7%",,240,"21.1%",,0.35,0.17,0.26
"Beats","ORDER","Support",3,"0%","67%",1,14,12,0.9,"92.9%","7.1%","26.4%","33%",-7,-151,-1.7,1,"1.9%",128,"10.5%",,76,"8.9%",,1.48,0.46,0.21
"BioPanther","Pentanet.GG","Top",9,"67%","56%",22,24,67,3.7,"69.5%","17.2%","17.8%","0%",-76,85,-0.6,7.4,"21.1%",362,"18.0%",,234,"21.1%",,0.58,0.23,0.21
"Chazz","Pentanet.GG","Middle",9,"67%","78%",38,16,47,5.3,"66.4%","29.7%","11.9%","0%",94,167,3.8,8.6,"28.2%",555,"27.9%",,274,"24.9%",,0.31,0.15,0.21
"Chungy","ORDER","Middle",3,"0%","33%",2,10,6,0.8,"57.1%","14.3%","18.9%","0%",-188,-188,-3,7.6,"23.4%",343,"28.1%",,191,"22.2%",,0.36,0.17,0.2
"Claire","Dire Wolves","Top",7,"14%","43%",10,33,29,1.2,"61.9%","15.9%","26.0%","0%",-746,-482,-8.1,6.7,"20.5%",403,"22.8%",,193,"19.4%",,0.33,0.15,0.08
"Cupcake","Dire Wolves","Support",7,"14%","43%",5,29,43,1.7,"76.2%","7.9%","22.8%","0%",-76,-256,-0.7,1.1,"2.2%",134,"7.8%",,85,"8.6%",,1.29,0.34,0.27
"Decoy","Pentanet.GG","Support",9,"67%","33%",6,30,96,3.4,"79.7%","4.7%","22.2%","0%",-168,-96,-1.4,1,"2.3%",150,"7.3%",,102,"9.2%",,1.38,0.42,0.36
"Dragku","Chiefs Esports Club","Support",11,"64%","27%",12,25,89,4,"67.3%","8.0%","20.7%","27%",-46,49,0,1.2,"3.2%",192,"9.9%",,104,"9.2%",,1.12,0.26,0.33
"gunkrab","Dire Wolves","ADC",7,"14%","29%",20,19,24,2.3,"69.8%","31.7%","15.0%","0%",57,221,3.3,9.6,"31.8%",542,"29.2%",,280,"27.6%",,0.39,0.12,0.26
"Halo","PEACE","Middle",16,"56%","38%",65,37,113,4.8,"71.2%","26.0%","21.5%","31%",78,-15,-1.6,8.9,"28.6%",537,"27.6%",,279,"24.7%",,0.42,0.14,0.18
"Kisee","Chiefs Esports Club","Middle",11,"64%","45%",46,25,56,4.1,"68.0%","30.7%","20.7%","27%",-3,-11,-1.5,9,"29.0%",514,"26.9%",,284,"25.5%",,0.39,0.14,0.16
"LeeSA","PEACE","Jungle",16,"56%","31%",42,43,127,3.9,"67.6%","16.8%","25.0%","69%",120,61,0.8,5.5,"15.4%",260,"13.1%",,189,"16.9%",,0.31,0.29,0.4
"Lionel","Chiefs Esports Club","ADC",11,"64%","45%",46,19,60,5.6,"70.7%","30.7%","15.7%","18%",-392,-305,-12.3,9.1,"31.7%",520,"27.6%",,296,"26.9%",,0.38,0.14,0.3
"Lived","Chiefs Esports Club","Top",11,"64%","36%",17,24,81,4.1,"65.3%","11.3%","19.8%","27%",262,-39,-1.6,6.7,"18.8%",369,"19.4%",,215,"19.7%",,0.43,0.13,0.19
"Maximize","ORDER","Top",3,"0%","67%",2,10,5,0.7,"50.0%","14.3%","18.9%","0%",-543,175,2,7.4,"24.9%",263,"21.4%",,190,"22.1%",,0.53,0.22,0.2
"Only","Dire Wolves","Jungle",7,"14%","71%",13,20,32,2.3,"71.4%","20.6%","15.7%","14%",-212,86,2,6.4,"18.9%",177,"10.5%",,197,"20.1%",,0.39,0.31,0.34
"Pabu","Pentanet.GG","Jungle",9,"67%","56%",14,35,69,2.4,"64.8%","10.9%","25.9%","0%",-108,-29,0.1,5.5,"15.5%",264,"13.0%",,183,"16.5%",,0.41,0.35,0.42
"Praedyth","Pentanet.GG","ADC",9,"67%","33%",48,30,45,3.1,"72.7%","37.5%","22.2%","0%",-341,-60,-10.3,9.1,"32.8%",680,"33.8%",,312,"28.3%",,0.74,0.13,0.42
"Puma","ORDER","ADC",3,"0%","100%",6,9,5,1.2,"78.6%","42.9%","17.0%","33%",644,283,10.3,9.4,"36.3%",354,"28.7%",,253,"29.4%",,0.33,0.12,0.2
"Shok","Dire Wolves","Middle",7,"14%","57%",15,26,34,1.9,"77.8%","23.8%","20.5%","14%",-213,-83,2.6,8.5,"26.5%",528,"29.8%",,242,"24.4%",,0.49,0.23,0.13
"Swathe","Chiefs Esports Club","Jungle",11,"64%","73%",29,28,72,3.6,"67.3%","19.3%","23.1%","64%",125,-46,-2.6,6.1,"17.4%",310,"16.2%",,209,"18.7%",,0.41,0.32,0.27
"Vengeance","ORDER","Jungle",3,"0%","0%",3,10,8,1.1,"78.6%","21.4%","18.9%","0%",-281,-269,0.3,5.2,"13.5%",139,"11.3%",,148,"17.5%",,0.4,0.36,0.26
"Violet","PEACE","ADC",16,"56%","63%",79,26,104,7,"73.2%","31.6%","15.1%","56%",316,94,10.9,9.8,"33.2%",634,"31.6%",,318,"27.8%",,0.45,0.14,0.41
