"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",12,"13.3%","4.4%","17.8%","50%","92%",37,28,75,4,"62.9%","17.7%","42%",108,104,2.7,8,"25.1%",480,"24.5%","22.4%",0.43,0.24
"Ahri","Middle",1,"1.1%","0.0%","1.1%","100%","100%",3,3,13,5.3,"76.2%","42.9%","100%",365,83,5,8.3,"21.8%",586,"24.0%","20.7%",0.26,0.17
"Alistar","Support",39,"43.3%","23.3%","66.7%","46%","67%",26,112,347,3.3,"71.9%","21.5%","21%",-63,28,0,1.1,"2.5%",124,"7.0%","8.3%",1.57,0.36
"Aphelios","ADC",10,"11.1%","5.6%","16.7%","60%","80%",26,28,61,3.1,"69.0%","21.5%","0%",106,80,4.8,9.8,"33.4%",523,"28.0%","27.5%",0.46,0.32
"Ashe","ADC",2,"2.2%","0.0%","2.2%","50%","50%",3,8,21,3,"75.0%","24.2%","0%",202,90,8.5,8.4,"26.8%",644,"26.7%","21.7%",0.34,0.3
"Azir","Middle",38,"42.2%","32.2%","74.4%","55%","37%",127,89,175,3.4,"64.5%","23.1%","16%",74,90,1.3,9.2,"27.8%",511,"28.5%","24.7%",0.43,0.23
"Bard","Support",2,"2.2%","1.1%","3.3%","50%","50%",0,3,11,3.7,"64.7%","11.5%","0%",-363,-318,-35.5,1.1,"3.9%",134,"8.3%","9.2%",2.41,0.47
"Blitzcrank","Support",5,"5.6%","1.1%","6.7%","40%","100%",2,13,29,2.4,"62.0%","20.6%","20%",-879,-472,-51.4,1,"2.7%",133,"7.7%","8.4%",1.27,0.26
"Caitlyn","ADC",3,"3.3%","0.0%","3.3%","33%","100%",11,6,17,4.7,"90.3%","13.0%","33%",557,184,9.7,9.9,"30.7%",511,"31.0%","29.0%",0.44,0.45
"Camille","Top",19,"21.1%","30.0%","51.1%","42%","26%",52,68,82,2,"60.4%","26.1%","26%",-201,-122,-5,7.5,"25.3%",374,"23.4%","22.5%",0.43,0.16
"Cassiopeia","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Cho'Gath","Top",3,"3.3%","0.0%","3.3%","100%","100%",14,5,15,5.8,"56.9%","22.7%","0%",-108,7,-2,7,"19.7%",326,"17.6%","20.2%",0.45,0.2
"Corki","Middle",3,"3.3%","0.0%","3.3%","0%","100%",4,12,4,0.7,"32.0%","20.3%","0%",-596,-642,-13.7,8.6,"30.1%",476,"29.7%","25.5%",0.4,0.15
"Dr. Mundo","Jungle",4,"4.4%","0.0%","4.4%","50%","100%",3,13,14,1.3,"47.2%","33.3%","25%",-150,-63,3,6.1,"14.8%",218,"15.3%","17.5%",0.31,0.52
"Draven","ADC",2,"2.2%","1.1%","3.3%","0%","100%",3,5,6,1.8,"75.0%","20.8%","0%",-15,-64,2.5,8.7,"29.0%",355,"25.4%","27.4%",0.85,0.36
"Ekko","Middle",2,"2.2%","0.0%","2.2%","100%","100%",7,2,8,7.5,"55.6%","18.2%","50%",227,440,0.5,9.7,"29.2%",462,"22.1%","25.5%",0.36,0.14
"Ezreal","ADC",5,"5.6%","5.6%","11.1%","60%","100%",19,10,20,3.9,"63.9%","14.7%","20%",331,514,29.8,9.1,"30.3%",735,"37.2%","26.5%",0.42,0.26
"Galio","Middle",3,"3.3%","11.1%","22.2%","0%","67%",6,12,18,2,"61.5%","15.8%","0%",-478,-301,-15.7,7.3,"23.1%",323,"19.2%","20.4%",0.36,0.04
"Galio","Support",7,"7.8%","11.1%","22.2%","71%","86%",3,17,62,3.8,"73.0%","20.7%","0%",71,14,1.3,1.2,"2.9%",160,"8.6%","8.6%",1.6,0.31
"Gangplank","Top",18,"20.0%","28.9%","48.9%","33%","56%",36,59,82,2,"62.8%","22.2%","33%",105,-12,5.1,8.1,"25.1%",580,"31.7%","25.1%",0.45,0.1
"Gnar","Top",31,"34.4%","34.4%","68.9%","52%","39%",92,92,198,3.2,"69.7%","22.5%","16%",-60,-8,-0.3,7.6,"23.4%",464,"24.0%","21.8%",0.49,0.23
"Gragas","Jungle",4,"4.4%","21.1%","53.3%","75%","50%",8,10,28,3.6,"65.5%","24.4%","50%",35,-184,-6,5.6,"15.1%",311,"17.3%","15.6%",0.47,0.31
"Gragas","Support",2,"2.2%","21.1%","53.3%","0%","0%",2,6,4,1,"85.7%","18.8%","0%",-44,-88,-9,1,"3.9%",176,"13.7%","9.6%",1.25,0.34
"Gragas","Top",23,"25.6%","21.1%","53.3%","43%","30%",37,67,141,2.7,"59.3%","20.7%","4%",-247,-53,-8,6.7,"20.4%",329,"18.6%","18.9%",0.45,0.17
"Graves","Jungle",15,"16.7%","11.1%","27.8%","20%","40%",30,44,50,1.8,"58.8%","19.0%","53%",-169,-230,-2.3,6.8,"20.8%",289,"17.8%","20.6%",0.27,0.47
"Hecarim","Jungle",36,"40.0%","31.1%","71.1%","53%","33%",103,84,263,4.4,"72.3%","19.6%","36%",46,-74,-1.8,6.2,"16.9%",267,"15.1%","18.8%",0.33,0.37
"Irelia","Middle",1,"1.1%","17.8%","22.2%","100%","100%",5,3,3,2.7,"57.1%","75.0%","100%",1354,526,21,9.3,"19.5%",371,"24.2%","21.9%",0.42,0.21
"Irelia","Top",3,"3.3%","17.8%","22.2%","67%","100%",13,13,18,2.4,"60.8%","33.3%","67%",526,191,13.7,9,"28.7%",452,"26.8%","26.6%",0.42,0.08
"Ivern","Top",1,"1.1%","0.0%","1.1%","0%","100%",0,1,10,10,"66.7%","11.1%","0%",-1039,-550,-33,5.6,"16.1%",213,"15.5%","14.9%",0.38,0.13
"Janna","Support",2,"2.2%","0.0%","2.2%","50%","100%",1,4,17,4.5,"90.0%","14.3%","0%",-36,122,-4,0.9,"2.4%",113,"6.1%","10.0%",1.71,0.38
"Jarvan IV","Jungle",3,"3.3%","2.2%","5.6%","67%","100%",4,10,40,4.4,"80.0%","34.5%","67%",-187,-164,-3,5.3,"14.9%",236,"11.3%","15.6%",0.77,0.48
"Jax","Top",2,"2.2%","1.1%","3.3%","100%","100%",9,3,12,7,"51.2%","18.8%","100%",639,307,5,8,"22.5%",342,"19.3%","21.7%",0.54,0.18
"Jayce","Top",4,"4.4%","7.8%","12.2%","50%","100%",5,10,17,2.2,"59.5%","26.3%","0%",188,-80,9.8,9.8,"28.3%",609,"38.5%","25.2%",0.42,0.23
"Jhin","ADC",3,"3.3%","1.1%","4.4%","33%","67%",11,4,14,6.3,"69.4%","8.2%","33%",-188,-111,-3,9.3,"28.9%",353,"21.1%","25.7%",0.35,0.23
"Jinx","ADC",4,"4.4%","2.2%","6.7%","0%","50%",8,13,18,2,"76.5%","21.0%","25%",-56,-32,17.5,9.5,"34.2%",561,"35.0%","28.5%",0.42,0.33
"Kai'Sa","ADC",56,"62.2%","23.3%","85.6%","54%","14%",298,116,219,4.5,"70.1%","16.2%","27%",-8,-16,7,9.4,"30.4%",446,"24.8%","27.5%",0.51,0.32
"Kalista","ADC",8,"8.9%","14.4%","23.3%","75%","50%",45,12,32,6.4,"68.1%","14.1%","13%",128,139,6,9.5,"29.6%",403,"21.7%","26.7%",0.5,0.5
"Karma","Support",1,"1.1%","3.3%","6.7%","100%","0%",1,1,7,8,"80.0%","25.0%","0%",703,55,74,6.6,"16.9%",172,"8.5%","16.0%",0.4,0.26
"Karma","Top",2,"2.2%","3.3%","6.7%","50%","50%",3,1,13,16,"80.0%","6.3%","0%",89,256,4,6.8,"15.7%",322,"22.6%","18.6%",0.39,0.09
"Kayn","Jungle",4,"4.4%","1.1%","5.6%","25%","100%",10,13,10,1.5,"55.6%","21.7%","50%",-323,-682,-9.8,6.7,"24.7%",292,"15.9%","21.4%",0.6,0.35
"Kennen","Top",2,"2.2%","0.0%","2.2%","0%","50%",3,5,4,1.4,"77.8%","19.2%","0%",-209,-448,2.5,8.1,"25.5%",316,"28.9%","24.4%",0.6,0.2
"Kindred","Jungle",1,"1.1%","2.2%","3.3%","100%","100%",6,1,6,12,"75.0%","25.0%","0%",-85,98,-5,7.8,"25.3%",368,"18.3%","23.8%",0.17,0.7
"Kled","Top",3,"3.3%","2.2%","5.6%","67%","100%",6,8,20,3.3,"72.2%","26.7%","33%",-90,-87,-3.7,6.6,"18.9%",342,"18.6%","18.9%",0.51,0.08
"LeBlanc","Middle",3,"3.3%","1.1%","4.4%","67%","100%",14,7,9,3.3,"57.5%","20.0%","33%",149,558,11.3,8.1,"22.8%",517,"29.5%","24.1%",0.51,0.22
"Leona","Support",13,"14.4%","5.6%","20.0%","46%","69%",9,42,96,2.5,"67.3%","21.6%","8%",-86,-159,-0.1,1.2,"2.6%",101,"5.9%","8.6%",1.7,0.48
"Lillia","Jungle",32,"35.6%","26.7%","62.2%","50%","50%",69,66,182,3.8,"64.9%","17.1%","19%",98,204,3.6,6.6,"18.5%",337,"18.1%","18.9%",0.41,0.32
"Lucian","ADC",1,"1.1%","12.2%","23.3%","0%","100%",0,4,2,0.5,"66.7%","19.0%","0%",-719,-372,-13,9.1,"29.8%",286,"20.3%","24.0%",0.3,0.19
"Lucian","Middle",9,"10.0%","12.2%","23.3%","44%","22%",35,29,41,2.6,"65.5%","23.0%","22%",102,15,0.6,8.9,"27.8%",493,"25.6%","26.0%",0.42,0.27
"Lulu","Support",2,"2.2%","2.2%","6.7%","50%","100%",1,2,21,11,"88.0%","10.5%","50%",-145,-66,-43,0.4,"1.6%",157,"6.7%","8.6%",1.65,0.2
"Lulu","Top",2,"2.2%","2.2%","6.7%","50%","100%",2,3,16,6,"85.7%","10.0%","0%",-182,-619,-2,5.2,"14.8%",260,"15.3%","16.0%",0.38,0.09
"Malphite","Top",1,"1.1%","1.1%","2.2%","100%","0%",3,0,10,13,"68.4%","0.0%","100%",-393,-688,-19,6.6,"18.9%",271,"12.9%","19.2%",0.57,0.19
"Malzahar","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Maokai","Support",1,"1.1%","0.0%","1.1%","0%","100%",0,3,2,0.7,"25.0%","20.0%","0%",-1177,-622,-71,1.5,"4.3%",305,"14.2%","7.8%",0.87,0.16
"Miss Fortune","ADC",5,"5.6%","2.2%","7.8%","80%","100%",18,10,36,5.4,"68.4%","20.8%","20%",2,53,2.6,8.9,"25.9%",419,"22.6%","23.4%",0.54,0.34
"Mordekaiser","Top",1,"1.1%","0.0%","1.1%","100%","100%",6,4,7,3.3,"76.5%","19.0%","100%",-44,199,-12,7.4,"19.6%",571,"30.2%","24.8%",0.42,0.21
"Morgana","Jungle",1,"1.1%","2.2%","4.4%","0%","100%",3,4,6,2.3,"75.0%","16.7%","0%",-388,-134,-3,5.9,"14.5%",409,"22.7%","17.6%",0.8,0.42
"Morgana","Support",1,"1.1%","2.2%","4.4%","0%","0%",1,5,8,1.8,"81.8%","21.7%","100%",665,676,9,1.1,"1.4%",126,"6.9%","10.3%",1.66,0.23
"Nautilus","Support",15,"16.7%","4.4%","21.1%","60%","67%",8,36,140,4.1,"70.5%","21.6%","60%",-63,43,-6.7,1.2,"2.4%",140,"8.2%","8.5%",1.52,0.32
"Neeko","Support",1,"1.1%","0.0%","2.2%","100%","100%",0,5,5,1,"31.3%","33.3%","0%",-319,-470,-56,0.6,"2.1%",337,"12.5%","8.6%",1.78,0.44
"Neeko","Top",1,"1.1%","0.0%","2.2%","0%","100%",1,4,4,1.3,"71.4%","19.0%","0%",-504,-255,-3,8.1,"26.8%",393,"26.2%","24.7%",0.49,0.29
"Nidalee","Jungle",9,"10.0%","10.0%","20.0%","56%","78%",25,15,53,5.2,"65.0%","14.7%","44%",143,91,-1.4,6.3,"17.2%",320,"18.4%","18.8%",0.5,0.56
"Nocturne","Jungle",2,"2.2%","3.3%","5.6%","0%","100%",7,6,11,3,"66.7%","18.8%","0%",35,368,12,5.9,"17.7%",292,"17.1%","17.9%",0.7,0.34
"Olaf","Jungle",22,"24.4%","67.8%","92.2%","73%","32%",77,52,127,3.9,"66.7%","19.8%","32%",-112,2,-0.6,6.1,"17.2%",341,"18.2%","19.2%",0.31,0.34
"Orianna","Middle",33,"36.7%","24.4%","61.1%","48%","30%",87,72,229,4.4,"76.7%","16.0%","18%",-36,26,3.2,9.1,"27.9%",458,"26.6%","24.5%",0.43,0.2
"Ornn","Top",2,"2.2%","0.0%","2.2%","0%","100%",1,5,8,1.8,"75.0%","16.1%","100%",-56,391,-13.5,6.3,"18.5%",310,"22.8%","18.3%",0.43,0.21
"Pantheon","Jungle",2,"2.2%","25.6%","33.3%","100%","50%",6,4,13,4.8,"63.3%","23.5%","0%",10,-336,-10.5,5.6,"16.9%",278,"13.2%","17.1%",0.83,0.44
"Pantheon","Support",3,"3.3%","25.6%","33.3%","100%","67%",2,5,20,4.4,"46.8%","45.5%","33%",137,201,-1.7,1.5,"3.7%",192,"11.6%","9.9%",2.07,0.49
"Pantheon","Top",2,"2.2%","25.6%","33.3%","0%","50%",3,11,6,0.8,"100.0%","26.8%","0%",-72,-407,7.5,7,"21.7%",450,"31.0%","20.7%",0.39,0.15
"Quinn","Top",1,"1.1%","0.0%","1.1%","0%","100%",4,1,5,9,"90.0%","7.7%","0%",-299,-441,-4,7.6,"22.6%",529,"28.3%","24.8%",0.4,0.1
"Rakan","Support",8,"8.9%","5.6%","14.4%","50%","75%",4,19,60,3.4,"70.3%","19.8%","13%",-237,-195,-17.1,1,"2.8%",128,"7.2%","8.3%",1.92,0.52
"Rek'Sai","Jungle",2,"2.2%","2.2%","4.4%","100%","100%",14,8,21,4.4,"68.6%","22.9%","0%",6,-188,0,6.3,"18.7%",506,"20.8%","20.7%",0.22,0.43
"Rell","Support",43,"47.8%","45.6%","93.3%","56%","9%",37,123,375,3.3,"66.3%","22.9%","37%",27,14,0.4,1.1,"2.2%",129,"7.2%","8.3%",1.63,0.36
"Renekton","Middle",2,"2.2%","54.4%","85.6%","0%","0%",7,13,9,1.2,"64.0%","28.9%","50%",181,106,-1,7.3,"20.3%",354,"21.7%","20.8%",0.51,0.19
