"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ablazeolive","Golden Guardians","Middle",18,"17%","39%",43,60,49,1.5,"68.1%","31.9%","20.4%","17%",93,8,1.6,8.6,"25.3%",459,"28.3%",,248,"24.6%",,0.44,0.18,0.22
"Alphari","Team Liquid","Top",18,"67%","50%",63,27,103,6.1,"68.0%","25.8%","16.8%","28%",493,174,12.5,8.3,"24.8%",520,"28.6%",,289,"24.2%",,0.49,0.18,0.17
"aphromoo","Dignitas","Support",18,"61%","67%",18,48,179,4.1,"75.5%","6.9%","21.2%","22%",-228,18,-5.3,1.2,"3.3%",137,"7.6%",,106,"9.3%",,1.15,0.41,0.32
"Blaber","Cloud9","Jungle",18,"72%","56%",68,40,137,5.1,"72.2%","23.9%","19.8%","56%",214,175,2.6,7.1,"20.1%",404,"21.4%",,253,"20.6%",,0.34,0.23,0.35
"Broxah","Counter Logic Gaming","Jungle",12,"33%","33%",24,28,79,3.7,"69.1%","16.1%","15.8%","42%",-98,7,0.8,5.9,"15.9%",295,"17.7%",,191,"17.6%",,0.38,0.29,0.46
"Closer","100 Thieves","Jungle",18,"61%","22%",53,45,123,3.9,"73.9%","22.3%","18.0%","28%",-93,12,-0.6,6.1,"17.6%",294,"15.9%",,211,"18.9%",,0.34,0.28,0.33
"CoreJJ","Team Liquid","Support",18,"67%","33%",13,35,156,4.8,"69.3%","5.3%","21.7%","39%",141,147,1.4,1.5,"3.4%",117,"6.6%",,115,"9.6%",,1.22,0.37,0.43
"Damonte","100 Thieves","Middle",12,"67%","42%",23,36,95,3.3,"72.8%","14.2%","20.0%","8%",-240,-257,-0.9,8.1,"24.0%",413,"21.9%",,247,"21.3%",,0.48,0.22,0.15
"Dardoch","Dignitas","Jungle",18,"61%","67%",44,51,126,3.3,"65.1%","16.9%","22.6%","33%",-140,-230,-3.3,6.3,"19.0%",268,"14.9%",,213,"19.0%",,0.33,0.28,0.49
"Deftly","Evil Geniuses","ADC",18,"56%","50%",75,30,96,5.7,"63.6%","27.9%","11.2%","17%",-9,58,2.8,8.9,"28.8%",525,"25.1%",,287,"25.8%",,0.52,0.15,0.31
"Destiny","Immortals","Support",18,"39%","39%",6,39,121,3.3,"69.0%","3.3%","21.0%","28%",-71,-105,2.3,1.8,"4.1%",132,"8.3%",,96,"8.9%",,1.51,0.46,0.35
"Diamond","FlyQuest","Support",15,"33%","60%",13,47,82,2,"54.3%","7.4%","23.4%","13%",-9,-86,5.7,2,"5.3%",135,"7.6%",,103,"9.8%",,1.15,0.39,0.3
"Dreams","FlyQuest","Support",3,"33%","0%",0,10,28,2.8,"62.2%","0.0%","21.3%","0%",106,-14,-2.7,0.7,"1.6%",108,"5.6%",,82,"7.0%",,1.7,0.57,0.19
"FakeGod","Dignitas","Top",18,"61%","67%",47,51,125,3.4,"65.9%","18.0%","22.6%","28%",-84,151,-3.3,7.4,"22.5%",487,"26.9%",,254,"22.3%",,0.47,0.19,0.16
"FBI","100 Thieves","ADC",18,"61%","61%",92,39,92,4.7,"77.3%","38.7%","15.6%","33%",191,164,-5.9,8,"26.4%",585,"31.5%",,307,"26.4%",,0.61,0.19,0.38
"Finn","Counter Logic Gaming","Top",18,"28%","61%",46,52,100,2.8,"65.2%","20.5%","18.8%","50%",35,149,-2.8,7.5,"23.4%",408,"23.3%",,239,"21.9%",,0.42,0.14,0.17
"Fudge","Cloud9","Top",18,"72%","56%",47,27,114,6,"56.7%","16.5%","13.4%","22%",-25,21,-4.6,7.8,"22.2%",345,"19.2%",,254,"20.6%",,0.46,0.2,0.14
"Griffin","Counter Logic Gaming","Jungle",6,"17%","67%",13,18,35,2.7,"64.0%","17.3%","18.2%","50%",-23,-70,-3.2,5.9,"17.3%",300,"17.5%",,199,"18.8%",,0.45,0.29,0.26
"huhi","100 Thieves","Support",18,"61%","50%",17,57,164,3.2,"76.1%","7.1%","22.8%","33%",313,47,18.6,2.2,"5.5%",136,"7.5%",,122,"11.1%",,1.45,0.47,0.38
"Huni","TSM","Top",18,"67%","50%",35,37,121,4.2,"65.5%","14.7%","19.1%","11%",-54,-94,-2.1,7.9,"23.9%",459,"26.0%",,261,"22.1%",,0.46,0.15,0.17
"Iconic","Golden Guardians","Jungle",18,"17%","67%",21,43,59,1.9,"59.3%","15.6%","14.6%","17%",-138,-69,0.4,6.8,"19.9%",240,"14.1%",,194,"19.6%",,0.27,0.23,0.36
"IgNar","Evil Geniuses","Support",18,"56%","50%",10,53,158,3.2,"62.5%","3.7%","19.7%","22%",-22,-43,-2.1,1.3,"3.4%",152,"7.4%",,98,"8.6%",,1.56,0.46,0.36
"Impact","Evil Geniuses","Middle",1,"0%","0%",2,7,1,0.4,"42.9%","28.6%","33.3%","0%",-365,-83,-5,7,"20.0%",300,"20.0%",,187,"20.4%",,0.52,0.26,0.26
"Impact","Evil Geniuses","Top",17,"59%","53%",60,57,130,3.3,"72.5%","22.9%","23.0%","18%",20,131,3.6,7.1,"21.3%",509,"25.2%",,242,"21.5%",,0.47,0.16,0.21
"Insanity","Immortals","Middle",18,"39%","39%",50,30,77,4.2,"69.0%","27.2%","16.1%","11%",-81,-29,-2.4,9.3,"28.3%",456,"28.0%",,271,"25.5%",,0.5,0.18,0.2
"Jensen","Team Liquid","Middle",18,"67%","56%",48,28,121,6,"69.3%","19.7%","17.4%","11%",114,187,3.9,9,"25.5%",452,"24.5%",,273,"22.8%",,0.35,0.14,0.19
"Jiizuke","Evil Geniuses","Middle",17,"59%","59%",72,50,112,3.7,"70.2%","27.5%","20.2%","18%",126,226,7.4,9.2,"29.7%",581,"27.5%",,295,"25.9%",,0.38,0.15,0.18
"Jiizuke","Evil Geniuses","Top",1,"0%","100%",1,4,4,1.3,"71.4%","14.3%","19.0%","0%",-504,-255,-3,8.1,"26.8%",393,"26.2%",,226,"24.7%",,0.49,0.26,0.29
"Johnsun","FlyQuest","ADC",18,"33%","50%",52,39,102,3.9,"70.0%","23.6%","15.7%","6%",-197,-127,-10.1,8.2,"25.9%",468,"26.4%",,268,"24.5%",,0.76,0.2,0.47
"Josedeodo","FlyQuest","Jungle",18,"33%","50%",45,45,99,3.2,"65.5%","20.5%","18.1%","39%",39,21,0.5,6.7,"18.9%",310,"17.0%",,217,"20.3%",,0.32,0.31,0.43
"Licorice","FlyQuest","Top",18,"33%","56%",55,55,74,2.3,"58.6%","25.0%","22.2%","33%",3,52,-0.3,7.6,"23.8%",424,"24.0%",,235,"21.9%",,0.46,0.18,0.18
"Lost","TSM","ADC",18,"67%","33%",83,37,81,4.4,"68.9%","34.9%","19.1%","17%",-5,-51,1.9,9,"28.0%",413,"22.7%",,306,"25.8%",,0.43,0.15,0.32
"Neo","Dignitas","ADC",18,"61%","22%",94,35,101,5.6,"74.7%","36.0%","15.5%","22%",-178,-148,-0.6,8.7,"29.6%",431,"23.4%",,303,"26.3%",,0.54,0.24,0.41
"Newbie","Golden Guardians","Support",18,"17%","83%",10,52,96,2,"78.5%","7.4%","17.7%","22%",-19,-70,-7.1,1.3,"3.4%",120,"7.6%",,91,"9.0%",,1.86,0.64,0.39
"Niles","Golden Guardians","Top",18,"17%","28%",15,87,78,1.1,"68.9%","11.1%","29.6%","22%",-107,-232,1.2,6.8,"20.6%",322,"21.1%",,201,"19.9%",,0.44,0.15,0.14
"Palafox","FlyQuest","Middle",18,"33%","56%",55,52,84,2.7,"63.2%","25.0%","21.0%","22%",-205,-81,-3.7,8.7,"26.7%",448,"25.3%",,260,"24.0%",,0.48,0.18,0.14
"Perkz","Cloud9","Middle",18,"72%","83%",80,42,109,4.5,"66.5%","28.2%","20.8%","39%",240,10,1.5,9.3,"27.2%",511,"26.7%",,308,"25.0%",,0.43,0.14,0.32
"Pobelter","Counter Logic Gaming","Middle",9,"44%","22%",30,35,48,2.2,"65.0%","25.0%","28.0%","44%",121,19,-1,8.6,"25.3%",488,"28.0%",,268,"23.8%",,0.43,0.2,0.21
"PowerOfEvil","TSM","Middle",18,"67%","61%",65,40,79,3.6,"60.5%","27.3%","20.6%","6%",-138,-104,-2.6,9.6,"29.5%",511,"28.9%",,296,"25.1%",,0.43,0.15,0.21
"Raes","Immortals","ADC",18,"39%","56%",56,42,72,3,"69.6%","30.4%","22.6%","22%",-135,-129,-5.8,8.1,"26.5%",416,"25.8%",,263,"24.9%",,0.7,0.16,0.39
"Revenge","Immortals","Top",18,"39%","39%",29,45,83,2.5,"60.9%","15.8%","24.2%","17%",-231,-195,-5.5,7.7,"24.0%",349,"22.1%",,230,"21.5%",,0.46,0.2,0.16
"RJS","Counter Logic Gaming","Middle",9,"11%","44%",26,27,46,2.7,"69.2%","25.0%","17.9%","56%",-30,-141,-8.4,8.1,"24.6%",491,"29.2%",,242,"23.2%",,0.41,0.12,0.16
"ry0ma","100 Thieves","Middle",6,"50%","50%",16,11,42,5.3,"76.3%","21.1%","15.7%","17%",-169,-77,-2.3,8.6,"26.8%",521,"29.8%",,251,"22.8%",,0.42,0.18,0.14
"Santorin","Team Liquid","Jungle",18,"67%","50%",54,30,112,5.5,"68.0%","22.1%","18.6%","50%",257,213,1.8,6.4,"17.8%",276,"15.1%",,224,"18.7%",,0.45,0.29,0.38
"Smoothie","Counter Logic Gaming","Support",18,"28%","22%",13,57,148,2.8,"71.9%","5.8%","20.7%","50%",23,27,-0.1,1,"2.1%",115,"6.6%",,86,"7.9%",,1.75,0.55,0.31
"Soligo","Dignitas","Middle",18,"61%","33%",58,41,121,4.4,"68.6%","22.2%","18.1%","22%",51,58,1.2,8.5,"25.5%",507,"27.2%",,263,"23.2%",,0.43,0.21,0.16
"Spica","TSM","Jungle",18,"67%","44%",46,34,101,4.3,"61.8%","19.3%","17.5%","17%",-38,-52,-1.9,6,"15.7%",265,"14.9%",,210,"18.0%",,0.48,0.38,0.41
"Ssumday","100 Thieves","Top",18,"61%","39%",37,62,106,2.3,"60.1%","15.5%","24.8%","11%",-21,-135,1.7,7.9,"25.5%",364,"20.5%",,247,"21.8%",,0.47,0.18,0.3
"Stixxay","Golden Guardians","ADC",18,"17%","56%",46,52,55,1.9,"74.8%","34.1%","17.7%","22%",-185,-82,3,9.1,"30.8%",468,"28.9%",,270,"26.8%",,0.41,0.15,0.39
"Svenskeren","Evil Geniuses","Jungle",18,"56%","28%",49,68,137,2.7,"69.1%","18.2%","25.3%","28%",-12,-164,-0.6,6,"16.9%",314,"15.2%",,206,"18.3%",,0.37,0.26,0.44
"SwordArt","TSM","Support",18,"67%","67%",9,46,160,3.7,"71.0%","3.8%","23.7%","22%",-47,12,-4.4,1.2,"2.9%",132,"7.5%",,107,"9.1%",,1.82,0.47,0.41
"Tactical","Team Liquid","ADC",18,"67%","61%",66,41,87,3.7,"62.7%","27.0%","25.5%","33%",77,97,0.2,9,"28.5%",460,"25.1%",,298,"24.8%",,0.7,0.17,0.43
"Vulcan","Cloud9","Support",18,"72%","39%",12,57,176,3.3,"66.2%","4.2%","28.2%","22%",-100,42,-7.6,1,"2.0%",145,"7.7%",,106,"8.5%",,1.55,0.51,0.29
"WildTurtle","Counter Logic Gaming","ADC",18,"28%","61%",72,59,78,2.5,"67.0%","32.1%","21.4%","33%",220,127,2.9,9.9,"33.2%",413,"23.9%",,314,"28.7%",,0.43,0.09,0.32
"Xerxe","Immortals","Jungle",18,"39%","72%",43,30,84,4.2,"69.0%","23.4%","16.1%","22%",-15,112,1.7,6.3,"17.1%",258,"15.9%",,205,"19.2%",,0.44,0.27,0.35
"Zven","Cloud9","ADC",18,"72%","50%",77,36,112,5.3,"66.5%","27.1%","17.8%","11%",222,91,11.7,9.3,"28.5%",468,"25.1%",,312,"25.2%",,0.4,0.14,0.34
