"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"100 Thieves",18,11,7,35.7,238,250,0.95,0.76,0.18,"2.5%",60.1,1,627,"50%","67%","39%",,"67%","72%","58%","45%","50%","53%","50.1%","50.8%",3.34,1.32,1.53
"Cloud9",18,13,5,31.3,284,202,1.41,0.86,0.89,"6.8%",57.9,14.3,1035,"67%","61%","61%",,"56%","50%","54%","100%","67%","67%","51.3%","53.1%",3.17,1.22,1.43
"Counter Logic Gaming",18,5,13,36.4,224,276,0.81,0.76,-0.18,"-3.5%",46.8,-19,-339,"89%","44%","39%",,"30%","61%","47%","17%","50%","39%","49.8%","47.6%",3.42,1.23,1.38
"Dignitas",18,11,7,33.1,261,226,1.15,0.81,-0.51,"-2.4%",41.1,20,-684,"39%","39%","44%",,"57%","39%","52%","100%","44%","52%","49.7%","48.3%",2.91,1.32,1.54
"Evil Geniuses",18,10,8,35.8,269,269,1,0.83,0.32,"-0.3%",53,2.6,54,"39%","56%","78%",,"41%","61%","64%","40%","50%","44%","50.4%","51.7%",3.31,1.18,1.51
"FlyQuest",18,6,12,33.7,220,248,0.89,0.77,-0.76,"-2.5%",40.8,-7.4,-929,"50%","28%","33%",,"31%","50%","46%","100%","33%","32%","49.6%","48.0%",3.25,1.29,1.5
"Golden Guardians",18,3,15,35,135,294,0.46,0.68,-0.94,"-11.6%",38.7,-22,-956,"28%","28%","28%",,"26%","33%","38%","50%","22%","39%","49.6%","45.8%",3.41,1.35,1.51
"Immortals",18,7,11,32.7,184,186,0.99,0.63,-0.74,"-2.6%",34,4.9,-1032,"39%","28%","39%",,"49%","28%","30%","50%","33%","39%","49.3%","48.3%",3.62,1.26,1.45
"Team Liquid",18,12,6,32.2,244,161,1.52,0.7,1.53,"8.9%",76.9,-10.2,2096,"67%","89%","78%",,"78%","67%","64%",,"67%","63%","50.6%","53.8%",3.21,1.15,1.6
"TSM",18,12,6,33.9,238,194,1.23,0.71,0.34,"4.8%",50.8,15.9,129,"33%","61%","61%",,"63%","39%","48%","33%","72%","76%","49.6%","52.6%",3.62,1.3,1.52
