"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Abbedagge","FC Schalke 04 Esports","Middle",12,"50%","67%",45,24,65,4.6,"62.5%","25.6%","16.0%","0%",-184,-108,-2.4,9.6,"29.1%",516,"28.6%",,289,"25.2%",,0.5,0.19,0.27
"Armut","MAD Lions","Top",13,"69%","54%",43,34,91,3.9,"61.2%","19.6%","20.4%","38%",166,18,-4.6,7.5,"23.2%",427,"21.2%",,269,"22.0%",,0.5,0.18,0.23
"Blue","SK Gaming","Middle",4,"25%","50%",6,15,24,2,"54.5%","10.9%","19.7%","0%",-87,-65,-1.5,8.2,"26.9%",420,"21.9%",,230,"22.5%",,0.43,0.13,0.17
"Broken Blade","FC Schalke 04 Esports","Top",12,"50%","67%",32,16,68,6.3,"56.8%","18.2%","10.7%","17%",162,119,2.7,7.8,"22.9%",401,"21.7%",,249,"21.8%",,0.4,0.19,0.17
"Bwipo","Fnatic","Top",7,"43%","57%",18,31,48,2.1,"66.0%","18.0%","27.0%","43%",-254,-55,-4,6.6,"19.4%",423,"20.7%",,219,"19.4%",,0.5,0.23,0.14
"caPs","G2 Esports","Middle",13,"38%","54%",54,38,77,3.4,"80.4%","33.1%","18.3%","15%",1,-57,-1.5,9,"27.7%",605,"31.7%",,296,"27.5%",,0.41,0.14,0.18
"Carzzy","MAD Lions","ADC",13,"69%","77%",69,36,84,4.3,"69.9%","31.5%","21.6%","8%",-194,-50,8.1,8.4,"29.2%",643,"31.0%",,301,"25.1%",,0.5,0.12,0.33
"Elyoya","MAD Lions","Jungle",13,"69%","46%",50,32,111,5,"73.5%","22.8%","19.2%","46%",0,78,1.7,5.7,"15.4%",285,"13.9%",,218,"18.0%",,0.45,0.36,0.44
"Gilius","FC Schalke 04 Esports","Jungle",12,"50%","42%",26,27,102,4.7,"72.7%","14.8%","18.0%","33%",270,352,3.8,5.4,"14.0%",223,"12.5%",,191,"16.7%",,0.26,0.22,0.48
"Hans sama","Rogue","ADC",17,"53%","53%",70,44,104,4,"76.3%","30.7%","19.6%","41%",273,9,1.9,8.1,"27.2%",509,"26.7%",,291,"25.8%",,0.64,0.12,0.41
"Humanoid","MAD Lions","Middle",13,"69%","46%",45,23,112,6.8,"71.7%","20.5%","13.8%","8%",-86,-190,-2.9,9.2,"28.9%",539,"26.9%",,302,"25.0%",,0.38,0.09,0.21
"Hylissang","Fnatic","Support",7,"43%","29%",8,34,55,1.9,"63.0%","8.0%","29.6%","43%",-75,-268,-2.1,1.1,"2.7%",167,"8.5%",,111,"9.7%",,1.54,0.45,0.38
"Inspired","Rogue","Jungle",17,"53%","65%",43,33,103,4.4,"64.0%","18.9%","14.7%","29%",191,123,4.4,6.1,"17.7%",309,"16.5%",,200,"18.0%",,0.41,0.29,0.31
"Jankos","G2 Esports","Jungle",13,"38%","38%",27,35,83,3.1,"67.5%","16.6%","16.8%","23%",-415,-417,-8.9,5.7,"16.6%",231,"13.1%",,179,"16.7%",,0.56,0.31,0.39
"Jenax","SK Gaming","Top",4,"25%","75%",20,11,17,3.4,"67.3%","36.4%","14.5%","0%",173,-53,3.8,7.8,"25.5%",543,"28.7%",,271,"26.0%",,0.5,0.21,0.35
"Jezu","SK Gaming","ADC",4,"25%","50%",20,13,13,2.5,"60.0%","36.4%","17.1%","0%",-447,-454,-8,8,"28.4%",475,"25.0%",,265,"25.8%",,0.44,0.21,0.19
"Kaiser","MAD Lions","Support",13,"69%","54%",12,42,152,3.9,"74.9%","5.5%","25.1%","23%",-254,-81,-7.5,1.5,"3.2%",143,"7.0%",,123,"9.9%",,1.55,0.53,0.33
"Larssen","Rogue","Middle",17,"53%","47%",63,36,84,4.1,"64.5%","27.6%","16.0%","0%",162,260,4.7,9.5,"29.9%",543,"28.7%",,296,"26.3%",,0.41,0.08,0.18
"LIMIT","FC Schalke 04 Esports","Support",12,"50%","50%",14,51,121,2.6,"76.7%","8.0%","34.0%","42%",76,50,0,1,"2.3%",172,"9.4%",,104,"9.0%",,1.67,0.51,0.34
"Mikyx","G2 Esports","Support",13,"38%","69%",7,70,102,1.6,"66.9%","4.3%","33.7%","15%",-53,20,4.7,1.5,"3.9%",168,"9.6%",,96,"8.8%",,1.84,0.65,0.32
"Neon","FC Schalke 04 Esports","ADC",12,"50%","25%",59,32,54,3.5,"64.2%","33.5%","21.3%","42%",-241,-134,-9.7,9.4,"31.8%",521,"27.8%",,316,"27.4%",,0.41,0.16,0.34
"Nisqy","Fnatic","Middle",7,"43%","29%",20,18,40,3.3,"60.0%","20.0%","15.7%","0%",130,51,1.7,8.4,"26.5%",571,"28.3%",,266,"23.8%",,0.47,0.22,0.16
"Odoamne","Rogue","Top",17,"53%","47%",29,53,100,2.4,"56.6%","12.7%","23.6%","18%",39,80,3.9,7.2,"20.6%",346,"18.3%",,220,"19.3%",,0.42,0.11,0.19
"Rekkles","G2 Esports","ADC",13,"38%","38%",56,20,79,6.8,"82.8%","34.4%","9.6%","15%",-8,156,-4.3,8.7,"29.4%",438,"23.8%",,285,"27.1%",,0.57,0.1,0.39
"Selfmade","Fnatic","Jungle",7,"43%","57%",19,22,51,3.2,"70.0%","19.0%","19.1%","43%",35,-219,-1,5.7,"16.5%",331,"16.7%",,204,"18.0%",,0.38,0.33,0.32
"Treatz","SK Gaming","Support",4,"25%","50%",3,20,33,1.8,"65.5%","5.5%","26.3%","0%",-43,256,2.5,0.9,"1.9%",165,"8.9%",,90,"8.8%",,1.45,0.47,0.28
"Trymbi","Rogue","Support",17,"53%","41%",23,59,142,2.8,"72.4%","10.1%","26.2%","41%",222,61,2.4,1.9,"4.7%",184,"9.9%",,119,"10.5%",,1.3,0.46,0.31
"TynX","SK Gaming","Jungle",4,"25%","50%",6,17,28,2,"61.8%","10.9%","22.4%","0%",-334,-95,-4.8,5.4,"17.2%",296,"15.5%",,174,"16.9%",,0.24,0.25,0.43
"Upset","Fnatic","ADC",7,"43%","57%",35,10,29,6.4,"64.0%","35.0%","8.7%","43%",381,269,9.6,9.9,"34.8%",525,"25.7%",,336,"29.1%",,0.62,0.11,0.31
"Wunder","G2 Esports","Top",13,"38%","23%",19,45,70,2,"54.6%","11.7%","21.6%","8%",-284,-187,-2,7.5,"22.5%",392,"21.8%",,213,"19.9%",,0.44,0.14,0.12
