"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Ace","V3 Esports","Middle",17,"59%","65%",33,28,126,5.7,"76.8%","15.9%","15.4%","12%",-136,-218,-9.5,7.6,"23.2%",402,"20.8%",,234,"21.5%",,0.45,0.19,0.14
"Alchemy","Crest Gaming Act","Support",3,"0%","33%",1,11,9,0.9,"62.5%","6.3%","22.4%","0%",-314,-219,1.3,1.2,"2.6%",63,"4.4%",,75,"8.0%",,1.66,0.6,0.29
"apaMEN","Fukuoka SoftBank HAWKS gaming","Top",5,"40%","60%",8,9,24,3.6,"65.3%","16.3%","13.4%","20%",-395,-309,-10.8,7.6,"24.3%",333,"21.4%",,211,"21.6%",,0.35,0.16,0.15
"Aria","DetonatioN FocusMe","Middle",8,"75%","38%",33,10,35,6.8,"63.0%","30.6%","14.1%","38%",140,222,7.6,8.7,"26.1%",455,"24.7%",,282,"25.1%",,0.33,0.14,0.25
"Cassin","Crest Gaming Act","Jungle",3,"0%","100%",4,13,5,0.7,"56.3%","25.0%","26.5%","33%",93,100,12,7.4,"21.2%",281,"19.5%",,215,"22.7%",,0.39,0.37,0.37
"Cogcog","V3 Esports","Top",17,"59%","35%",36,29,100,4.7,"65.7%","17.4%","15.9%","6%",347,242,11.9,7.7,"24.0%",458,"23.9%",,249,"22.9%",,0.4,0.17,0.17
"Corporal","Fukuoka SoftBank HAWKS gaming","Support",5,"40%","40%",5,18,32,2.1,"75.5%","10.2%","26.9%","20%",381,131,20.2,3.3,"8.7%",176,"9.9%",,128,"12.0%",,1.22,0.52,0.24
"Crash","Sengoku Gaming","Jungle",8,"63%","25%",25,20,55,4,"76.2%","23.8%","26.0%","38%",-120,6,-3.4,6.7,"20.0%",292,"16.5%",,227,"19.7%",,0.33,0.3,0.55
"DasheR","Fukuoka SoftBank HAWKS gaming","Middle",5,"40%","40%",5,15,32,2.5,"75.5%","10.2%","22.4%","20%",302,188,10.8,8.5,"27.3%",403,"24.4%",,223,"23.0%",,0.35,0.13,0.28
"Enty","Sengoku Gaming","Support",8,"63%","38%",4,16,79,5.2,"79.0%","3.8%","20.8%","38%",134,146,0.1,1.1,"2.0%",113,"6.3%",,107,"9.2%",,1.61,0.49,0.26
"Evi","DetonatioN FocusMe","Top",8,"75%","38%",17,21,54,3.4,"65.7%","15.7%","29.6%","25%",23,-16,-0.3,6.5,"20.4%",362,"20.5%",,218,"19.4%",,0.31,0.16,0.15
"Gango","Sengoku Gaming","ADC",8,"63%","75%",33,17,47,4.7,"76.2%","31.4%","22.1%","38%",320,187,10.3,9.4,"31.9%",481,"27.4%",,312,"27.3%",,0.41,0.14,0.48
"hachamecha","Rascal Jester","Jungle",7,"14%","43%",5,18,27,1.8,"64.0%","10.0%","19.6%","0%",-319,-353,-3.3,5.6,"17.5%",173,"11.3%",,154,"17.3%",,0.39,0.25,0.41
"Hollow","V3 Esports","ADC",17,"59%","35%",69,42,80,3.5,"72.0%","33.3%","23.1%","29%",-74,-69,-4.6,7.6,"26.0%",518,"26.5%",,260,"23.7%",,0.55,0.18,0.44
"Kazu","DetonatioN FocusMe","Support",8,"75%","63%",8,25,68,3,"70.4%","7.4%","35.2%","50%",-131,-91,-13.3,1.3,"4.1%",163,"9.1%",,109,"9.6%",,1.43,0.5,0.43
"Kinatu","Rascal Jester","Top",7,"14%","100%",13,20,15,1.4,"56.0%","26.0%","21.7%","0%",-391,-182,-11.4,6.6,"21.0%",278,"18.0%",,182,"20.0%",,0.35,0.19,0.15
"Milan","Crest Gaming Act","ADC",3,"0%","33%",4,10,7,1.1,"68.8%","25.0%","20.4%","0%",-662,-388,-13.3,8.8,"31.9%",280,"19.3%",,236,"24.8%",,0.46,0.16,0.44
"MooJin","V3 Esports","Jungle",17,"59%","71%",56,29,107,5.6,"78.7%","27.1%","15.9%","47%",146,126,1.2,6.9,"22.9%",412,"21.6%",,238,"21.8%",,0.52,0.4,0.41
"Naehyun","Crest Gaming Act","Middle",3,"0%","67%",5,7,6,1.6,"68.8%","31.3%","14.3%","0%",-327,381,7.7,7.9,"22.4%",541,"37.6%",,227,"24.1%",,0.44,0.14,0.13
"Nap","Crest Gaming Act","Top",3,"0%","67%",2,8,7,1.1,"56.3%","12.5%","16.3%","33%",33,181,-7,7.4,"21.8%",280,"19.3%",,194,"20.4%",,0.36,0.13,0.15
"Paz","Sengoku Gaming","Top",8,"63%","38%",15,14,41,4,"53.3%","14.3%","18.2%","0%",-183,-214,-5.8,7.2,"20.4%",354,"20.3%",,224,"19.9%",,0.37,0.13,0.17
"Raina","V3 Esports","Support",17,"59%","59%",13,54,134,2.7,"71.0%","6.3%","29.7%","29%",-65,-104,-0.6,1.7,"3.9%",139,"7.3%",,109,"10.0%",,1.28,0.45,0.3
"Ramune","Sengoku Gaming","Middle",8,"63%","50%",28,10,47,7.5,"71.4%","26.7%","13.0%","38%",101,-35,1,8.6,"25.7%",524,"29.5%",,273,"23.8%",,0.5,0.23,0.16
