"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"EDward Gaming",13,7,6,32.9,178,171,1.04,0.82,-1.15,"-3.4%",36.9,8.5,-1156,"46%","31%","27%",,,"45%","44%",,"36%","37%","49.6%","48.4%",3.75,1.3,1.65
"FunPlus Phoenix",20,13,7,29.8,267,271,0.99,0.9,0.01,"0.9%",53.3,11.7,8,"40%","50%","65%",,,"50%","53%",,"53%","62%","50.2%","50.9%",3.37,1.35,1.48
"Invictus Gaming",5,2,3,31.4,52,51,1.02,0.66,1.05,"6.3%",72.5,-32.5,1793,"40%","80%","80%",,,"60%","49%","0%","100%","67%","50.2%","49.5%",3.35,1.51,1.7
"JD Gaming",4,1,3,32.1,52,63,0.83,0.89,0.26,"-3.4%",49.6,-24.6,190,"100%","50%","25%",,,"50%","47%",,"50%","29%","50.3%","51.3%",2.78,1.1,1.67
"LNG Esports",3,0,3,24.5,15,67,0.22,1.12,-3.32,"-21.4%",14.5,-14.5,-5383,"0%","33%","0%",,,"67%","25%",,"0%","0%","46.6%","41.9%",3.13,1.15,1.14
"Rare Atom",9,4,5,31.8,95,108,0.88,0.71,-0.19,"-2.7%",41.2,3.3,-552,"56%","44%","22%",,,"56%","53%","100%","25%","36%","49.9%","50.9%",3.37,1.04,1.58
"Royal Never Give Up",17,9,8,31.8,276,250,1.1,0.97,0.05,"0.6%",45.1,8.2,-541,"59%","47%","47%",,,"47%","47%",,"57%","65%","49.7%","48.4%",3.44,1.42,1.65
"Suning",10,7,3,28.7,163,93,1.75,0.89,0.53,"5.2%",60.5,9.5,880,"60%","50%","70%",,,"50%","54%","0%","57%","50%","50.3%","52.5%",3.62,1.38,1.45
"Team WE",3,0,3,26.8,7,41,0.17,0.6,-1.65,"-12.3%",35,-35,-1417,"33%","33%","0%",,,"33%","33%",,"0%","0%","48.9%","47.8%",3.01,1.14,1.73
"Top Esports",12,5,7,33.2,206,197,1.05,1.01,1.41,"5.9%",66.7,-16.7,2752,"50%","75%","80%",,,"50%","60%","100%","67%","50%","51.4%","52.0%",3.04,1.35,1.84
