"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Cloud9",16,7,9,32.4,236,217,1.09,0.87,-0.46,"0.6%",48,-4.2,-728,"31%","31%","25%",,"48%","75%","60%","100%","44%","45%","50.2%","50.9%",3.48,1.32,1.62
"DetonatioN FocusMe",6,2,4,30.7,72,74,0.97,0.79,0.49,"2.3%",57,-23.7,649,"83%","50%","50%",,"67%","33%","42%",,"50%","56%","48.9%","48.6%",3.26,1.3,1.68
"DWG KIA",26,18,8,30.8,388,295,1.32,0.85,0.87,"5.5%",60.8,8.4,1414,"46%","69%","77%",,"51%","58%","59%","0%","54%","54%","50.5%","54.7%",3.82,1.46,1.68
"INFINITY",6,1,5,29.5,52,100,0.52,0.86,-1.94,"-14.9%",28.8,-12.1,-1908,"33%","0%","33%",,"33%","33%","23%","0%","33%","29%","49.7%","41.1%",3.69,1.42,1.46
"İstanbul Wildcats",6,1,5,32.8,91,130,0.7,1.12,-1.25,"-9.3%",32.6,-15.9,-1249,"33%","17%","33%",,"33%","50%","32%","100%","17%","11%","50.5%","44.8%",2.7,1,1.33
"MAD Lions",21,12,9,30.7,319,287,1.11,0.93,0.51,"2.6%",56.2,1,400,"57%","52%","57%",,"52%","43%","52%",,"52%","56%","50.6%","50.2%",3.69,1.3,1.67
"paiN Gaming",6,2,4,32.4,68,114,0.6,0.94,-0.91,"-2.1%",38.6,-5.3,-1217,"50%","50%","50%",,"50%","33%","46%",,"50%","57%","48.6%","50.2%",3.53,1.55,1.44
"Pentanet.GG",19,4,15,26.4,174,332,0.52,1,-2.61,"-14.3%",20.8,0.2,-4136,"42%","16%","21%",,"13%","58%","45%",,"26%","29%","48.5%","44.6%",2.82,1.14,1.15
"PSG Talon",20,11,9,30.8,319,236,1.35,0.9,0.8,"3.4%",60.3,-5.3,1417,"65%","55%","50%",,"60%","55%","55%","0%","65%","61%","49.8%","50.6%",3.68,1.29,1.78
"Royal Never Give Up",27,21,6,29.5,463,329,1.41,0.99,1.51,"9.1%",65.2,12.6,2425,"56%","85%","67%",,"72%","48%","54%","100%","56%","66%","50.9%","53.9%",3.66,1.36,1.61
"Unicorns of Love.CIS",9,2,7,26.6,71,150,0.47,0.92,-2.11,"-11.6%",29.6,-7.4,-2932,"44%","33%","33%",,"44%","11%","18%",,"22%","25%","48.9%","42.7%",2.77,0.95,1.25
