"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Middle",2,"5.4%","13.5%","21.6%","0%","100%",8,8,12,2.5,"58.8%","17.0%","50%",262,513,4.5,7.9,"30.3%",577,"21.6%","23.7%",0.35,0.16
"Aatrox","Top",1,"2.7%","13.5%","21.6%","100%","0%",1,1,4,5,"35.7%","16.7%","0%",-32,1,-3,7.7,"22.6%",289,"21.8%","18.1%",0.4,0.21
"Akali","Middle",8,"21.6%","37.8%","67.6%","88%","63%",39,17,47,5.1,"64.2%","23.6%","25%",58,-73,-2,8.1,"22.8%",511,"25.3%","22.5%",0.28,0.2
"Akali","Top",3,"8.1%","37.8%","67.6%","0%","33%",9,9,9,2,"46.2%","15.3%","33%",217,9,-2,7.1,"21.7%",327,"16.7%","21.4%",0.39,0.16
"Alistar","Support",21,"56.8%","2.7%","59.5%","67%","43%",24,61,235,4.2,"74.4%","22.6%","19%",50,-75,0.8,1.1,"2.7%",176,"8.5%","9.6%",1.57,0.38
"Aphelios","ADC",4,"10.8%","0.0%","10.8%","75%","100%",15,6,32,7.8,"63.5%","16.2%","25%",118,-93,2.3,9.7,"33.5%",641,"29.3%","25.8%",0.46,0.58
"Azir","Middle",10,"27.0%","8.1%","35.1%","60%","50%",27,24,71,4.1,"72.1%","21.4%","30%",36,132,1.2,8.4,"25.4%",546,"29.1%","23.1%",0.53,0.25
"Bard","Support",1,"2.7%","0.0%","2.7%","100%","100%",1,0,11,12,"100.0%","0.0%","100%",92,441,-5,1.4,"4.1%",214,"13.6%","10.7%",1.62,0.61
"Camille","Top",6,"16.2%","16.2%","32.4%","67%","33%",12,18,28,2.2,"54.8%","20.5%","0%",-153,-134,-4.2,8.1,"26.2%",319,"19.0%","22.8%",0.41,0.19
"Cho'Gath","Support",1,"2.7%","0.0%","2.7%","0%","0%",2,6,4,1,"60.0%","24.0%","0%",528,968,51,6.9,"24.5%",251,"16.2%","19.6%",0.38,0.13
"Corki","Middle",2,"5.4%","0.0%","5.4%","50%","50%",8,8,11,2.4,"76.0%","25.8%","0%",-128,-21,-5,9,"26.2%",534,"30.3%","24.8%",0.56,0.39
"Ezreal","ADC",1,"2.7%","0.0%","2.7%","100%","100%",8,2,7,7.5,"65.2%","22.2%","100%",-346,-177,-4,8.1,"22.9%",692,"30.4%","22.4%",0.46,0.27
"Fiora","Top",1,"2.7%","0.0%","2.7%","0%","100%",8,3,4,4,"80.0%","17.6%","0%",245,390,13,7.8,"25.2%",630,"28.3%","28.1%",0.27,0.49
"Galio","Middle",1,"2.7%","5.4%","10.8%","100%","100%",7,2,18,12.5,"89.3%","14.3%","0%",-268,-453,-13,7.1,"19.7%",513,"19.9%","20.2%",0.49,0.09
"Galio","Support",1,"2.7%","5.4%","10.8%","0%","100%",0,1,8,8,"88.9%","4.8%","0%",-3,-17,2,1.2,"3.1%",213,"12.3%","8.4%",1.63,0.4
