"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Atlen","Machi Esports","ADC",17,"65%","41%",77,40,101,4.5,"63.1%","27.3%","18.1%","29%",207,242,6.5,9.1,"31.9%",566,"26.8%",,314,"27.2%",,0.72,0.19,0.39
"Azhi","Berjaya Dragons","Top",5,"40%","60%",11,19,24,1.8,"57.4%","18.0%","25.3%","40%",-48,-80,-3.4,7.7,"25.8%",334,"19.8%",,232,"21.7%",,0.38,0.22,0.17
"B1ven","Hong Kong Attitude","Middle",6,"33%","33%",15,15,36,3.4,"67.1%","19.7%","15.5%","17%",-63,-59,-6,7.5,"23.4%",531,"25.4%",,227,"22.3%",,0.53,0.27,0.23
"Blaze","Impunity","ADC",4,"0%","50%",6,20,13,1,"67.9%","21.4%","21.7%","25%",-566,-511,-21.5,6.4,"27.0%",420,"22.8%",,201,"22.2%",,0.61,0.2,0.29
"CYH","Impunity","Jungle",4,"0%","0%",6,19,16,1.2,"78.6%","21.4%","20.7%","50%",-177,-562,-8.5,4.6,"12.4%",233,"13.6%",,140,"16.2%",,0.3,0.25,0.33
"Doggo","Beyond Gaming","ADC",15,"40%","60%",51,35,80,3.7,"71.2%","27.7%","15.1%","20%",-20,15,-1.7,9.7,"34.6%",529,"26.8%",,303,"28.9%",,0.89,0.21,0.56
"Driver","J Team","Top",7,"29%","71%",20,19,48,3.6,"67.3%","19.8%","20.0%","14%",97,85,5.3,8.3,"25.1%",482,"25.4%",,263,"23.1%",,0.34,0.12,0.28
"Enso","Berjaya Dragons","Jungle",5,"40%","100%",16,15,27,2.9,"70.5%","26.2%","20.0%","60%",13,-62,-1.4,5.2,"14.3%",261,"14.4%",,195,"17.8%",,0.39,0.39,0.37
"Epic","BOOM Esports","Jungle",6,"33%","17%",3,17,37,2.4,"61.5%","4.6%","15.6%","0%",-776,-193,0.3,5.4,"15.0%",197,"9.9%",,160,"15.8%",,0.44,0.33,0.29
"Gemini","Machi Esports","Jungle",17,"65%","59%",65,52,125,3.7,"67.4%","23.0%","23.5%","41%",32,-5,-0.6,5.5,"16.2%",369,"17.1%",,206,"17.7%",,0.55,0.37,0.42
"Hana","J Team","Jungle",12,"42%","50%",43,23,108,6.6,"77.4%","22.1%","14.8%","42%",287,175,4,5.9,"16.8%",326,"15.9%",,214,"18.2%",,0.39,0.39,0.47
"Hanabi","PSG Talon","Top",9,"100%","22%",27,10,83,11,"65.9%","16.2%","12.7%","22%",136,186,8.2,7.8,"20.6%",375,"19.0%",,259,"20.7%",,0.37,0.17,0.34
"HuSha","Beyond Gaming","Jungle",15,"40%","33%",36,41,99,3.3,"73.4%","19.6%","17.7%","27%",-170,-98,-2.5,5.5,"15.0%",260,"13.1%",,181,"17.3%",,0.45,0.43,0.45
"Husky","Beyond Gaming","Middle",1,"0%","100%",1,7,7,1.1,"53.3%","6.7%","31.8%","0%",-589,329,2,6.7,"21.0%",379,"19.2%",,183,"18.0%",,0.37,0.24,0.24
"JimieN","Machi Esports","Middle",17,"65%","47%",67,54,125,3.6,"68.1%","23.8%","24.4%","35%",146,-26,-3.8,8.4,"26.7%",540,"25.9%",,281,"24.2%",,0.4,0.22,0.26
"K2","Berjaya Dragons","Support",5,"40%","60%",14,12,37,4.3,"83.6%","23.0%","16.0%","20%",519,344,-6,1.6,"7.7%",352,"19.9%",,168,"15.8%",,2.2,0.61,0.67
"Kaiwing","PSG Talon","Support",9,"100%","44%",5,16,103,6.8,"64.7%","3.0%","20.3%","22%",-101,63,-0.4,1.2,"3.2%",155,"7.7%",,112,"8.9%",,1.81,0.54,0.52
"Kino","Beyond Gaming","Support",15,"40%","40%",19,53,101,2.3,"65.2%","10.3%","22.8%","20%",2,-109,2.3,1.4,"3.5%",158,"8.5%",,99,"9.4%",,1.44,0.5,0.39
"Koala","Machi Esports","Support",17,"65%","71%",25,36,173,5.5,"70.2%","8.9%","16.3%","35%",105,24,-5.4,1.3,"3.1%",215,"10.2%",,118,"10.1%",,1.57,0.44,0.39
"Kongyue","Hong Kong Attitude","Jungle",6,"33%","50%",23,22,41,2.9,"84.2%","30.3%","22.7%","50%",196,52,-2.8,5.7,"18.6%",406,"19.7%",,214,"20.6%",,0.33,0.33,0.44
