Player,Team,Pos,GP,W,L,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,D%P15,EGPM,GOLD%,STL,WPM,CWPM,WCPM
Atlen,Machi Esports,ADC,17,6,11,41%,77,40,101,4.5,63.10%,27.30%,18.10%,29%,207,242,6.5,9.1,31.90%,566,26.80%,,314,27.20%,,0.72,0.19,0.39
Azhi,Berjaya Dragons,Top,5,3,2,60%,11,19,24,1.8,57.40%,18.00%,25.30%,40%,-48,-80,-3.4,7.7,25.80%,334,19.80%,,232,21.70%,,0.38,0.22,0.17
B1ven,Hong Kong Attitude,Middle,6,4,2,33%,15,15,36,3.4,67.10%,19.70%,15.50%,17%,-63,-59,-6,7.5,23.40%,531,25.40%,,227,22.30%,,0.53,0.27,0.23
Blaze,Impunity,ADC,4,4,0,50%,6,20,13,1,67.90%,21.40%,21.70%,25%,-566,-511,-21.5,6.4,27.00%,420,22.80%,,201,22.20%,,0.61,0.2,0.29
CYH,Impunity,Jungle,4,4,0,0%,6,19,16,1.2,78.60%,21.40%,20.70%,50%,-177,-562,-8.5,4.6,12.40%,233,13.60%,,140,16.20%,,0.3,0.25,0.33
Doggo,Beyond Gaming,ADC,15,9,6,60%,51,35,80,3.7,71.20%,27.70%,15.10%,20%,-20,15,-1.7,9.7,34.60%,529,26.80%,,303,28.90%,,0.89,0.21,0.56
Driver,J Team,Top,7,5,2,71%,20,19,48,3.6,67.30%,19.80%,20.00%,14%,97,85,5.3,8.3,25.10%,482,25.40%,,263,23.10%,,0.34,0.12,0.28
Enso,Berjaya Dragons,Jungle,5,3,2,100%,16,15,27,2.9,70.50%,26.20%,20.00%,60%,13,-62,-1.4,5.2,14.30%,261,14.40%,,195,17.80%,,0.39,0.39,0.37
Epic,BOOM Esports,Jungle,6,4,2,17%,3,17,37,2.4,61.50%,4.60%,15.60%,0%,-776,-193,0.3,5.4,15.00%,197,9.90%,,160,15.80%,,0.44,0.33,0.29
Gemini,Machi Esports,Jungle,17,6,11,59%,65,52,125,3.7,67.40%,23.00%,23.50%,41%,32,-5,-0.6,5.5,16.20%,369,17.10%,,206,17.70%,,0.55,0.37,0.42
Hana,J Team,Jungle,12,7,5,50%,43,23,108,6.6,77.40%,22.10%,14.80%,42%,287,175,4,5.9,16.80%,326,15.90%,,214,18.20%,,0.39,0.39,0.47
Hanabi,PSG Talon,Top,9,0,9,22%,27,10,83,11,65.90%,16.20%,12.70%,22%,136,186,8.2,7.8,20.60%,375,19.00%,,259,20.70%,,0.37,0.17,0.34
HuSha,Beyond Gaming,Jungle,15,9,6,33%,36,41,99,3.3,73.40%,19.60%,17.70%,27%,-170,-98,-2.5,5.5,15.00%,260,13.10%,,181,17.30%,,0.45,0.43,0.45
Husky,Beyond Gaming,Middle,1,1,0,100%,1,7,7,1.1,53.30%,6.70%,31.80%,0%,-589,329,2,6.7,21.00%,379,19.20%,,183,18.00%,,0.37,0.24,0.24
JimieN,Machi Esports,Middle,17,6,11,47%,67,54,125,3.6,68.10%,23.80%,24.40%,35%,146,-26,-3.8,8.4,26.70%,540,25.90%,,281,24.20%,,0.4,0.22,0.26
K2,Berjaya Dragons,Support,5,3,2,60%,14,12,37,4.3,83.60%,23.00%,16.00%,20%,519,344,-6,1.6,7.70%,352,19.90%,,168,15.80%,,2.2,0.61,0.67
Kaiwing,PSG Talon,Support,9,0,9,44%,5,16,103,6.8,64.70%,3.00%,20.30%,22%,-101,63,-0.4,1.2,3.20%,155,7.70%,,112,8.90%,,1.81,0.54,0.52
Kino,Beyond Gaming,Support,15,9,6,40%,19,53,101,2.3,65.20%,10.30%,22.80%,20%,2,-109,2.3,1.4,3.50%,158,8.50%,,99,9.40%,,1.44,0.5,0.39
Koala,Machi Esports,Support,17,6,11,71%,25,36,173,5.5,70.20%,8.90%,16.30%,35%,105,24,-5.4,1.3,3.10%,215,10.20%,,118,10.10%,,1.57,0.44,0.39
Kongyue,Hong Kong Attitude,Jungle,6,4,2,50%,23,22,41,2.9,84.20%,30.30%,22.70%,50%,196,52,-2.8,5.7,18.60%,406,19.70%,,214,20.60%,,0.33,0.33,0.44
Liang,Beyond Gaming,Top,15,9,6,47%,38,42,86,3,67.40%,20.70%,18.10%,7%,-92,-148,-4.3,7.6,23.80%,444,24.10%,,230,22.10%,,0.44,0.25,0.18
Likai,Machi Esports,Top,17,6,11,41%,48,39,120,4.3,59.60%,17.00%,17.60%,12%,-138,-75,-4.5,7.3,22.10%,421,20.00%,,243,20.90%,,0.45,0.19,0.22
Lilv,J Team,ADC,12,7,5,83%,68,27,66,5,68.70%,34.90%,17.40%,33%,119,70,5.8,9.5,31.10%,522,26.10%,,315,27.00%,,0.62,0.14,0.45
Maoan,Beyond Gaming,Middle,14,8,6,50%,39,54,85,2.3,73.40%,23.10%,25.70%,14%,-18,-44,2.4,8.1,23.20%,519,28.10%,,238,22.60%,,0.53,0.23,0.2
Maple,PSG Talon,Middle,9,0,9,78%,48,15,80,8.5,76.60%,28.70%,19.00%,22%,-19,-12,-1,8.4,23.30%,531,26.60%,,283,22.60%,,0.45,0.16,0.23
Minji,Berjaya Dragons,Middle,5,3,2,60%,15,13,32,3.6,77.00%,24.60%,17.30%,40%,342,225,1,8.2,28.00%,531,30.40%,,251,23.30%,,0.35,0.15,0.11
Mission,J Team,Middle,12,7,5,33%,42,38,88,3.4,66.70%,21.50%,24.50%,17%,-63,9,1.9,8.6,25.70%,542,26.70%,,275,23.50%,,0.38,0.13,0.26
MnM,Hong Kong Attitude,ADC,6,4,2,17%,18,15,32,3.3,65.80%,23.70%,15.50%,0%,-363,-323,-15.8,7.8,29.00%,467,22.50%,,250,23.80%,,0.82,0.2,0.45
Pop,BOOM Esports,Support,6,4,2,83%,7,22,31,1.7,58.50%,10.80%,20.20%,0%,180,199,-7.3,1.1,2.70%,136,7.30%,,95,9.40%,,1.52,0.41,0.31
Rest,J Team,Top,5,2,3,40%,12,11,45,5.2,60.60%,12.80%,18.30%,0%,62,116,-2.6,7.9,22.60%,433,19.90%,,254,21.00%,,0.27,0.11,0.21
River,PSG Talon,Jungle,9,0,9,78%,22,28,100,4.4,73.10%,13.20%,35.40%,67%,297,317,6.1,5.7,15.10%,293,14.80%,,212,17.10%,,0.41,0.3,0.38
Rock,Hong Kong Attitude,Top,6,4,2,50%,17,15,28,3,59.20%,22.40%,15.50%,33%,327,179,6,7.5,24.40%,516,24.50%,,243,23.40%,,0.3,0.16,0.19
Rockky,BOOM Esports,Top,6,4,2,83%,11,27,26,1.4,56.90%,16.90%,24.80%,17%,-349,-290,-7,7,23.00%,404,21.60%,,204,20.10%,,0.39,0.11,0.15
Ruby,BOOM Esports,Middle,6,4,2,67%,15,25,32,1.9,72.30%,23.10%,22.90%,0%,-124,65,5.7,8.1,24.90%,601,29.90%,,239,24.00%,,0.46,0.15,0.21
Shera,Impunity,Middle,4,4,0,25%,3,18,11,0.8,50.00%,10.70%,19.60%,25%,-328,-106,3,7.8,25.30%,438,23.90%,,198,21.60%,,0.42,0.15,0.1
Smerv,Impunity,Support,4,4,0,50%,5,18,14,1.1,67.90%,17.90%,19.60%,25%,-467,-159,16.8,2.9,9.50%,173,9.90%,,118,12.70%,,1.11,0.32,0.26
TOPKING,Impunity,Top,4,4,0,75%,8,17,8,0.9,57.10%,28.60%,18.50%,0%,476,426,16.5,7.7,25.80%,512,29.80%,,242,27.30%,,0.31,0.11,0.09
Unified,PSG Talon,ADC,9,0,9,33%,65,10,62,12.7,76.00%,38.90%,12.70%,22%,-107,-155,0,10.8,37.80%,639,32.00%,,382,30.60%,,0.88,0.13,0.63
Wako,BOOM Esports,ADC,6,4,2,50%,29,18,21,2.8,76.90%,44.60%,16.50%,0%,389,61,16,9.5,34.40%,650,31.40%,,317,30.70%,,0.79,0.11,0.47
Wing,Hong Kong Attitude,Support,6,4,2,17%,3,30,40,1.4,56.60%,3.90%,30.90%,0%,-218,-167,7,1.6,4.50%,165,7.90%,,101,9.90%,,1.37,0.52,0.27
