Player,Team,Pos,GP,W,L,CTR%,K,D,A,KDA,KP,KS%,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,D%P15,EGPM,GOLD%,STL,WPM,CWPM,WCPM
Arrietty,Saigon Buffalo,ADC,8,4,4,38%,36,25,51,3.5,66.90%,27.70%,21.70%,25%,-80,-257,-2.6,8.7,31.20%,481,23.70%,,288,25.20%,,0.68,0.15,0.41
Artemis,CERBERUS Esports,ADC,9,6,3,56%,50,29,43,3.2,76.20%,41.00%,15.80%,0%,202,171,5.4,9.6,36.20%,647,30.00%,,328,30.70%,,0.38,0.14,0.53
Artifact,Team Secret,Middle,8,5,3,75%,35,18,42,4.3,59.20%,26.90%,12.80%,13%,341,77,0.3,8.4,26.70%,563,24.40%,,287,24.40%,,0.44,0.18,0.17
Bean J,Saigon Buffalo,Jungle,8,4,4,50%,23,23,68,4,70.00%,17.70%,20.00%,13%,-129,317,6.5,6,16.10%,344,16.90%,,212,18.60%,,0.53,0.39,0.44
Bie,GAM Esports,Support,7,1,6,71%,9,9,79,9.8,66.20%,6.80%,11.70%,14%,250,261,17.4,3.2,7.60%,211,9.40%,,170,12.80%,,1.21,0.41,0.37
CBL,Team Secret,Support,8,5,3,38%,7,33,81,2.7,67.70%,5.40%,23.40%,50%,-62,-140,-13,1.1,3.10%,219,10.20%,,114,9.60%,,1.42,0.47,0.36
Coated,Team Secret,Top,4,3,1,75%,6,16,6,0.8,36.40%,18.20%,25.40%,0%,-530,-540,-10,8.3,25.30%,505,29.00%,,229,22.40%,,0.38,0.07,0.13
DNK,Team Secret,Jungle,8,5,3,25%,29,26,59,3.4,67.70%,22.30%,18.40%,50%,-132,-176,0.5,5.8,16.50%,427,19.20%,,223,19.70%,,0.33,0.3,0.31
EGO,CERBERUS Esports,Jungle,2,2,0,0%,4,14,15,1.4,63.30%,13.30%,23.00%,0%,-46,312,5,6.1,16.10%,330,16.80%,,191,18.10%,,0.27,0.25,0.48
Froggy,Saigon Buffalo,Middle,7,3,4,57%,22,20,58,4,66.70%,18.30%,21.30%,0%,-149,-193,-5.7,7.5,24.30%,510,25.60%,,244,21.10%,,0.41,0.23,0.26
Hasmed,Saigon Buffalo,Top,8,4,4,38%,38,18,43,4.5,62.30%,29.20%,15.70%,0%,-64,16,3.4,8,25.80%,484,24.00%,,278,24.20%,,0.34,0.2,0.29
Hieu3,CERBERUS Esports,Support,1,1,0,100%,0,2,0,0,0.00%,0.00%,13.30%,0%,152,346,-9,0.7,3.20%,177,11.20%,,73,9.90%,,1.3,0.48,0.56
Kati,GAM Esports,Middle,7,1,6,29%,25,20,63,4.4,66.20%,18.80%,26.00%,43%,150,383,8.7,7.5,20.30%,461,20.40%,,258,19.90%,,0.59,0.23,0.25
Kiaya,GAM Esports,Top,7,1,6,57%,24,15,45,4.6,51.90%,18.00%,19.50%,14%,398,425,7.4,8.3,24.70%,455,20.10%,,274,21.10%,,0.38,0.12,0.12
Levi,GAM Esports,Jungle,7,1,6,71%,37,16,63,6.3,75.20%,27.80%,20.80%,14%,349,153,1.1,7.3,22.00%,533,23.00%,,283,21.70%,,0.56,0.31,0.32
Nagiya,Team Secret,Top,4,2,2,25%,21,18,36,3.2,58.80%,21.60%,23.10%,25%,491,-3,5.8,7.1,21.90%,676,25.20%,,268,21.00%,,0.52,0.24,0.26
Pun,CERBERUS Esports,Top,9,6,3,56%,19,41,53,1.8,59.00%,15.60%,22.30%,22%,-236,-103,-6.9,7,21.90%,435,20.90%,,209,20.00%,,0.47,0.26,0.14
Rby,Saigon Buffalo,Middle,1,1,0,0%,2,4,6,2,80.00%,20.00%,19.00%,0%,262,-210,3,7.8,26.30%,608,32.60%,,221,23.70%,,0.21,0.11,0.43
Ronop,CERBERUS Esports,Support,8,5,3,50%,8,40,71,2,65.30%,6.60%,23.70%,0%,-33,-59,-0.9,1,2.40%,157,7.70%,,96,8.90%,,1.53,0.53,0.28
Slayder,Team Secret,ADC,8,5,3,75%,32,30,36,2.3,52.30%,24.60%,21.30%,38%,-143,-16,13.8,8.8,30.10%,427,19.10%,,292,24.70%,,0.73,0.15,0.38
Sty1e,GAM Esports,ADC,7,1,6,29%,38,17,61,5.8,74.40%,28.60%,22.10%,14%,-5,93,-19.7,7.1,25.40%,608,27.10%,,317,24.60%,,1.03,0.22,0.51
Taki,Saigon Buffalo,Support,8,4,4,38%,9,25,86,3.8,73.10%,6.90%,21.70%,25%,-143,-73,-0.3,1.1,2.40%,182,9.00%,,116,10.50%,,1.69,0.54,0.26
XuHao,CERBERUS Esports,Jungle,7,4,3,71%,22,20,41,3.2,68.50%,23.90%,16.30%,43%,-38,-403,-10.6,5.5,16.60%,339,15.70%,,197,19.20%,,0.39,0.35,0.39
Yado,CERBERUS Esports,Middle,9,6,3,44%,19,38,57,2,62.30%,15.60%,20.70%,11%,-333,-193,-2.9,7.6,23.00%,490,25.00%,,223,21.40%,,0.64,0.37,0.25
